,d1,d2,area,population,density,lat,lon,B,K,L,shortname,x,y,Lp10T,Bp10T,Kp10T,logdensity
??? ???,???,???,1040.07,219067.0,210.6271693251416,37.751853000000004,128.8760574,0.0,1.0,6.0,??,11,4,0.2738888102726563,0.0,0.04564813504544272,2.3235143911938674
??? ???,???,???,664.19,30802.0,46.37528418073141,38.3801292,128.46743850000001,0.0,0.0,1.0,??(??),9,0,0.32465424323095904,0.0,0.0,1.6662865839221939
??? ???,???,???,180.01,95850.0,532.4704183100938,37.52471920000001,129.1142915,0.0,0.0,3.0,??,11,5,0.3129890453834116,0.0,0.0,2.726295485309741
??? ???,???,???,1185.8,72431.0,61.081969978073886,37.4498683,129.16520590000002,0.0,0.0,1.0,??,11,8,0.1380624318316743,0.0,0.0,1.7859130352083925
??? ???,???,???,105.25,84568.0,803.4964370546318,38.207014799999996,128.59184879999998,1.0,0.0,3.0,??,9,1,0.3547441112477533,0.11824803708258443,0.0,2.904983955311008
??? ???,???,???,700.8,21526.0,30.71632420091325,38.1100701,127.9898825,0.0,0.0,1.0,??,8,0,0.46455449224194,0.0,0.0,1.4873692427795624
??? ???,???,???,628.68,28196.0,44.849525990965205,38.0753925,128.6188503,0.0,0.0,0.0,??,10,2,0.0,0.0,0.0,1.6517578574002663
??? ???,???,???,1127.36,40522.0,35.94415271075788,37.183637,128.4617535,0.0,0.0,1.0,??,10,8,0.24677952717042595,0.0,0.0,1.5556282507134631
??? ???,???,???,867.3,310276.0,357.7493370229448,37.342218599999995,127.9201621,1.0,1.0,14.0,??,10,7,0.45121117972385877,0.032229369980275625,0.032229369980275625,2.553578837602901
??? ???,???,???,1646.08,31705.0,19.26091076982893,38.0694675,128.17069909999998,0.0,0.0,2.0,??,9,2,0.6308153288124901,0.0,0.0,1.2846768192869087
??? ???,???,???,1220.67,41000.0,33.58811144699222,37.3807549,128.66095049999998,0.0,1.0,1.0,??,11,6,0.24390243902439027,0.0,0.24390243902439027,1.526185585526454
??? ???,???,???,899.82,48054.0,53.40401413616056,38.146609000000005,127.31322560000001,0.0,0.0,2.0,??,6,0,0.41619844341782164,0.0,0.0,1.7275739021908016
??? ???,???,???,1116.35,267514.0,239.63273167017516,37.8813153,127.7299707,0.0,3.0,8.0,??,10,3,0.29904976935786537,0.0,0.11214366350919952,2.379546138478807
??? ???,???,???,303.57,50730.0,167.11137464176304,37.1640654,128.98556489999999,0.0,0.0,1.0,??,11,7,0.19712201852946976,0.0,0.0,2.2230060116888777
??? ???,???,???,1463.65,43989.0,30.054316264134183,37.370474,128.38997690000002,0.0,0.0,2.0,??,10,6,0.4546591193252859,0.0,0.0,1.4779068522150896
??? ???,???,???,1817.94,70264.0,38.65034049528587,37.6969518,127.8886827,2.0,0.0,1.0,??,10,4,0.14232039166571786,0.2846407833314357,0.0,1.5871533242458677
