d1	d2	area	population	density	lat	lon
경기도	가평군	843.04	58540	69.43917251850446	37.8315403	127.5098827
서울특별시	강남구	39.5	569499	14417.696202531646	37.5172363	127.0473248
서울특별시	강동구	24.6	489655	19904.674796747968	37.5301251	127.123762
강원도	강릉시	1040.07	219067	210.62716932514158	37.751853	128.8760574
서울특별시	강북구	23.6	343912	14572.542372881355	37.6396099	127.0256575
부산광역시	강서구	179.05	63753	356.06255235967603	35.2122157	128.9805666
서울특별시	강서구	41.4	579196	13990.241545893721	37.5509786	126.8495382
전라남도	강진군	495.98	41428	83.5275615952256	34.6420774	126.767261
인천광역시	강화군	411.2	67597	164.38959143968873	37.7467263	126.4878731
경상남도	거제시	400.7	233589	582.9523334165211	34.8806427	128.6210824
경상남도	거창군	804.09	63585	79.0769689960079	35.6867229	127.9095155
경상북도	경산시	411.58	242809	589.9436318577191	35.8250555	128.7415441
경상북도	경주시	1323.85	272331	205.71137213430526	35.8561719	129.2247477
충청남도	계룡시	60.7	42941	707.4299835255354	36.2745577	127.2485896
인천광역시	계양구	45.58	347296	7619.482229047829	37.53695039999999	126.7377435
경상북도	고령군	383.7	35679	92.98670836591087	35.7261415	128.262953
강원도	고성군	664.19	30802	46.37528418073141	38.3801292	128.4674385
경상남도	고성군	517.06	58554	113.24411093490119	34.973149	128.3222456
경기도	고양시	267.33	951001	3557.4047057943367	37.65835990000001	126.8320201
전라북도	고창군	606.9	60668	99.96375020596474	35.4358216	126.7020806
전라남도	고흥군	775.85	75573	97.40671521557002	34.6112219	127.284978
전라남도	곡성군	547.37	32482	59.341944205930176	35.2819553	127.2919175
충청남도	공주시	940.71	126542	134.51754525836867	36.4465346	127.1191534
경기도	과천시	35.813	72382	2021.1096529193308	37.429246	126.9874451
서울특별시	관악구	29.6	547311	18490.236486486487	37.4784063	126.9516133
경기도	광명시	38.5	318154	8263.74025974026	37.4784878	126.8642888
광주광역시	광산구	222.88	348512	1563.6755204594401	35.1394638	126.7937183
전라남도	광양시	446.08	144628	324.21987087517937	34.9406968	127.6958882
경기도	광주시	431.84	247957	574.1871989625788	37.4171413	127.2561413
서울특별시	광진구	17.05	386513	22669.384164222873	37.5384843	127.0822938
충청북도	괴산군	842.0	37273	44.26722090261283	36.815669	127.7865791
전라남도	구례군	443.01	27698	62.52229069321234	35.2024947	127.4626534
서울특별시	구로구	20.11	449613	22357.682744903035	37.4954031	126.887369
경기도	구리시	33.3	197132	5919.879879879881	37.5943124	127.1295646
경상북도	구미시	616.1	401222	651.2286966401558	36.119485	128.3445734
전라북도	군산시	234.74	270329	1151.610292238221	35.9676772	126.7366293
경상북도	군위군	614.15	25377	41.32052430188065	36.2428355	128.5727702
경기도	군포시	36.35	280801	7724.924346629986	37.3616703	126.9351741
충청남도	금산군	576.28	57209	99.27292288470883	36.1086928	127.4880712
부산광역시	금정구	65.19	254272	3900.4755330572175	35.2429921	129.0922773
서울특별시	금천구	13.01	263116	20224.135280553422	37.4518527	126.9020358
부산광역시	기장군	217.9	90380	414.7774208352455	35.2445494	129.2221542
전라북도	김제시	545.06	95940	176.01731919421718	35.8036079	126.8808872
경상북도	김천시	1009.56	137796	136.49114465707834	36.1398393	128.1135947
경기도	김포시	276.64	237566	858.755060728745	37.6152464	126.7156325
경상남도	김해시	463.26	505056	1090.2214739023443	35.2285451	128.8893517
전라남도	나주시	603.69	92236	152.7870264539747	35.0160601	126.7107572
광주광역시	남구	61.07	214640	3514.6553135745867	35.1221068	126.9079579
대구광역시	남구	17.44	172701	9902.580275229357	35.8460224	128.5975291
부산광역시	남구	25.91	301043	11618.795831725203	35.1365596	129.084364
울산광역시	남구	72.11	347437	4818.152822077382	35.54368300000001	129.3298017
인천광역시	남구	24.47	426449	17427.421332243564	37.4636808	126.6504771
인천광역시	남동구	56.9	474885	8345.957820738136	37.4469893	126.7319416
경기도	남양주시	458.44	530699	1157.6193176860659	37.6360028	127.2165279
전라북도	남원시	752.74	88496	117.5651619417063	35.416357	127.3904877
경상남도	남해군	357.0	50767	142.20448179271708	34.8376721	127.8924234
서울특별시	노원구	35.44	615161	17357.816027088036	37.6541917	127.056793
충청남도	논산시	554.98	129597	233.5165231179502	36.1870656	127.0987453
충청북도	단양군	781.07	32126	41.13075652630366	36.9845473	128.3655186
대구광역시	달서구	62.3	604938	9710.08025682183	35.8298561	128.5327576
대구광역시	달성군	427.03	178477	417.94955857902255	35.7746388	128.4317137
전라남도	담양군	455.09	47886	105.22314267507527	35.3211394	126.9881673
충청남도	당진시	694.13	141952	204.50347917537061	36.8936109	126.6283278
대전광역시	대덕구	68.45	210114	3069.598246895544	36.3467189	127.4155717
서울특별시	도봉구	20.8	372398	17903.75	37.6687738	127.0470706
서울특별시	동대문구	14.2	374277	26357.53521126761	37.57436819999999	127.0400189
광주광역시	동구	48.86	108924	2229.3082275890297	35.1461042	126.9231228
대구광역시	동구	182.35	332787	1824.9904030710172	35.8866012	128.6353024
대전광역시	동구	136.8	249367	1822.8581871345027	36.3269986	127.4326826
부산광역시	동구	9.77	102440	10485.158648925282	35.1390588	129.0569225
울산광역시	동구	35.77	176552	4935.756220296337	35.5048563	129.4166007
인천광역시	동구	7.05	78496	11134.18439716312	37.4738184	126.6433385
경기도	동두천시	95.68	95779	1001.0346989966555	37.9034112	127.0605075
부산광역시	동래구	16.6	282525	17019.578313253012	35.2048575	129.0836402
서울특별시	동작구	16.36	407973	24937.224938875308	37.512402	126.9392525
강원도	동해시	180.01	95850	532.4704183100939	37.5247192	129.1142915
서울특별시	마포구	23.87	392313	16435.40008378718	37.5637561	126.9084211
전라남도	목포시	47.32	246364	5206.3398140321215	34.8118351	126.3921664
전라남도	무안군	436.4	73830	169.17965169569203	34.99045419999999	126.4816856
전라북도	무주군	631.68	25979	41.126836372847016	36.0068191	127.6607805
경상북도	문경시	912.0	77142	84.58552631578948	36.586148	128.1867972
경상남도	밀양시	799.03	111112	139.0586085628825	35.5037598	128.7464415
충청남도	보령시	568.22	108141	190.31537080708176	36.3331629	126.6129441
전라남도	보성군	663.16	49495	74.6350805235539	34.7714563	127.0798944
충청북도	보은군	584.45	35212	60.24809650098383	36.4894573	127.7294827
경상북도	봉화군	1201.0	34539	28.758534554537885	36.8930933	128.7323752
부산광역시	부산진구	29.7	398101	13404.074074074075	35.1630009	129.0531722
전라북도	부안군	493.54	60661	122.90999716335048	35.73156609999999	126.7334651
충청남도	부여군	624.51	76295	122.1677795391587	36.2754406	126.910178
경기도	부천시	53.44	884976	16560.179640718565	37.5034138	126.7660309
인천광역시	부평구	32.0	571700	17865.625	37.5069818	126.7217739
광주광역시	북구	121.74	472753	3883.3004764251687	35.1740167	126.9119842
대구광역시	북구	95.5	457382	4789.340314136126	35.8857114	128.5828073
부산광역시	북구	38.3	315606	8240.365535248042	35.1971347	128.9903711
울산광역시	북구	80.41	173677	2159.8930481283423	35.58273399999999	129.3609087
부산광역시	사상구	35.8	258975	7233.938547486034	35.1526399	128.9908173
경상남도	사천시	396.3	114554	289.0587938430482	35.0037788	128.064185
부산광역시	사하구	40.89	363630	8892.883345561262	35.1044223	128.9747081
경상남도	산청군	794.59	35239	44.348657798361415	35.4155885	127.8734981
강원도	삼척시	1185.8	72431	61.08196997807388	37.4498683	129.1652059
경상북도	상주시	1254.82	106990	85.2632250043831	36.4109466	128.1590828
광주광역시	서구	46.73	300999	6441.236892788359	35.1528248	126.8910977
대구광역시	서구	17.5	227006	12971.771428571428	35.8717686	128.559115
대전광역시	서구	95.25	502949	5280.304461942257	36.3545224	127.3836025
부산광역시	서구	13.67	126811	9276.591075347476	35.09773	129.0241207
인천광역시	서구	137.05	405534	2959.022254651587	37.5454212	126.6759723
서울특별시	서대문구	17.6	336649	19127.78409090909	37.5791158	126.9367789
충청남도	서산시	739.15	161238	218.13975512412907	36.7844993	126.4503169
충청남도	서천군	363.4	60672	166.95652173913044	36.0803312	126.6913277
서울특별시	서초구	47.04	431131	9165.199829931973	37.4837121	127.0324112
경기도	성남시	141.82	979035	6903.363418417713	37.4449168	127.1388684
서울특별시	성동구	16.85	316064	18757.507418397625	37.5633415	127.0371025
서울특별시	성북구	24.57	484457	19717.41961741962	37.589116	127.0182146
경상북도	성주군	616.28	46543	75.52248977737392	35.9190079	128.2829738
강원도	속초시	105.25	84568	803.4964370546319	38.2070148	128.5918488
서울특별시	송파구	33.9	689296	20333.21533923304	37.5145437	127.1065971
대구광역시	수성구	76.49	457670	5983.396522421232	35.8582435	128.6306086
부산광역시	수영구	10.16	178231	17542.42125984252	35.145615	129.1130831
경기도	수원시	121.09	1071313	8847.245850194071	37.2635727	127.0286009
전라북도	순창군	495.75	30471	61.46444780635401	35.3744136	127.1375968
전라남도	순천시	907.35	271107	298.7898826252273	34.950637	127.4872135
