University,City,State,Amount
University of Akron,Akron,OH,34749
Albany State University Foundation,Albany,GA,26000
Alma College,Alma,MI,26175
Northwestern Oklahoma State University Foundation,Alva,OK,20750
Iowa State University,Ames,IA,29500
University of Michigan,Ann Arbor,MI,18607
Lebanon Valley College,Annville,PA,5500
Henderson State University,Arkadelphia,AR,6515
George Mason University - Institute for Humane Studies (IHS),Arlington,VA,23387030
George Mason University - Mercatus Center,Arlington,VA,8708500
University of Texas Arlington,Arlington,TX,24500
Ashland University,Ashland,OH,40000
Randolph-Macon College,Ashland,VA,9000
Benedictine College,Atchison,KS,34000
Athens State University,Athens,AL,7000
Ohio University Foundation,Athens,OH,177128
University of Georgia Foundation,Athens,GA,12800
Menlo College,Atherton,CA,2000
Emory University,Atlanta,GA,6000
Georgia State University Foundation,Atlanta,GA,66500
Georgia Tech,Atlanta,GA,29718
Oglethorpe University,Atlanta,GA,10000
Auburn University,Auburn,AL,300000
Acton Business School,Austin,TX,100000
St. Edwards University,Austin,TX,21000
University of Texas Austin,Austin,TX,27608
Azusa Pacific University,Azusa,CA,93500
Webber International University,Babson Park,FL,17500
Johns Hopkins University,Baltimore,MD,24000
University of Maryland - Baltimore County,Baltimore,MD,32600
Louisiana State University Foundation,Baton Rouge,LA,11340
Geneva College,Beaver Falls,PA,5000
Beloit College,Beloit,WI,184500
Ferris State University,Big Rapids,MI,5000
Birmingham Southern College,Birmingham,AL,6500
Samford University,Birmingham,AL,40000
University of Alabama Birmingham,Birmingham,AL,4874
Indiana University Foundation,Bloomington,IN,378100
Florida Atlantic University,Boca Raton,FL,11000
Boise State University Foundation,Boise,ID,52320
Appalachian State University,Boone,NC,17500
Suffolk University,Boston,MA,996328
University of Colorado Foundation,Boulder,CO,61000
Bowling Green State University Foundation,Bowling Green,OH,8000
Western Kentucky University,Bowling Green,KY,59700
Montana State University - Bozeman,Bozeman,MT,75500
Concordia College New York,Bronxville,NY,6000
Sarah Lawrence College,Bronxville,NY,48500
Brooklyn College Foundation,Brooklyn,NY,5000
Long Island University,Brookville,NY,8000
College of Coastal Georgia Foundation,Brunswick,GA,9000
Southern Virginia University,Buena Vista,VA,5000
Jack Miller Center (nonprofit finances universities),Buffalo Grove,IL,2101500
Campbell University,Buies Creek,NC,70693
Harvard University,Cambridge,MA,47500
Massachusetts Institute of Technology MIT,Cambridge,MA,394978
Rutgers University,Camden,NJ,27000
Malone University,Canton,OH,4500
St. Lawrence University,Canton,NY,95500
West Texas A&M University,Canyon,TX,47500
Southern Illinois University,Carbondale,IL,87526
Southern Utah University,Cedar City,UT,27600
Cedarville University,Cedarville,OH,24500
University of North Carolina - Chapel Hill,Chapel Hill,NC,498400
Charleston Southern University,Charleston,SC,38700
College of Charleston Foundation,Charleston,SC,250555
Johnson and Wales University,Charlotte,SC,8000
University of Virginia,Charlottesville,VA,56000
University of Tennessee - Chattanooga,Chattanooga,TN,27000
Washington College,Chestertown,MD,18000
Loyola University Chicago,Chicago,IL,30252
North Park University,Chicago,IL,22700
Roosevelt University,Chicago,IL,16350
University of Chicago,Chicago,IL,5000
California State University - Chico,Chico,CA,3000
Claremont Graduate University,Claremont,CA,70000
Claremont McKenna College,Claremont,CA,120400
Rogers State University Foundation,Claremore,OK,22500
Austin Peay State University,Clarksville,TN,1200
Clemson University,Clemson,SC,1292516
Case Western Reserve University,Cleveland,OH,25000
Delta State University,Cleveland,MS,8000
Lee University,Cleveland,TN,22500
Presbyterian College,Clinton,SC,9743
East Florida State College,Cocoa,FL,5000
St. Michael's College,Colchester,VT,6000
University of Maryland - College Park,College Park,MD,6500
Texas A&M University,College Station,TX,362700
Ursinus College,Collegeville,PA,14000
Colorado College,Colorado Springs,CO,9000
University of Colorado - Colorado Springs,Colorado Springs,CO,8000
University of Missouri - Columbia,Columbia,MO,181000
Ohio State University,Columbus,OH,374000
University of Central Arkansas Foundation,Conway,AR,76875
Coastal Carolina University,Conways,SC,44300
La Sierra University,Corona,CA,25000
Western Carolina University,Cullowhee,NC,76500
Andrew College,Cuthbert,GA,8500
Southern Methodist University,Dallas,TX,585800
St. Ambrose University,Davenport,IA,32400
University of California Davis,Davis,CA,5561
University of Dayton,Dayton,OH,78250
Millikin University,Decatur,IL,14000
Northern Illinois University,Dekalb,IL,20000
University of North Texas,Denton,TX,3000
Metropolitan State University Denver Foundation,Denver,CO,107840
Delaware State University Foundation,Dover,DE,15422
University of Minnesota - Duluth,Duluth,MN,6500
Duke University,Durham,NC,104781
Michigan State University,East Lansing,MI,112230
Stonehill College,Easton,MA,47494
University of Wisconsin - Eau Claire,Eau Claire,WI,7082
University of Texas at El Paso,Edinburg,TX,21975
University of Texas Pan American Foundation,Edinburg,TX,59300
Foundation for Grossmost & Cuyamaca Colleges,El Cajon,CA,10000
Elizabethtown College,Elizabethtown,PA,6000
Mount St. Mary's University,Emmitsburg,MD,1800
Emporia State University Foundation,Emporia,KS,85700
Pennsylvania State University - Erie,Erie,PA,14500
Eureka College,Eureka,IL,5000
Northwestern University,Evanston,IL,459954
College of New Jersey,Ewing,NJ,76410
University of Alaska Fairbanks,Fairbanks,AK,86800
George Mason University Foundation,Fairfax,VA,45558153
North Dakota State University,Fargo,ND,32500
Fayetteville State University,Fayetteville,NC,27000
Methodist University,Fayetteville,NC,5000
University of Arkansas Foundation,Fayetteville,AR,30000
University of North Alabama Foundation,Florence,AL,7000
Florida Gulf Coast University Foundation,Fort Myers,FL,202646
Texas Christian University,Fort Worth,TX,7500
California State University - Fresno Foundation,Fresno,CA,7500
Christendom College,Front Royal,VA,15200
Kenyon College,Gambier,OH,27000
University of Wisconsin - Green Bay,Green Bay,WI,9500
University of North Carolina - Greensboro,Greensboro,NC,14300
Grove City College,Grove City,PA,306249
Colgate University,Hamilton,NY,9331
Hampden-Sydney College,Hampden Sydney,VA,199100
Hampton University,Hampton,VA,8000
Dartmouth College,Hanover,NH,63000
Hanover College,Hanover,IN,14300
James Madison University,Harrisonburg,VA,116905
Trinity College,Hartford,CT,102753
Fort Hays State University Foundation,Hays,KS,507000
California State University - East Bay,Hayward,CA,47000
Hofstra University,Hempstead,NY,3000
High Point University,High Point,NC,26500
Hillsdale College,Hillsdale,MI,211423
University of Hawaii,Hilo,HI,7500
Hope College,Holland,MI,27000
Houghton College,Houghton,NY,11700
Houston Baptist University,Houston,TX,13000
San Jacinto College,Houston,TX,3000
University of Houston,Houston,TX,36000
University of St. Thomas,Houston,TX,36000
Sam Houston State University,Huntsville,TX,6500
University of Alabama Huntsville,Huntsville,AL,14974
Indiana University - Indianapolis,Indianapolis,IN,92500
University of California Irvine,Irvine,CA,10000
University of Dallas,Irving,TX,98000
Millsaps College,Jackson,MS,5000
Jacksonville State University,Jacksonville,AL,18000
Western Michigan University,Kalamazoo,MI,35650
James Sprunt Community College,Kenansville,NC,18000
Kennesaw State University,Kennesaw,GA,30500
Carthage College,Kenosha,WI,30000
Northwest University,Kirkland,WA,28000
University of Tennessee - Knoxville,Knoxville,TN,10000
University of Wisconsin - La Crosse,La Crosse,WI,12500
National University,La Jolla,CA,31235
Biola University,La Miranda,CA,14500
Lagrange College,Lagrange,GA,5000
McNeese University,Lake Charles,LA,3200
Lake Forest College,Lake Forest,IL,31000
Florida Southern College,Lakeland,FL,600000
University of Nevada - Las Vegas,Las Vegas,NV,15000
St. Vincent College,Latrobe,PA,42500
Kansas University Endowment Association,Lawrence,KS,695217
Georgia Gwinnett College Foundation,Lawrenceville,GA,12500
McKendree University,Lebanon,IL,29000
Translyvania University,Lexington,KY,9000
University of Kentucky,Lexington,KY,154500
Virginia Military Institute,Lexington,VA,20500
Washington and Lee University,Lexington,VA,5000
William Jewell College,Liberty,MO,5100
University of Arkansas Little Rock,Little Rock,AR,30029
Utah State University,Logan,UT,1048500
King's College London,London,UK,5000
California State University - Long Beach,Long Beach,CA,41000
Saint Francis University,Loretto,PA,14500
Southwestern Law School,Los Angeles,CA,4000
University of California Los Angeles Foundation,Los Angeles,CA,23426
University of Louisville,Louisville,KY,84055
Texas Tech University - Foundation,Lubbock,TX,125000
Liberty University,Lynchburg,VA,20000
University of Maine - Machias,Machias,ME,16000
Mercer University,Macon,GA,99500
Wesleyan University,Macon,GA,42300
University of Wisconsin Foundation - Madison,Madison,WI,133400
Ramapo College Foundation,Mahwah,NJ,15000
Pepperdine University,Malibu,CA,49650
St. Anselm College,Manchester,NH,3000
Kansas State University Foundation,Manhattan,KS,498754
Northern Michigan University,Marquette,MI,1000
Linfield College,McMinnville,OR,10427
Allegheny College,Meadville,PA,6000
Rhodes College,Memphis,TN,89300
University of Memphis,Memphis,TN,11900
Bethel College,Meshawaka,IN,57205
Northwood University,Midland,MI,88000
Georgia College & State University,Milledgeville,GA,43330
Milligan College,Milligan College,TN,8800
Wisconsin Lutheran College,Milwaukee,WI,7500
Mississippi State University,Mississippi State,MS,52000
University of South Alabama,Mobile,AL,35586
Montclair State University,Montclair,NJ,33271
McGill University,Montreal,QC Canada,126700
Robert Morris University,Moon Township,PA,32000
Morehead State University,Morehead,KY,24300
West Virginia University Foundation,Morgantown,WV,1337525
Berry College,Mount Berry,GA,109000
Central Michigan University,Mount Pleasant,MI,2000
Cornell College (Iowa),Mount Vernon,IA,3000
Ball State University,Muncie,IN,38600
Middle Tennessee State University Foundation,Murfreesboro,TN,34550
Murray State University,Murray,KY,26442
Stephen F. Austin State University,Nacogdoches,TX,64600
Northwest Nazarene University,Nampa,ID,19000
Ave Maria University,Naples,FL,6500
Lipscomb University,Nashville,TN,8400
Loyola University New Orleans,New Orleans,LA,204000
Tulane University,New Orleans,LA,6000
University of New Orleans Foundation,New Orleans,LA,43000
Brooklyn Law School,New York,NY,250000
King's College the,New York,NY,35500
New York University,New York,NY,249000
State University of New York (SUNY) Research Foundation,New York,NY,26000
Yeshiva University,New York,NY,23000
University of Delaware,Newark,DE,5700
George Fox University,Newberg,OR,47542
Christopher Newport University Educational Foundation,Newport News,VA,67000
Illinois State University,Normal,IL,5000
University of Oklahoma,Norman,OK,9000
California State University - Northridge Foundation,Northridge,CA,5000
University of Notre Dame,Notre Dame,IN,99650
Creighton University,Omaha,NE,300000
University of Nebraska Omaha,Omaha,NE,49949
Chapman University,Orange,CA,132000
Northwestern College - Iowa,Orange City,IA,10000
Clafin University,Orangeburg,SC,6500
Oxford College of Emory University,Oxford,GA,16000
University of North Carolina - Pembroke,Pembroke,NC,5000
University of West Florida Foundation,Pensacola,FL,49000
Chestnut Hill College,Philadelphia,PA,14000
Arizona Christian University,Phoenix,AZ,7000
Carnegie Mellon University,Pittsburgh,PA,5850
Duquesne University,Pittsburgh,PA,125500
University of Pittsburgh,Pittsburgh,PA,5000
State University of New York (SUNY) - Plattsburgh,Plattsburgh,NY,58500
University of Maine - Orono,Portland,ME,5800
Vassar College,Poughkeepsie,NY,5000
Brown University,Providence,RI,450682
Providence College,Providence,RI,43350
Patrick Henry College,Purcellville,VA,80500
Manhattanville College,Purchase,NY,6500
State University of New York (SUNY) - Purchase,Purchase,NY,5000
St. John's University,Queens,NY,165562
Radford University,Radford,VA,14000
North Carolina State University,Raleigh,NC,55681
Wake Technical Community College,Raleigh,NC,5000
Shasta College Foundation,Redding,CA,10000
University of Nevada Reno Foundation,Reno,NV,21000
University of Richmond,Richmond,VA,68475
University of California Riverside Foundation,Riverside,CA,15000
Hollins University,Roanoke,VA,6000
Rochester Institute of Technology,Rochester,NY,5000
St. John Fisher College,Rochester,NY,35500
University of Rochester,Rochester,NY,9000
Winthrop University,Rock Hill,SC,9500
Rockford College,Rockford,IL,71350
Arkansas Tech University,Russellville,AR,21000
Lindenwood University,Saint Charles,MO,34500
St. Cloud State University Foundation,Saint Cloud,MN,36700
St. Mary's College of Maryland,Saint Mary's City,MD,17500
Corban University,Salem,OR,4000
Roanoke College,Salem,VA,4700
Salisbury University,Salisbury,MD,81000
Trinity University,San Antonio,TX,10837
University of Texas San Antonio,San Antonio,TX,11500
California State University - San Bernardino,San Bernardino,CA,17000
San Diego State University Research Foundation,San Diego,CA,25700
University of San Diego,San Diego,CA,61320
University of San Francisco,San Francisco,CA,8000
San Jose State University Foundation,San Jose,CA,192900
Texas State University - San Marcos,San Marcos,TX,25296
Central Carolina Community College Foundation,Sanford,NC,5000
Westmont College,Santa Barbara,CA,3000
Santa Clara University,Santa Clara,CA,5000
Skidmore College,Saratoga Springs,NY,12600
Harding University,Searcy,AR,5000
Seattle Pacific University,Seattle,WA,5500
University of Washington,Seattle,WA,16997
Susquehanna University,Selinsgrove,PA,7000
Lakeland College,Sheboygan,WI,22000
John Brown University,Siloam Springs,AR,9000
Augustana College,Sioux Falls,SD,10000
Mount Holyoke College,South Hadley,MA,10000
Seton Hall University,South Orange,NJ,64911
Wofford College,Spartanburg,SC,21500
University of Illinois Springfield,Springfield,IL,10375
St. Bonaventure University,St. Bonaventure,NY,19000
Washington University - St. Louis,St. Louis,MO,18329
Gustavus Adolphus College,St. Peter,MN,7000
Stanford University,Stanford,CA,40000
Oklahoma State University Foundation,Stillwater,OK,105400
Buena Vista University,Storm Lake,IA,7000
University of Connecticut,Storrs,CT,2500
Syracuse University,Syacuse,NY,5000
Northeastern State University Tahlequah,Tahlequah,OK,21600
Florida State University,Tallahassee,FL,2345187
University of South Florida Founation,Tampa,FL,10700
University of Tampa,Tampa,FL,7000
Arizona State University Foundation,Tempe,AZ,230700
Nicholls State University,Thibodaux,LA,8805
Washburn University Foundation,Topeka,KS,2500
Towson University Foundation,Towson,MD,10650
Renssalear Polytechnic Institute,Troy,NY,38000
Troy University Foundation,Troy,AL,1110960
University of Tulsa,Tulsa,OK,30000
Stillman College,Tuscaloosa,AL,7500
University of Alabama Tuscaloosa,Tuscaloosa,AL,22950
University of Arizona Foundation,Tuscon,AZ,1038965
University of Mississippi,University,MS,16364
Saginaw Valey State University,University Center,MI,8590
Pennsylvania State University - University Park,University Park,PA,75000
Regent University,Virginia Beach,VA,86000
College of the Sequoias Foundation,Visalia,CA,6000
Baylor University,Waco,TX,189763
Southeastern Baptist Theologic,Wake Forest,NC,8000
Whitman College,Walla Walla,WA,6000
American University,Washington,DC,46000
Catholic University of America,Washington,DC,833000
George Washington University,Washington,DC,353682
Georgetown University,Washington,DC,14000
Wellesley College,Wellesley,MA,15000
Purdue University,West Lafayette,IN,84000
West Liberty University,West Liberty,WV,15000
Wheaton College,Wheaton,IL,18900
Wheeling Jesuit University,Wheeling,WV,8000
Friends University,Wichita,KS,320620
Newman University,Wichita,KS,204000
Wichita State University,Wichita,KS,144000
Midwestern State University Foundation,Wichita Falls,TX,9800
College of William and Mary,Williamsburg,VA,52260
Barton College,Wilson,NC,38480
Wingate University,Wingate,NC,3000
Wake Forest University,Winston Salem,NC,114310
Winston-Salem State University,Winston Salem,NC,33900
University of Virginia's College at Wise,Wise,VA,16000
Assumption College,Worcester,MA,6000
College of the Holy Cross,Worcester,MA,7300
University of Pennsylvania,Wynnewood,PA,5000
York College of Pennsylvania,York,PA,2000
