State,Average_Debt,_With_Debt
Alabama,29425,54
Alaska,26742,50
Arizona,22609,57
Arkansas,25344,55
California,21382,55
Colorado,25064,56
Connecticut,29750,62
Delaware,33808,62
District Of Columbia,0,0
Florida,24947,54
Georgia,26518,62
Hawaii,24554,47
Idaho,26091,72
Illinois,28984,67
Indiana,29222,61
Iowa,29732,68
Kansas,25521,65
Kentucky,25939,64
Louisiana,23025,47
Maine,30908,68
Maryland,27457,58
Massachusetts,29391,65
Michigan,29450,62
Minnesota,31579,70
Mississippi,26177,60
Missouri,25844,59
Montana,26946,67
Nebraska,26278,63
Nevada,20211,46
New Hampshire,33410,76
New Jersey,28318,68
New Mexico,18969,48
New York,27822,61
North Carolina,25218,61
North Dakota,0,0
Ohio,29353,67
Oklahoma,23430,55
Oregon,26106,62
Pennsylvania,33264,70
Rhode Island,31841,65
South Carolina,29163,59
South Dakota,26023,69
Tennessee,25510,60
Texas,26250,59
Utah,18921,54
Vermont,29060,65
Virginia,26432,60
Washington,24804,58
West Virginia,26854,69
Wisconsin,28810,70
Wyoming,23708,46
