Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
1,DeMar DeRozan,TOR,$26540100,$27739975,$27739975,$27739975,$27739975,,Cap Space,$109760025
2,Mike Conley,MEM,$26540100,$28530608,$30521115,$32511623,$34504132,,Cap Space,$140529829
3,James Harden,HOU,$26540100,$28299339,$30431854,$32703493,,,Bird Rights,$85271293
4,Kevin Durant,GSW,$26540100,$27734406,,,,,Cap Space,$26540100
5,Al Horford,BOS,$26540100,$27734405,$28928710,$30123015,,,Cap Space,$83203215
6,Carmelo Anthony,NYK,$24559380,$26243760,$27928140,,,,Bird Rights,$50803140
7,Chris Bosh,MIA,$23741060,$25289390,$26837720,,,,Bird Rights,$75868170
8,Dwyane Wade,CHI,$23200000,$23800000,,,,,Cap Space,$23200000
9,Dwight Howard,ATL,$23180275,$23500000,$23819725,,,,Cap Space,$70500000
10,Chris Paul,LAC,$22868828,$24268960,,,,,Bird Rights,$22868828
11,Chandler Parsons,MEM,$22200000,$23199000,$24198000,$25197000,,,Cap Space,$94794000
12,Hassan Whiteside,MIA,$22116750,$23775506,$25434263,$27093018,,,Cap Space,$71326519
13,Andre Drummond,DET,$22116750,$23775506,$25434263,$27093019,$28751775,,Cap Space,$98419538
14,Harrison Barnes,DAL,$22116750,$23112004,$24107258,$25102512,,,Cap Space,$69336012
15,DeAndre Jordan,LAC,$21500000,$22500000,$24000000,,,,Bird Rights,$44000000
16,Kevin Love,CLE,$21500000,$22500000,$24000000,$25500000,,,Bird Rights,$93500000
17,Derrick Rose,NYK,$21323250,,,,,,Bird Rights,$21323250
18,Marc Gasol,MEM,$21200000,$22600000,$24100000,$25600000,,,Bird Rights,$67900000
19,Damian Lillard,POR,$21000000,$22500000,$24000000,$25500000,$27000000,,1st Round Pick,$120000000
20,Anthony Davis,NOP,$21000000,$22500000,$24000000,$25000000,$27000000,,1st Round Pick,$119500000
21,Brook Lopez,BRK,$21000000,$22000000,,,,,Bird Rights,$43000000
22,Nicolas Batum,CHO,$20869566,$22434783,$24000000,$25565217,$27130434,,Cap Space,$92869566
23,LaMarcus Aldridge,SAS,$20500000,$21500000,$22500000,,,,Cap Space,$42000000
24,Blake Griffin,LAC,$20140838,$21373950,,,,,Bird Rights,$41514788
25,Paul Millsap,ATL,$20000000,$21000000,,,,,Bird Rights,$20000000
26,Ryan Anderson,HOU,$18735364,$19578455,$20421546,$21264635,,,Cap Space,$80000000
27,Allen Crabbe,POR,$18500000,$18500000,$19332500,$18500000,,,Cap Space,$56332500
28,Paul George,IND,$18314532,$19508958,$20703384,,,,1st Round Pick,$37823490
29,Luol Deng,LAL,$18000000,$17190000,$18000000,$18810000,,,Cap Space,$72000000
30,Russell Westbrook,OKC,$17769374,,,,,,Bird Rights,$17769374
31,Kawhi Leonard,SAS,$17500000,$19000000,$20000000,$21000000,,,Bird Rights,$56500000
32,Enes Kanter,OKC,$17100000,$17900000,$18600000,,,,Bird Rights,$35000000
33,Greg Monroe,MIL,$17100000,$17900000,,,,,Cap Space,$17100000
34,Wesley Matthews,DAL,$17100000,$17900000,$18600000,,,,Cap Space,$53600000
35,Bismack Biyombo,ORL,$17000000,$17000000,$17000000,$18872365,,,Cap Space,$51000000
36,Evan Fournier,ORL,$17000000,$17000000,$17000000,$17000000,$17000000,,Cap Space,$85000000
37,Joakim Noah,NYK,$17000000,$17765000,$18530000,$19295000,,,Cap Space,$72590000
38,Tobias Harris,DET,$17000000,$16000000,$15000000,,,,Bird Rights,$48000000
39,John Wall,WAS,$16957900,$18063850,$19169800,,,,1st Round Pick,$54191550
40,Klay Thompson,GSW,$16662500,$17825500,$18987500,,,,1st Round Pick,$53475500
41,Jimmy Butler,CHI,$16400000,$17545000,$18690000,$19840000,,,Bird Rights,$52635000
42,Evan Turner,POR,$16393443,$17131148,$17868852,$18606557,,,Cap Space,$70000000
43,Gordon Hayward,UTA,$16073140,$16736710,,,,,Bird Rights,$16073140
44,Timofey Mozgov,LAL,$16000000,$15280000,$16000000,$16720000,,,Cap Space,$64000000
45,Ian Mahinmi,WAS,$15944154,$16661641,$15944154,$15450051,,,Cap Space,$64000000
46,Goran Dragic,MIA,$15890000,$17000000,$18110000,$19220000,,,Bird Rights,$51000000
47,Kyrie Irving,CLE,$15851950,$16957900,$18063850,$19169800,,,Early Bird Rights,$50873700
48,DeMarcus Cousins,SAC,$15756438,$16784031,,,,,1st Round Pick,$32540469
49,Kent Bazemore,ATL,$15730338,$16910113,$18089887,$19269662,,,Cap Space,$50730338
50,Pau Gasol,SAS,$15500000,$16197500,,,,,Cap Space,$15500000
51,Danilo Gallinari,DEN,$15500000,$16000000,,,,,,$15500000
52,Tristan Thompson,CLE,$15330435,$16400000,$17469565,$18539130,,,Bird Rights,$67739130
53,Draymond Green,GSW,$15300000,$16400000,$17500000,$18500000,,,Bird Rights,$67700000
54,Jeff Green,ORL,$15000000,,,,,,Cap Space,$15000000
55,Khris Middleton,MIL,$15000000,$14000000,$13000000,$13000000,,,Bird Rights,$42000000
56,Reggie Jackson,DET,$15000000,$16000000,$17000000,$18000000,,,Bird Rights,$66000000
57,Tony Parker,SAS,$14445313,$15453126,,,,,Bird Rights,$29898439
