P. Name,P. Mass Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. ESI,P. Habitable,P. Hab Moon
1RXS 1609 b,Jovian,non-habitable,4451.16,19.04,0.64,12.28,15.29,11.4,11.4,11.4,2870.4,,330,330,1RXS 1609,Scorpio,K7V,0.73,1.35,4060,0.444285,0.011,145,1,0,0.54,1.362,0.05,0,0
1SWASP J1407 b,Jovian,non-habitable,6358.8,10.94,4.86,53.12,24.11,97.7,97.7,97.7,30873.8,3725,3.9,3.9,1SWASP J1407,Centaurus,K,0.9,0.99,4400,0.329588,0.016,133,1,0,0.461,1.143,0.07,0,0
2M 0103-55(AB) b,Jovian,non-habitable,4133.22,11.4,2.79,31.79,19.04,11.4,11.4,11.4,11520.8,,84,84,2M 0103-55(AB),Phoenix,M,0.4,0.38,3840,0.027955,0.03,47.2,1,0,0.136,0.347,0.06,0,0
2M 0122-24 b,Jovian,non-habitable,6358.8,11.2,4.53,50.69,23.83,14.4,14.4,14.4,28780.4,,52,52,2M 0122-24,Cetus,M3.5,0.4,0.38,3840,0.027955,0.12,36,1,0,0.136,0.347,0.08,0,0
2M 0219-39 b,Jovian,non-habitable,4419.37,16.13,1.05,16.99,16.55,5.6,5.6,5.6,4655.6,,156,156,2M 0219-39,Fornax,M6,0.11,0.27,3064,0.005765,,39.4,1,0,0.062,0.165,0.06,0,0
2M 0441+23 b,Jovian,non-habitable,2384.55,11.66,1.5,17.53,14.3,4.8,4.8,4.8,3585.2,,15,15,2M 0441+23,Taurus,M8.5,0.02,0.01,3840,0.000028,0.001,140,1,0,0.004,0.011,0.07,0,0
2M 0746+20 b,Jovian,non-habitable,9538.2,10.86,7.44,80.81,29.63,14,16.8,23.8,70951.8,4640,2.897,2.53,2M 0746+20,Gemini,,0.12,0.09,2205,0.000168,,12.21,1,0,0.011,0.029,0.08,0,0
2M 1207-39 b,Jovian,non-habitable,1271.76,11.66,0.8,9.36,10.44,3.3,3.3,3.3,1020.6,,46,46,2M 1207-39,Centaurus,M8,0.03,0.02,3840,0.000058,0.008,52.4,1,0,0.006,0.016,0.08,0,0
2M 1938+46 b,Jovian,non-habitable,604.09,11.21,0.43,4.81,7.34,159.4,159.4,159.4,259.4,416,0.92,0.92,2M 1938+46,Cygnus,sdB+M,0.6,,,0.1296,,,1,0,,,0.24,0,0
2M 2140+16 b,Jovian,non-habitable,6358.8,10.3,5.81,59.89,24.84,15.2,17,19.8,36960.1,7340,3.53,3.41,2M 2140+16,Pegasus,,0.08,0.1,2300,0.000251,,25,1,0,0.013,0.035,0.08,0,0
2M 2206-20 b,Jovian,non-habitable,9538.2,14.56,3.09,44.99,25.59,16.2,16.2,16.2,29474.7,8686,4.48,4.48,2M 2206-20,Aquarius,,0.13,0.11,2350,0.000331,,26.67,1,0,0.015,0.041,0.06,0,0
2M J2126-81 b,Jovian,non-habitable,4228.6,11.38,2.87,32.62,19.27,2.4,2.4,2.4,12117.6,,6900,6900,2M J2126-81,Octans,M2,0.4,1.39,3840,0.372521,0.027,24.75,1,0,0.497,1.267,0.06,0,0
4 Uma b,Jovian,non-habitable,2257.37,11.67,1.42,16.57,13.91,742.3,877.3,1178.5,3205.8,269.3,0.87,0.78,4 Uma,Ursa Major,K1III,1.23,18.11,4415,111.801993,4.604,78.5,1,0,8.48,21.034,0.07,0,0
7 Canis Major b,Jovian,non-habitable,782.13,11.44,0.52,5.98,8.27,208.8,230,261.2,408.7,796,1.93,1.88,7 Canis Major,Canis Major,K1 III,1.52,2.3,4792,2.502723,,19.75,1,1,1.251,3.05,0.42,0,0
8 Umi b,Jovian,non-habitable,476.91,10.92,0.37,4,6.61,933.1,960.5,990.9,174.8,93.4,0.49,0.49,8 Umi,Ursa Minor,K0,1.8,9.9,4847.4,48.550717,1.7,159.1,1,0,5.496,13.371,0.11,0,0
11 Com b,Jovian,non-habitable,6168.04,10.98,4.66,51.15,23.7,723.3,799.7,915.1,28729.5,326.03,1.29,1.26,11 Com,Coma Berenices,G8 III,2.7,19,4742,163.773362,,110.6,1,0,10.14,24.781,0.06,0,0
11 Ophiuchus b,Jovian,non-habitable,6676.74,10.87,5.19,56.47,24.78,1.1,1.1,1.1,34672.8,730000,243,243,11 Ophiuchus,Scorpio,M9,0.02,0.02,2375,0.000018,0.011,145,1,0,0.003,0.009,0.05,0,0
11 UMi b,Jovian,non-habitable,3338.37,11.54,2.17,25.05,17,728.2,756.4,788.9,7242.6,516.22,1.54,1.54,11 UMi,Ursa Minor,K4III,1.8,24.08,4340,184.570281,1.56,119.5,1,0,10.921,27.187,0.07,0,0
14 And b,Jovian,non-habitable,1694.62,11.68,1.06,12.41,12.04,772.6,772.6,772.6,1800.5,185.84,0.83,0.83,14 And,Andromeda,K0III,2.2,11,4813,58.25573,,76.4,1,0,6.029,14.69,0.09,0,0
14 Her b,Jovian,non-habitable,1475.24,11.68,0.93,10.82,11.24,101.2,117.3,149,1366.4,1773.4,2.77,2.57,14 Her,Hercules,K0 V,0.9,0.71,5311,0.357817,5.1,18.1,1,0,0.461,1.102,0.13,0,0
16 Cyg B b,Jovian,non-habitable,534.14,11.06,0.39,4.36,6.95,149.4,187.6,348.2,210.6,799.5,1.68,1.22,16 Cyg B,Cygnus,G2.5 V,1.01,0.98,5766,0.952446,8,21.41,1,1,0.733,1.727,0.39,0,0
18 Del b,Jovian,non-habitable,3274.78,11.55,2.12,24.53,16.83,382,396.8,413.8,6951.2,993.3,2.6,2.59,18 Del,Delphinus,G6III,2.3,8.5,4979,39.83788,,73.1,1,0,4.949,11.975,0.2,0,0
24 Sex b,Jovian,non-habitable,632.7,11.25,0.44,5,7.5,412.8,430.8,451.8,280.9,452.8,1.333,1.33,24 Sex,Sextans,G5,1.54,4.9,5098,14.550615,2.7,74.8,2,0,2.974,7.162,0.21,0,0
24 Sex c,Jovian,non-habitable,273.43,9.99,0.27,2.74,5.23,303.8,343.2,409.5,75.1,883,2.08,1.99,24 Sex,Sextans,G5,1.54,4.9,5098,14.550615,2.7,74.8,2,0,2.974,7.162,0.35,0,0
30 Ari B b,Jovian,non-habitable,3141.25,11.58,2.03,23.44,16.47,280,316.2,377,6362.4,335.1,0.995,0.95,30 Ari B,Aries,F6V,1.22,1.23,6484,2.399231,0.91,39.4,1,0,1.114,2.586,0.31,0,0
42 Dra b,Jovian,non-habitable,1233.61,11.65,0.78,9.09,10.29,678.3,789.4,1011.9,961.9,479.1,1.19,1.1,42 Dra,Draco,K1.5III,0.98,22.03,4200,135.492709,9.49,97.3,1,0,9.395,23.546,0.09,0,0
47 Uma b,Jovian,non-habitable,804.39,11.46,0.53,6.13,8.38,196.5,199.6,202.9,430,1078,2.1,2.1,47 Uma,Ursa Major,G0V,1.03,1.24,5892,1.662586,7.4,13.97,3,1,0.961,2.258,0.35,0,0
