
Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,CHW,AL,156,100,54,.649,4.2,3.0,1.2,-0.2,1.1,101-53,-1,56-21,44-33,32-24,66-38,34-16,42-24,58-30
2,NYG,NL,158,98,56,.636,4.0,2.9,1.1,-0.1,1.0,100-54,-2,50-28,48-28,28-22,68-38,30-18,39-27,59-29
3,BOS,AL,157,90,62,.592,3.5,2.9,0.6,-0.1,0.6,90-62,0,45-33,45-29,30-24,67-44,23-18,29-36,61-26
4,PHI,NL,154,87,65,.572,3.8,3.2,0.5,-0.1,0.4,86-66,1,46-29,41-36,29-20,75-52,12-13,35-31,52-34
5,CLE,AL,156,88,66,.571,3.7,3.5,0.3,0.0,0.2,82-72,6,44-34,44-32,37-27,74-52,14-14,32-34,56-32
6,STL,NL,154,82,70,.539,3.4,3.7,-0.2,0.0,-0.2,71-81,11,38-38,44-32,29-19,62-43,20-27,30-36,52-34
7,DET,AL,154,78,75,.510,4.1,3.7,0.4,-0.1,0.3,84-69,-6,34-41,44-34,29-25,56-54,22-21,28-37,50-38
8,CIN,NL,157,78,76,.506,3.8,3.9,-0.1,0.0,-0.1,76-78,2,39-38,39-38,27-22,54-48,24-28,28-38,50-38
9,WSH,AL,157,74,79,.484,3.5,3.6,-0.1,0.0,-0.1,74-79,0,42-35,32-44,25-33,54-63,20-16,38-50,36-29
10,CHC,NL,157,74,80,.480,3.5,3.6,-0.1,0.0,-0.1,75-79,-1,35-42,39-38,24-20,46-50,28-30,31-57,43-23
11,BSN,NL,157,72,81,.471,3.4,3.5,-0.1,0.0,-0.1,74-79,-2,35-42,37-39,19-25,53-62,19-19,34-53,38-28
12,NYY,AL,155,71,82,.464,3.4,3.6,-0.2,0.0,-0.2,72-81,-1,35-40,36-42,25-27,53-61,18-21,35-53,36-29
13,BRO,NL,156,70,81,.464,3.3,3.6,-0.3,0.0,-0.3,69-82,1,36-38,34-43,20-30,50-50,20-31,38-47,32-34
14,SLB,AL,155,57,97,.370,3.3,4.4,-1.1,0.1,-1.0,57-97,0,31-46,26-51,18-28,44-70,13-27,27-61,30-36
15,PHA,AL,154,55,98,.359,3.4,4.5,-1.1,0.1,-0.9,58-95,-3,29-47,26-51,18-26,45-70,10-28,26-61,29-37
16,PIT,NL,157,51,103,.331,3.0,3.8,-0.8,0.1,-0.7,60-94,-9,25-53,26-50,22-40,40-66,11-37,32-56,19-47
,Avg,,,76,76,.500,3.6,3.6,,,,76-76,,38-37,37-38,25-25,56-53,19-22,32-43,43-32
