
Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,BAL,AL,162,109,53,.673,4.8,3.2,1.6,-0.1,1.5,110-52,-1,60-21,49-32,13-7,35-21,77-36,32-17,50-28,59-25
2,NYM,NL,162,100,62,.617,3.9,3.3,0.6,-0.1,0.5,92-70,8,52-30,48-32,10-6,41-23,75-45,25-17,64-50,36-12
3,MIN,AL,162,97,65,.599,4.9,3.8,1.1,-0.2,0.9,99-63,-2,57-24,40-41,11-8,31-31,65-44,32-21,34-32,63-33
4,ATL,NL,162,93,69,.574,4.3,3.9,0.4,0.0,0.3,88-74,5,50-31,43-38,8-3,28-17,67-51,26-18,66-54,27-15
5,CHC,NL,163,92,70,.568,4.4,3.7,0.7,-0.1,0.6,93-69,-1,49-32,43-38,11-5,29-23,74-52,18-18,59-55,33-15
6,DET,AL,162,90,72,.556,4.3,3.7,0.6,0.0,0.6,92-70,-2,46-35,44-37,8-11,26-20,57-47,33-25,35-43,55-29
7,SFG,NL,162,90,72,.556,4.4,3.9,0.5,-0.1,0.4,89-73,1,52-29,38-43,9-11,27-32,70-58,20-14,58-62,32-10
8,CIN,NL,163,89,73,.549,4.9,4.7,0.2,0.0,0.2,84-78,5,50-31,39-42,11-7,30-25,70-62,19-11,60-60,29-13
9,OAK,AL,162,88,74,.543,4.6,4.2,0.4,-0.1,0.3,87-75,1,49-32,39-42,10-12,28-25,59-42,29-32,30-36,58-38
10,PIT,NL,162,88,74,.543,4.5,4.0,0.5,0.0,0.4,89-73,-1,47-34,41-40,12-1,24-23,68-49,20-25,57-57,31-17
11,BOS,AL,162,87,75,.537,4.6,4.5,0.0,0.1,0.1,82-80,5,46-35,41-40,10-7,30-24,62-55,25-20,35-43,52-32
12,STL,NL,162,87,75,.537,3.7,3.3,0.3,0.0,0.3,88-74,-1,42-38,45-37,5-11,30-25,60-57,27-18,57-57,30-18
13,WSA,AL,162,86,76,.531,4.3,4.0,0.3,0.0,0.3,87-75,-1,47-34,39-42,11-9,27-29,56-58,30-18,38-40,48-36
14,LAD,NL,162,85,77,.525,4.0,3.5,0.5,-0.1,0.5,91-71,-6,50-31,35-46,4-10,25-26,55-52,30-25,55-65,30-12
15,HOU,NL,162,81,81,.500,4.2,4.1,0.0,0.0,0.0,82-80,-1,52-29,29-52,6-7,20-32,61-48,20-33,52-68,29-13
16,NYY,AL,162,80,81,.497,3.5,3.6,-0.2,0.1,-0.1,77-84,3,48-32,32-49,9-6,32-31,51-47,29-34,40-56,40-25
17,CAL,AL,163,71,91,.438,3.2,4.0,-0.8,0.0,-0.7,66-96,5,43-38,28-53,7-6,26-27,48-63,23-28,33-51,38-40
18,KCR,AL,163,69,93,.426,3.6,4.2,-0.6,0.0,-0.6,69-93,0,36-45,33-48,7-12,31-28,51-65,18-28,30-54,39-39
19,CHW,AL,162,68,94,.420,3.9,4.5,-0.6,0.0,-0.6,70-92,-2,41-40,27-54,4-12,23-35,47-68,21-26,30-54,38-40
20,SEP,AL,163,64,98,.395,3.9,4.9,-1.0,0.0,-0.9,65-97,-1,34-47,30-51,7-6,26-32,47-68,17-30,29-55,35-43
21,PHI,NL,162,63,99,.389,4.0,4.6,-0.6,0.1,-0.6,70-92,-7,30-51,33-48,3-8,20-26,50-79,13-20,48-84,15-15
22,CLE,AL,161,62,99,.385,3.6,4.5,-0.9,0.1,-0.7,64-97,-2,33-48,29-51,7-8,17-29,49-63,13-36,31-65,31-34
23,SDP,NL,162,52,110,.321,2.9,4.6,-1.7,0.2,-1.5,48-114,4,28-53,24-57,6-4,20-29,38-89,14-21,40-98,12-12
24,MON,NL,162,52,110,.321,3.6,4.9,-1.3,0.1,-1.2,59-103,-7,24-57,28-53,0-12,16-29,39-75,13-35,37-95,15-15
,Avg,,,80,80,.500,4.1,4.1,,,,80-81,,44-36,36-44,7-7,26-26,58-57,22-23,44-56,36-24
