
Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,CLE,AL,144,100,44,.694,5.8,4.2,1.6,-0.2,1.4,93-51,7,0-0,54-18,46-26,13-0,28-14,73-30,27-14,26-22,74-22
2,ATL,NL,144,90,54,.625,4.5,3.8,0.7,0.0,0.7,84-60,6,0-0,44-28,46-26,3-9,31-17,67-41,23-13,36-23,54-31
3,BOS,AL,144,86,58,.597,5.5,4.8,0.6,0.0,0.7,80-64,6,0-0,42-30,44-28,8-3,25-15,66-41,20-17,32-27,54-31
4,CIN,NL,144,85,59,.590,5.2,4.3,0.9,0.0,0.8,84-60,1,0-0,44-28,41-31,10-3,23-15,62-47,23-12,33-22,52-37
5,NYY,AL,145,79,65,.549,5.2,4.7,0.4,0.0,0.4,78-66,1,0-0,46-26,33-39,3-5,14-17,54-37,25-28,29-30,50-35
6,SEA,AL,145,79,66,.545,5.5,4.9,0.6,0.0,0.6,80-65,-1,0-0,46-27,33-39,4-6,18-23,54-47,25-19,34-26,45-40
7,LAD,NL,144,78,66,.542,4.4,4.2,0.2,-0.1,0.1,75-69,3,0-0,39-33,39-33,5-6,19-26,56-48,22-18,23-23,55-43
8,CAL,AL,145,78,67,.538,5.5,4.8,0.7,-0.1,0.6,82-63,-4,0-0,39-33,39-34,6-5,16-14,55-49,23-18,26-31,52-36
9,COL,NL,144,77,67,.535,5.5,5.4,0.0,0.0,0.0,72-72,5,0-0,44-28,33-39,5-7,19-19,49-50,28-17,26-33,51-34
10,HOU,NL,144,76,68,.528,5.2,4.7,0.5,0.0,0.5,79-65,-3,0-0,36-36,40-32,11-10,20-23,52-51,24-17,22-29,54-39
11,TEX,AL,144,74,70,.514,4.8,5.0,-0.2,-0.1,-0.3,69-75,5,0-0,41-31,33-39,6-6,21-18,49-48,25-22,20-31,54-39
12,CHC,NL,144,73,71,.507,4.8,4.7,0.2,0.0,0.1,74-70,-1,0-0,34-38,39-33,8-6,19-24,49-51,24-20,25-35,48-36
13,BAL,AL,144,71,73,.493,4.9,4.4,0.4,0.0,0.5,78-66,-7,0-0,36-36,35-37,2-3,16-21,49-56,22-17,31-38,40-35
14,KCR,AL,144,70,74,.486,4.4,4.8,-0.4,0.0,-0.4,66-78,4,0-0,35-37,35-37,7-6,24-19,56-47,14-27,28-37,42-37
15,SDP,NL,144,70,74,.486,4.6,4.7,0.0,0.0,-0.1,72-72,-2,0-0,40-32,30-42,6-7,20-22,53-51,17-23,29-36,41-38
16,NYM,NL,144,69,75,.479,4.6,4.3,0.3,0.0,0.3,76-68,-7,0-0,40-32,29-43,9-7,21-24,48-51,21-24,32-33,37-42
17,PHI,NL,144,69,75,.479,4.3,4.6,-0.3,0.1,-0.2,68-76,1,0-0,35-37,34-38,9-8,20-23,49-48,20-27,28-35,41-40
18,CHW,AL,145,68,76,.472,5.2,5.2,0.0,0.0,-0.1,72-72,-4,0-0,38-34,30-42,7-7,22-25,53-51,15-25,22-41,46-35
19,FLA,NL,143,67,76,.469,4.7,4.7,0.0,0.0,0.0,72-71,-5,0-0,37-34,30-42,6-9,18-17,46-48,21-28,31-40,36-36
20,SFG,NL,144,67,77,.465,4.5,5.4,-0.9,0.0,-0.9,61-83,6,0-0,37-35,30-42,8-7,26-15,57-57,10-20,24-36,43-41
21,OAK,AL,144,67,77,.465,5.1,5.3,-0.2,0.0,-0.2,69-75,-2,0-0,38-34,29-43,4-9,13-18,40-55,27-22,32-39,35-38
22,MON,NL,144,66,78,.458,4.3,4.4,-0.1,0.0,-0.1,70-74,-4,0-0,31-41,35-37,4-8,20-23,48-59,18-19,22-43,44-35
23,MIL,AL,144,65,79,.451,5.1,5.2,0.0,-0.1,-0.1,71-73,-6,0-0,33-39,32-40,7-5,16-17,52-50,13-29,23-37,42-42
24,STL,NL,143,62,81,.434,3.9,4.6,-0.7,0.0,-0.6,61-82,1,0-0,39-33,23-48,9-5,25-25,49-58,13-23,30-45,32-36
25,DET,AL,144,60,84,.417,4.5,5.9,-1.3,0.1,-1.2,55-89,5,0-0,35-37,25-47,4-8,15-17,45-63,15-21,24-45,36-39
26,PIT,NL,144,58,86,.403,4.4,5.1,-0.7,0.0,-0.7,62-82,-4,0-0,31-41,27-45,6-7,19-27,45-58,13-28,24-46,34-40
27,TOR,AL,144,56,88,.389,4.5,5.4,-0.9,0.1,-0.8,60-84,-4,0-0,29-43,27-45,5-13,16-23,41-59,15-29,18-50,38-38
28,MIN,AL,144,56,88,.389,4.9,6.2,-1.3,0.1,-1.2,57-87,-1,0-0,29-43,27-45,5-5,15-18,37-62,19-26,25-42,31-46
,Avg,,,72,72,.500,4.8,4.8,,,,72-71,,0-0,38-33,33-38,6-6,19-19,51-50,20-21,26-34,45-37
