state,killed,injured,sum
Alabama,17,61,78
Alaska,0,6,6
Arizona,31,49,80
Arkansas,7,25,32
California,143,524,667
Colorado,9,45,54
Connecticut,3,36,39
Delaware,4,24,28
District of Columbia,13,75,88
Florida,130,306,436
Georgia,66,202,268
Illinois,53,366,419
Indiana,25,105,130
Iowa,1,8,9
Kansas,19,48,67
Kentucky,14,39,53
Louisiana,33,211,244
Maine,5,0,5
Maryland,22,93,115
Massachusetts,5,50,55
Michigan,35,189,224
Minnesota,11,46,57
Mississippi,17,34,51
Missouri,34,117,151
Montana,5,0,5
Nebraska,5,16,21
Nevada,8,30,38
New Jersey,17,109,126
New Mexico,15,18,33
New York,43,221,264
North Carolina,17,119,136
Ohio,48,117,165
Oklahoma,17,38,55
Oregon,15,31,46
Pennsylvania,27,165,192
Rhode Island,1,16,17
South Carolina,45,77,122
South Dakota,10,1,11
Tennessee,38,158,196
Texas,116,245,361
Utah,9,7,16
Vermont,4,0,4
Virginia,27,99,126
Washington,27,31,58
West Virginia,5,9,14
Wisconsin,8,28,36
