KTKZ,OHW,ORTNAME,GHW,GDENR,GDENAMK,PHW,PLZ4,PLZZ,PLZNAMK
TG,,Aadorf,,4551,Aadorf,,8355,0,Aadorf
AG,,Aarau,,4001,Aarau,!,5000,0,Aarau
BE,,Aarberg,,301,Aarberg,,3270,0,Aarberg
AG,,Aarburg,,4271,Aarburg,,4663,0,Aarburg
BE,,Aarwangen,,321,Aarwangen,,4912,0,Aarwangen
ZH,,Aathal,,119,Seegräben,,8607,0,Aathal-Seegräben
TG,,Aawangen,,4551,Aadorf,,8522,2,Aawangen
BE,,Abländschen,,843,Saanen,,1657,0,Abländschen
SG,,Abtwil,,3442,Gaiserwald,,9030,0,Abtwil SG
AG,,Abtwil,,4221,Abtwil,,5646,0,Abtwil AG
BE,,Achseten,,563,Frutigen,,3725,0,Achseten
GR,,Acla,,3983,Medel (Lucmagn),,7185,0,Platta
GR,,Acla (Safien),,3672,Safiental,,7104,0,Versam
VD,,Aclens,,5621,Aclens,,1123,0,Aclens
TI,,Acquacalda,,5049,Blenio,,6718,0,Olivone
TI,,Acquarossa,,5048,Acquarossa,,6716,0,Acquarossa
BE,,Adelboden,,561,Adelboden,,3715,0,Adelboden
LU,,Adelboden,,1147,Wikon,,4806,0,Wikon
ZH,,Adetswil,,111,Bäretswil,,8345,0,Adetswil
LU,,Adligenswil,,1051,Adligenswil,,6043,0,Adligenswil
ZH,,Adlikon bei Andelfingen,,21,Adlikon,,8452,0,Adlikon
ZH,,Adlikon bei Regensdorf,,96,Regensdorf,,8106,2,Adlikon b.Regensdf
ZH,,Adliswil,,131,Adliswil,,8134,0,Adliswil
BE,,Aebersold (Ringgis),,629,Oberhünigen,,3673,0,Linden
SO,,Aedermannsdorf,,2421,Aedermannsdorf,,4714,0,Aedermannsdorf
BE,,Aefligen,,401,Aefligen,,3426,0,Aefligen
BE,,Aegerten,,731,Aegerten,,2558,0,Aegerten
BE,,Aekenmatt,,855,Schwarzenburg,,3147,0,Mittelhäusern
LU,,Aesch,,1021,Aesch (LU),,6287,0,Aesch LU
BL,,Aesch,,2761,Aesch (BL),,4147,0,Aesch BL
ZH,,Aesch (ZH),,241,Aesch (ZH),,8904,0,Aesch ZH
ZH,,Aesch bei Maur,,195,Maur,,8127,0,Forch
ZH,,Aesch bei Neftenbach,,223,Neftenbach,,8412,0,Aesch (Neftenbach)
BE,,Aeschau,,901,Eggiwil,,3536,0,Aeschau
SO,,Aeschi,,2511,Aeschi (SO),,4556,0,Aeschi SO
BE,,Aeschi bei Spiez,,562,Aeschi bei Spiez,,3703,0,Aeschi b. Spiez
BE,,Aeschiried,,562,Aeschi bei Spiez,,3703,41,Aeschiried
BE,,Aeschlen bei Oberdiessbach,,619,Oberdiessbach,,3672,2,Aeschlen
BE,,Aeschlen bei Sigriswil,,938,Sigriswil,,3656,1,Aeschlen ob Gunten
SO,,Aetigkofen,,2465,Buchegg,,4583,2,Aetigkofen
SO,,Aetingen,,2465,Buchegg,,4587,0,Aetingen
AG,,Aettenschwil,,4239,Sins,,5645,0,Aettenschwil
ZH,,Aeugst am Albis,,1,Aeugst am Albis,,8914,0,Aeugst am Albis
ZH,,Aeugstertal,,1,Aeugst am Albis,,8914,2,Aeugstertal
SG,,Aeugustisried,,3274,Sennwald,,9466,0,Sennwald
GR,,Aeuja,,3871,Klosters-Serneus,,7250,0,Klosters
GR,,Affeier,,3988,Obersaxen Mundaun,,7134,0,Obersaxen
TG,,Affeltrangen,,4711,Affeltrangen,,9556,0,Affeltrangen
ZH,,Affoltern am Albis,,2,Affoltern am Albis,,8910,0,Affoltern am Albis
ZH,Q,Affoltern bei Zürich,,261,Zürich,!,8000,0,Zürich
BE,,Affoltern im Emmental,,951,Affoltern im Emmental,,3416,0,Affoltern BE
VS,,Agarn,,6101,Agarn,,3951,0,Agarn
TI,,Agarone,,5138,Cugnasco-Gerra,,6597,0,Agarone
ZH,,Agasul,,296,Illnau-Effretikon,,8308,2,Agasul
BE,,Ägerten,,345,Wynau,,4923,0,Wynau
VD,,Agiez,,5742,Agiez,,1352,0,Agiez
TI,,Agno,,5141,Agno,,6982,0,Agno
TI,,Agnuzzo,,5205,Muzzano,,6933,0,Muzzano
TI,,Agra,,5236,Collina d'Oro,,6927,0,Agra
FR,,Agriswil,,2276,Ried bei Kerzers,,3216,2,Agriswil
VD,,Aigle,,5401,Aigle,,1860,0,Aigle
GE,,Aïre,,6643,Vernier,,1219,10,Aïre
GE,,Aire-la-Ville,,6601,Aire-la-Ville,,1288,0,Aire-la-Ville
TI,,Airolo,,5061,Airolo,,6780,0,Airolo
VS,,Albenried,,6297,Visp,,3930,0,Visp
LU,,Alberswil,,1121,Alberswil,,6248,0,Alberswil
FR,,Albeuve,,2121,Haut-Intyamon,,1669,0,Albeuve
VS,,Albinen,,6102,Albinen,,3955,0,Albinen
ZH,,Albis,,136,Langnau am Albis,,8135,0,Langnau am Albis
ZH,,Albisbrunn,,4,Hausen am Albis,,8915,0,Hausen am Albis
ZH,Q,Albisrieden,,261,Zürich,!,8000,0,Zürich
BE,,Albligen,,855,Schwarzenburg,,3183,0,Albligen
TI,,Albonago,,5192,Lugano,,6962,0,Viganello
TI,,Albumo,,5226,Capriasca,,6958,2,Corticiasca
BE,,Alchenflüh,,420,Rüdtligen-Alchenflüh,,3422,2,Alchenflüh
BE,,Alchenstorf,,402,Alchenstorf,,3473,0,Alchenstorf
TI,,Aldesago,,5192,Lugano,,6974,0,Aldesago
BE,,Alfermée,,756,Twann-Tüscherz,,2512,0,Tüscherz-Alfermée
SG,,Algetshausen,,3408,Uzwil,,9249,0,Algetshausen
AG,,Alikon,,4239,Sins,,5643,2,Alikon
TI,,All'Acqua,,5063,Bedretto,,6781,4,Bedretto
VD,,Allaman,,5851,Allaman,,1165,0,Allaman
JU,,Alle,,6771,Alle,,2942,0,Alle
BE,,Allenlüften,,668,Mühleberg,,3205,0,Gümmenen
VD,,Allens,,5477,Cossonay,,1304,3,Allens
BE,,Allenwil,,311,Schüpfen,,3054,0,Schüpfen
ZG,,Allenwinden,,1701,Baar,,6319,0,Allenwinden
SO,,Allerheiligenberg,,2579,Hägendorf,,4615,0,Allerheiligenberg
VS,,Allesse,,6212,Dorénaz,,1905,0,Dorénaz
FR,,Allières,,2121,Haut-Intyamon,,1669,5,Montbovon
AG,,Alliswil,,4192,Boniswil,,5706,0,Boniswil
BE,,Allmendingen,,942,Thun,!,3600,0,Thun
BE,,Allmendingen bei Bern,,630,Allmendingen,,3112,0,Allmendingen b. BE
AR,,Allmendsberg,,3037,Walzenhausen,,9428,0,Walzenhausen
BL,,Allschwil,,2762,Allschwil,,4123,0,Allschwil
NW,,Allweg,,1506,Ennetmoos,,6372,0,Ennetmoos
GR,,Almens,,3673,Domleschg,,7416,0,Almens
ZG,,Alosen,,1706,Oberägeri,,6315,2,Alosen
GR,,Alp Grüm,,3561,Poschiavo,,7710,2,Alp Grüm
OW,,Alpnach Dorf,,1401,Alpnach,,6055,0,Alpnach Dorf
OW,,Alpnachstad,,1401,Alpnach,,6053,0,Alpnachstad
SZ,,Alpthal,,1361,Alpthal,,8849,0,Alpthal
SG,,Alt St. Johann,,3359,Wildhaus-Alt St. Johann,,9656,0,Alt St. Johann
TI,,Altanca,,5079,Quinto,,6776,0,Piotta
FR,,Altavilla,,2275,Murten,,3280,0,Murten
ZH,,Altbachs,,81,Bachs,,8164,0,Bachs
LU,,Altbüron,,1122,Altbüron,,6147,0,Altbüron
UR,,Altdorf,+,1201,Altdorf (UR),,6460,0,Altdorf UR
UR,,Altdorf,+,1205,Bürglen (UR),,6460,0,Altdorf UR
SH,,Altdorf,,2920,Thayngen,,8243,0,Altdorf SH
ZH,,Alten,,33,Kleinandelfingen,,8453,0,Alten
AG,,Altenburg,,4095,Brugg,,5210,0,Windisch
SZ,,Altendorf,,1341,Altendorf,,8852,0,Altendorf
SG,,Altendorf,,3271,Buchs (SG),,9470,0,Buchs SG
TG,,Altenklingen,,4951,Wigoltingen,,8560,0,Märstetten
SG,,Altenrhein,,3237,Thal,,9423,0,Altenrhein
FR,,Alterswil,,2291,Alterswil,,1715,0,Alterswil FR
SG,,Alterswil,,3402,Flawil,,9230,0,Flawil
TG,,Alterswilen,,4666,Kemmental,,8573,2,Alterswilen
AG,,Althäusern,,4222,Aristau,,5628,0,Aristau
ZH,,Altikon,,211,Altikon,,8479,0,Altikon
TG,,Altishausen,,4666,Kemmental,,8573,3,Altishausen
LU,,Altishofen,,1123,Altishofen,,6246,0,Altishofen
TG,,Altnau,,4641,Altnau,,8595,0,Altnau
SO,,Altreu,,2556,Selzach,,2545,0,Selzach
AG,Q,Altstalden,,4124,Bözberg,,5225,1,Bözberg
SG,,Altstätten,,3251,Altstätten,,9450,0,Altstätten SG
ZH,Q,Altstetten,,261,Zürich,!,8000,0,Zürich
LU,,Altwis,,1022,Altwis,,6286,0,Altwis
GR,,Alvaneu Bad,,3542,Albula/Alvra,,7473,0,Alvaneu Bad
GR,,Alvaneu Dorf,,3542,Albula/Alvra,,7492,0,Alvaneu Dorf
GR,,Alvaschein,,3542,Albula/Alvra,,7451,0,Alvaschein
GR,,Am Bach,,3681,Avers,,7447,1,Am Bach (Avers)
TI,,Ambrì,,5079,Quinto,,6775,0,Ambrì
SG,,Amden,,3311,Amden,,8873,0,Amden
ZH,,Ämet,,192,Egg,,8133,0,Esslingen
VS,,Aminona-sur-Sierre,,6242,Mollens (VS),,3963,4,Aminona
TG,,Amlikon,,4881,Amlikon-Bissegg,,8514,0,Amlikon-Bissegg
SO,,Ammannsegg,,2526,Lohn-Ammannsegg,,4573,0,Lohn-Ammannsegg
TG,,Ammenhausen,,4811,Herdern,,8506,0,Lanzenneunforn
AG,,Ammerswil,,4191,Ammerswil,,5600,3,Ammerswil AG
BE,,Ammerzwil,,303,Grossaffoltern,,3257,1,Ammerzwil BE
TG,,Amriswil,,4461,Amriswil,,8580,0,Amriswil
BE,,Amsoldingen,,921,Amsoldingen,,3633,0,Amsoldingen
UR,,Amsteg,,1216,Silenen,,6474,0,Amsteg
GR,,Andeer,,3701,Andeer,,7440,0,Andeer
