State Full Name,Working Force,State
Alaska,364910,AK
Alabama,2157591,AL
Arkansas,1336245,AR
Arizona,3148508,AZ
California,19036611,CA
Colorado,2824897,CO
Connecticut,1895146,CT
Delaware,464051,DE
Florida,9756834,FL
Georgia,4798766,GA
Hawaii,675441,HI
Iowa,1699388,IA
Idaho,797300,ID
Illinois,6520791,IL
Indiana,3286281,IN
Kansas,1491922,KS
Kentucky,1967090,KY
Louisiana,2179116,LA
Massachusetts,3560302,MA
Maryland,3155474,MD
Maine,678525,ME
Michigan,4803409,MI
Minnesota,3019576,MN
Missouri,3140540,MO
Mississippi,1278144,MS
Montana,523271,MT
North Carolina,4827901,NC
North Dakota,416074,ND
Nebraska,1015079,NE
New Hampshire,737911,NH
New Jersey,4552979,NJ
New Mexico,916941,NM
Nevada,1425995,NV
New York,9709479,NY
Ohio,5736717,OH
Oklahoma,1846721,OK
Oregon,1955649,OR
Pennsylvania,6462242,PA
Rhode Island,552912,RI
South Carolina,2274821,SC
South Dakota,453787,SD
Tennessee,3079575,TN
Texas,13104878,TX
Utah,1462672,UT
Virginia,4282734,VA
Vermont,342838,VT
Washington,3545995,WA
Wisconsin,3088630,WI
West Virginia,790471,WV
Wyoming,305957,WY
