,WORKSITE_STATE,NBR_WORKERS_CERTIFIED
0,NC,172583
1,TX,115101
2,FL,111823
3,LA,86363
4,WA,70704
5,GA,70208
6,VA,61485
7,NY,57780
8,CA,46356
9,KY,45678
10,CO,42847
11,AZ,40399
12,MS,36539
13,SC,35705
14,MD,33446
15,AR,33398
16,PA,30547
17,ID,28410
18,MA,23144
19,TN,23071
20,NJ,22614
21,MO,22106
22,UT,21777
23,MI,20714
24,OH,18115
25,IL,16359
26,NV,15499
27,AL,15248
28,ME,14341
29,OK,13154
30,SD,12647
31,MN,12291
32,KS,11291
33,ND,11273
34,IA,9208
35,IN,9059
36,CT,7863
37,WY,7503
38,VT,6250
39,MT,5474
40,NE,5029
41,OR,4986
42,AK,4390
43,NH,3999
44,WI,3772
45,DE,3692
46,NM,3543
47,RI,2112
48,WV,1633
49,HI,880
50,DC,765
51,PR,280
52,VI,122
53,GU,52
54,FM,42
55,MP,41
56,SK,34
57,MH,25
58,MB,20
59,AS,7
