NTA,Dead,Alive,Total,proportion_dead
Greenpoint,119,4240,4359,2.806603773584906
Brighton Beach,95,972,1067,9.77366255144033
Clinton,124,1887,2011,6.571277159512453
Hunts Point,228,3273,3501,6.966086159486709
Longwood,96,1467,1563,6.5439672801636
Melrose South-Mott Haven North,159,1997,2156,7.961942914371558
East Concourse-Concourse Village,206,2237,2443,9.208761734465803
Ft. Totten-Bay Terrace-Clearview,30,546,576,5.4945054945054945
Upper East Side-Carnegie Hill,131,4080,4211,3.21078431372549
Arden Heights,251,6392,6643,3.9267834793491865
West Brighton,26,446,472,5.829596412556054
Seagate-Coney Island,138,1355,1493,10.184501845018449
Soundview-Castle Hill-Clason Point-Harding Park,107,3529,3636,3.0320204023802777
Elmhurst,135,3013,3148,4.48058413541321
North Corona,74,1482,1556,4.993252361673414
Jackson Heights,254,5773,6027,4.399792135804607
Springfield Gardens North,7,220,227,3.1818181818181817
Stapleton-Rosebank,210,3620,3830,5.801104972375691
Baisley Park,58,966,1024,6.004140786749482
Van Cortlandt Village,118,2170,2288,5.43778801843318
Spuyten Duyvil-Kingsbridge,86,1791,1877,4.80178671133445
Lincoln Square,56,2022,2078,2.7695351137487636
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,345,4457,4802,7.740632712586942
Whitestone,91,1406,1497,6.472261735419631
Murray Hill,21,287,308,7.317073170731707
Prospect Lefferts Gardens-Wingate,22,422,444,5.213270142180095
Co-op City,72,2021,2093,3.5625927758535374
Annadale-Huguenot-Prince's Bay-Eltingville,415,11773,12188,3.5250148645205126
Woodhaven,34,493,527,6.896551724137931
Rugby-Remsen Village,20,311,331,6.430868167202572
Elmhurst-Maspeth,50,1115,1165,4.484304932735426
Bayside-Bayside Hills,193,4476,4669,4.311885612153709
Flushing,82,1334,1416,6.146926536731634
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,181,4401,4582,4.112701658713928
park-cemetery-etc-Bronx,102,1295,1397,7.876447876447877
Flatbush,137,3894,4031,3.5182331792501285
park-cemetery-etc-Queens,104,920,1024,11.304347826086957
Corona,90,1760,1850,5.113636363636364
Queensboro Hill,84,1158,1242,7.253886010362693
Crown Heights North,109,3474,3583,3.137593552101324
Bedford Park-Fordham North,97,1697,1794,5.715969357690041
park-cemetery-etc-Brooklyn,45,1219,1264,3.6915504511894994
Rego Park,121,2266,2387,5.339805825242718
Sunset Park East,46,798,844,5.764411027568922
park-cemetery-etc-Manhattan,18,1233,1251,1.4598540145985401
Upper West Side,160,5610,5770,2.8520499108734403
North Side-South Side,193,3047,3240,6.334099113882507
Washington Heights North,161,2410,2571,6.680497925311204
Pelham Parkway,130,2169,2299,5.99354541263255
Allerton-Pelham Gardens,242,3603,3845,6.716625034693312
East Tremont,124,2250,2374,5.511111111111111
Van Nest-Morris Park-Westchester Square,135,3001,3136,4.498500499833389
Pomonok-Flushing Heights-Hillcrest,39,1236,1275,3.1553398058252426
East Flushing,70,1162,1232,6.024096385542169
Bronxdale,136,1378,1514,9.869375907111756
East Williamsburg,113,1986,2099,5.689828801611279
South Jamaica,27,453,480,5.960264900662252
West New Brighton-New Brighton-St. George,205,3696,3901,5.546536796536797
East Harlem South,136,1750,1886,7.7714285714285705
Washington Heights South,192,2695,2887,7.124304267161411
Highbridge,172,1671,1843,10.293237582286057
Mount Hope,119,1881,2000,6.3264221158958
West Concourse,173,1923,2096,8.996359854394175
Windsor Terrace,40,1373,1413,2.9133284777858703
