Year,Total Revenue,Net Assets,Highest Paid Salary,George Mason University,George Mason University,George Mason University,George Mason University,George Mason University,Mercatus Center Inc,Center for Media and Public Affairs,Institute of Humane Studies,Floridy State University,Lyric Opera of Virginia,Scholarships
2005,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,
2010,51816520,120645781,769812,,,,,,,,,,,
2011,38071120,"132,946,540",982180,211481,4537140,639210,5575977,1413445,5720165,228420,5235,,,232763
2012,45009330,128899268,"2,015,045",440000,4238096,615360,1569760,4221043,7804235,453926,,,100000,241897
2013,50058085,346105459,"373,953",901426,4998102,847229,1597656,5255100,9721931,220900,58205,5023,,124379
2014,63499627,162568968,"809,610",1565551,6466072,1183353,1586108,4487327,13313495,75670,,,,243471
