Date,D0,D1,Value
2005-01,M0,EUR1,1.5467
2005-01,M0,GBP1,2.2128
2005-01,M0,DKK100,20.7824
2005-01,M0,NOK100,18.8105
2005-01,M0,CZK100,5.0993
2005-01,M0,HUF100,0.6268
2005-01,M0,PLN100,37.8781
2005-01,M0,RUB100,4.2114
2005-01,M0,SEK100,17.0738
2005-01,M0,TRY100,86.777143
2005-01,M0,USD1,1.1777
2005-01,M0,CAD1,0.9625
2005-01,M0,ARS100,39.9314
2005-01,M0,BRL100,43.6762
2005-01,M0,MXN100,10.4562
2005-01,M0,ZAR1,0.197
2005-01,M0,JPY100,1.139262
2005-01,M0,AUD1,0.901043
2005-01,M0,CNY100,14.25833333
2005-01,M0,HKD100,15.107252
2005-01,M0,KRW100,0.1134
2005-01,M0,MYR100,30.9886
2005-01,M0,NZD1,0.8303
2005-01,M0,SGD100,71.8429
2005-01,M0,THB100,3.0382
2005-01,M0,XDR1,1.795091
2005-02,M0,EUR1,1.5499
2005-02,M0,GBP1,2.2468
2005-02,M0,DKK100,20.8205
2005-02,M0,NOK100,18.631
2005-02,M0,CZK100,5.1667
2005-02,M0,HUF100,0.6352
2005-02,M0,PLN100,38.865
2005-02,M0,RUB100,4.2565
2005-02,M0,SEK100,17.056
2005-02,M0,TRY100,90.407
2005-02,M0,USD1,1.1907
2005-02,M0,CAD1,0.9612
2005-02,M0,ARS100,40.781
2005-02,M0,BRL100,45.745
2005-02,M0,MXN100,10.6885
2005-02,M0,ZAR1,0.1975
2005-02,M0,JPY100,1.13513
2005-02,M0,AUD1,0.92964
2005-02,M0,CNY100,14.3881
2005-02,M0,HKD100,15.26528
2005-02,M0,KRW100,0.1164
2005-02,M0,MYR100,31.331
2005-02,M0,NZD1,0.8512
2005-02,M0,SGD100,72.619
2005-02,M0,THB100,3.0941
2005-02,M0,XDR1,1.807809
2005-03,M0,EUR1,1.5489
2005-03,M0,GBP1,2.2354
2005-03,M0,DKK100,20.7962
2005-03,M0,NOK100,18.9157
2005-03,M0,CZK100,5.198
2005-03,M0,HUF100,0.632
2005-03,M0,PLN100,38.5986
2005-03,M0,RUB100,4.2443
2005-03,M0,SEK100,17.0367
2005-03,M0,TRY100,89.480952
2005-03,M0,USD1,1.1727
2005-03,M0,CAD1,0.9635
2005-03,M0,ARS100,40.0257
2005-03,M0,BRL100,43.3857
2005-03,M0,MXN100,10.5114
2005-03,M0,ZAR1,0.1944
2005-03,M0,JPY100,1.114681
2005-03,M0,AUD1,0.920681
2005-03,M0,CNY100,14.2066087
2005-03,M0,HKD100,15.03469
2005-03,M0,KRW100,0.1164
2005-03,M0,MYR100,30.8562
2005-03,M0,NZD1,0.8562
2005-03,M0,SGD100,71.8933
2005-03,M0,THB100,3.0398
2005-03,M0,XDR1,1.791518
2005-04,M0,EUR1,1.5471
2005-04,M0,GBP1,2.2645
2005-04,M0,DKK100,20.7629
2005-04,M0,NOK100,18.9105
2005-04,M0,CZK100,5.1336
2005-04,M0,HUF100,0.623
2005-04,M0,PLN100,37.2281
2005-04,M0,RUB100,4.2967
2005-04,M0,SEK100,16.8762
2005-04,M0,TRY100,87.607143
2005-04,M0,USD1,1.1949
2005-04,M0,CAD1,0.968
2005-04,M0,ARS100,41.1462
2005-04,M0,BRL100,46.2143
2005-04,M0,MXN100,10.7376
2005-04,M0,ZAR1,0.1938
2005-04,M0,JPY100,1.114029
2005-04,M0,AUD1,0.923638
2005-04,M0,CNY100,14.44728571
2005-04,M0,HKD100,15.321176
2005-04,M0,KRW100,0.1183
2005-04,M0,MYR100,31.4405
2005-04,M0,NZD1,0.8602
2005-04,M0,SGD100,72.2843
2005-04,M0,THB100,3.0212
2005-04,M0,XDR1,1.806427
2005-05,M0,EUR1,1.5448
2005-05,M0,GBP1,2.2575
2005-05,M0,DKK100,20.7485
2005-05,M0,NOK100,19.103
2005-05,M0,CZK100,5.1017
2005-05,M0,HUF100,0.612
