Ort,PLZ,Gemeindename,Kantonskürzel,Einwohner,YB (absolut),YB (relativ),SCB (absolut),SCB (relativ)
Aadorf,8355,Aadorf,TG,4719,0,0,1,0.2119093028
Aarau,5000,Aarau,AG,14054,3,0.2134623595,3,0.2134623595
Aarau,5004,Aarau,AG,2288,0,0,2,0.8741258741
Aarau Rohr,5032,Aarau,AG,3843,3,0.7806401249,2,0.5204267499
Aarberg,3270,Aarberg,BE,4273,39,9.127076995,46,10.7652703
Aarburg,4663,Aarburg,AG,7233,5,0.6912760957,5,0.6912760957
Aarwangen,4912,Aarwangen,BE,4253,11,2.586409593,6,1.410768869
Aathal-Seegräben,8607,Seegräben,ZH,1333,0,0,0,0
Aawangen,8522,Aadorf,TG,500,0,0,0,0
Abländschen,1657,Saanen,BE,36,0,0,0,0
Abtwil AG,5646,Abtwil,AG,957,0,0,0,0
Abtwil SG,9030,Gaiserwald,SG,4906,0,0,0,0
Achseten,3725,Frutigen,BE,463,0,0,3,6.479481641
Aclens,1123,Aclens,VD,532,0,0,0,0
Acquarossa,6716,Acquarossa,TI,128,0,0,0,0
Adelboden,3715,Adelboden,BE,3472,0,0,1,0.2880184332
Adetswil,8345,Bäretswil,ZH,1196,0,0,0,0
Adligenswil,6043,Adligenswil,LU,5399,0,0,0,0
Adlikon b. Andelfingen,8452,Adlikon,ZH,577,0,0,0,0
Adlikon b. Regensdorf,8106,Regensdorf,ZH,3995,0,0,2,0.5006257822
Adliswil,8134,Adliswil,ZH,18262,2,0.1095170299,1,0.05475851495
Aedermannsdorf,4714,Aedermannsdorf,SO,549,0,0,0,0
Aefligen,3426,Aefligen,BE,1065,9,8.450704225,18,16.90140845
Aegerten,2558,Aegerten,BE,1816,3,1.651982379,6,3.303964758
Aesch (Neftenbach),8412,Neftenbach,ZH,457,0,0,0,0
Aesch BL,4147,Aesch (BL),BL,10211,0,0,0,0
Aesch LU,6287,Aesch (LU),LU,1013,0,0,0,0
Aesch ZH,8904,Aesch (ZH),ZH,1184,0,0,0,0
Aeschau,3536,Eggiwil,BE,591,2,3.384094755,1,1.692047377
Aeschi b. Spiez,3703,Aeschi bei Spiez,BE,1629,6,3.683241252,8,4.910988336
Aeschi SO,4556,Aeschi (SO),SO,977,2,2.047082907,5,5.117707267
Aeschiried,3703,Aeschi bei Spiez,BE,1629,6,3.683241252,8,4.910988336
Aeschlen b. Oberdiessbach,3672,Oberdiessbach,BE,2793,31,11.09917651,24,8.592910849
Aeschlen ob Gunten,3656,Sigriswil,BE,402,4,9.950248756,1,2.487562189
Aetigkofen,4583,Buchegg,SO,344,0,0,1,2.906976744
Aetingen,4587,Buchegg,SO,187,0,0,3,16.04278075
Aettenschwil,5645,Sins,AG,326,0,0,0,0
Aeugst am Albis,8914,Aeugst am Albis,ZH,1495,0,0,1,0.6688963211
Aeugstertal,8914,Aeugst am Albis,ZH,1495,0,0,1,0.6688963211
Affeltrangen,9556,Affeltrangen,TG,872,0,0,0,0
Affoltern am Albis,8910,Affoltern am Albis,ZH,10120,1,0.09881422925,2,0.1976284585
Affoltern im Emmental,3416,Affoltern im Emmental,BE,493,0,0,1,2.028397566
Agarn,3951,Agarn,VS,804,0,0,0,0
Agarone,6597,Cugnasco-Gerra,TI,400,0,0,0,0
Agasul,8308,Illnau-Effretikon,ZH,4582,0,0,1,0.2182453077
