,PLZ,YB,YB_relativ,YB_pro_1000,SCB,SCB_relativ,SCB_pro_1000
0,1000,,,,,,
1,1003,,,,1.0,0.00012093360744951022,0.12093360744951022
2,1004,,,,1.0,3.448751551938198e-05,0.03448751551938198
3,1005,,,,2.0,0.00017174753112924002,0.17174753112924002
4,1006,,,,,,
5,1007,,,,,,
6,1008,,,,,,
7,1009,,,,,,
8,1010,,,,,,
9,1011,,,,,,
10,1012,,,,,,
11,1018,,,,,,
12,1020,,,,,,
13,1022,,,,,,
14,1023,,,,1.0,0.00013180440226703572,0.13180440226703571
15,1024,,,,1.0,8.220979940808945e-05,0.08220979940808945
16,1025,,,,,,
17,1026,,,,1.0,0.0002477700693756194,0.2477700693756194
18,1027,,,,,,
19,1028,,,,,,
20,1029,,,,,,
21,1030,,,,,,
22,1031,,,,,,
23,1032,,,,,,
24,1033,,,,,,
25,1034,,,,,,
26,1035,,,,,,
27,1036,,,,,,
28,1037,,,,,,
29,1038,,,,,,
30,1040,,,,1.0,0.00013833171946327292,0.1383317194632729
31,1041,,,,,,
32,1042,,,,,,
33,1043,,,,,,
34,1044,,,,,,
35,1045,,,,,,
36,1046,,,,,,
37,1047,,,,,,
38,1052,,,,1.0,0.00014369880729989942,0.14369880729989942
39,1053,,,,,,
40,1054,,,,,,
41,1055,,,,,,
42,1058,,,,,,
43,1059,,,,,,
44,1061,,,,,,
45,1062,,,,,,
46,1063,,,,,,
47,1066,2.0,0.0002218524681087077,0.2218524681087077,,,
48,1068,,,,,,
49,1070,,,,,,
50,1071,,,,,,
51,1072,,,,,,
52,1073,,,,,,
53,1076,,,,,,
54,1077,,,,,,
55,1078,,,,,,
56,1080,,,,,,
57,1081,,,,,,
58,1082,,,,,,
59,1083,,,,,,
60,1084,,,,,,
61,1085,,,,,,
62,1088,,,,,,
63,1090,,,,,,
64,1091,,,,,,
65,1092,,,,,,
66,1093,,,,,,
67,1094,,,,,,
68,1095,,,,1.0,0.00017155601303825698,0.171556013038257
69,1096,,,,,,
70,1097,,,,,,
71,1098,,,,,,
72,1110,1.0,6.466214031684449e-05,0.06466214031684449,3.0,0.00019398642095053346,0.19398642095053345
73,1112,,,,,,
74,1113,,,,,,
75,1114,,,,,,
76,1115,,,,,,
77,1116,,,,,,
78,1117,,,,,,
79,1121,,,,,,
80,1122,,,,,,
81,1123,,,,,,
82,1124,,,,,,
83,1125,,,,,,
84,1126,,,,,,
