PLZ,Gemeinde,Land,SCB
1003,Lausanne,CH,1
1004,Lausanne,CH,1
1005,Lausanne,CH,2
1023,Crissier,CH,1
1024,Ecublens ,CH,1
1026,Denges,CH,1
1040,Echallens,CH,1
1052,Le Mont-sur-Lausanne,CH,1
1095,Lutry,CH,1
1110,Morges,CH,3
1134,Vufflens-le-Château,CH,1
1165,Allaman,CH,4
1173,Féchy,CH,1
1180,Rolle,CH,1
1227,Carouge ,CH,2
1260,Nyon,CH,1
1269,Bassins,CH,1
1337,Vallorbe,CH,2
1350,Orbe,CH,3
1373,Chavornay,CH,1
1400,Yverdon-les-Bains,CH,2
1417,Essertines-sur-Yverdon,CH,1
1422,Grandson,CH,1
1424,Champagne,CH,1
1434,Ependes ,CH,1
1441,Valeyres sous Montagny,CH,1
1468,Cheyres,CH,1
1475,Montbrelloz,CH,1
1510,Moudon,CH,3
1514,Bussy-sur-Moudon,CH,1
1515,Villars-le-Comte,CH,2
1523,Granges-Marnand,CH,2
1530,Payerne,CH,25
1543,Grandcour,CH,1
1544,Gletterens,CH,1
1552,Trey,CH,1
1562,Corcelles,CH,8
1564,Domdidier,CH,1
1568,Portalban,CH,1
1580,Avenches,CH,3
1585,Salavaux,CH,1
1588,Cudrefin,CH,1
1595,Faoug,CH,1
1630,Bulle,CH,2
1635,La Tour-de-Treme,CH,1
1642,Sorens,CH,1
1660,Château-d'Oex,CH,3
1661,Le Pàquier,CH,1
1678,Siviriez,CH,1
1680,Romont FR,CH,1
1680,Romont,CH,1
1683,Brenles,CH,1
1690,Villaz-St-Pierre,CH,1
1695,Rueyres-St-Laurent,CH,1
1696,Vuisternens-en-Ogoz,CH,2
1696,Vuisternens-Ogoz,CH,2
1700,Fribourg,CH,2
1712,Tafers,CH,3
1713,St. Antoni,CH,1
1714,Heitenried,CH,4
1715,Alterswil,CH,1
1716,Plaffeien,CH,1
1718,Rechthalten,CH,2
1719,Zumholz,CH,1
1719,Brünisried,CH,1
1724,Le Mouret,CH,1
1724,Praroman-Le Mouret,CH,1
1737,Plasselb,CH,1
1740,Neyruz FR,CH,1
1742,Autigny,CH,1
1745,Lentigny,CH,1
1752,Villars-sur-Glâne 1,CH,1
1752,Villars-sur-Glâne,CH,4
1754,Avry-sur-Matran,CH,1
1762,Givisiez,CH,1
1763,Granges-Paccot,CH,2
1772,Grolley,CH,1
1784,Wallenried,CH,1
1785,Cressier,CH,1
1786,Sugiez,CH,1
1789,Lugnorre,CH,3
1791,Courtaman,CH,2
1792,Cordast,CH,1
1792,Guschelmuth,CH,2
1794,Salvenach,CH,2
1795,Courlevon,CH,1
1796,Courgevaux,CH,7
1797,Münchenwiler,CH,4
1800,Vevey,CH,1
1800,Vevey 1,CH,1
1805,Jongny,CH,1
1806,St.Légier-La Chiésaz,CH,1
1807,Blonay,CH,3
1814,La Tour-de-Peilz,CH,2
1815,Clarens,CH,1
1820,Montreux,CH,1
1820,Montreux 2,CH,1
1867,Antagnes sur Ollon,CH,1
1868,Collombey,CH,1
1871,Choëx,CH,2
1875,Morgins,CH,1
1880,Bex,CH,1
1884,Huemoz,CH,2
1896,Vouvry,CH,2
1902,Evionnaz,CH,1
1903,Collonges,CH,1
1920,Martigny,CH,3
1950,Sion,CH,2
1966,Réchy VS,CH,1
1978,Lens,CH,2
1983,Evolène,CH,1
1985,La Sage,CH,1
1997,Haute-Nendaz,CH,1
2000,Neuchatel,CH,1
2000,Neuchâtel,CH,6
2013,Colombier,CH,2
2014,Bôle,CH,1
2016,Cortaillod,CH,1
2017,Boudry,CH,3
2037,Montmollin,CH,1
2037,Montezillon,CH,1
2052,Fontainemelon,CH,1
2053,Cernier,CH,1
2057,Villiers,CH,2
2073,Enges,CH,1
2074,Marin,CH,1
2087,Cornaux,CH,2
2088,Cressier,CH,2
2105,Travers,CH,1
2108,Couvet,CH,4
2114,Fleurier,CH,6
2300,La-Chaux-de-Fonds,CH,1
2300,La Chaux-de-Fonds,CH,4
2322,Le Crêt-du-Locle,CH,1
2345,Chaux-des-Breuleux,CH,3
2350,Saignelégier,CH,1
2400,Le Locle,CH,2
2501,Biel,CH,8
2502,Biel,CH,10
2503,Biel,CH,11
2504,Biel,CH,12
2515,Prêles,CH,1
2518,Nods,CH,1
2523,Lignières,CH,2
2525,Le Landeron,CH,4
2534,Orvin,CH,1
2540,Grenchen,CH,18
2542,Pieterlen,CH,6
2543,Lengnau,CH,7
2543,Lengnau ,CH,4
2544,Bettlach,CH,4
2545,Selzach,CH,9
2545,Sezlach,CH,1
2552,Orpund,CH,3
2553,Safern,CH,1
2554,Meinisberg,CH,2
2555,Brügg,CH,6
2555,Brügg ,CH,1
2556,Schwadernau,CH,2
2556,Scheuren,CH,1
2557,Studen,CH,11
2557,Studen ,CH,4
2558,Aegerten,CH,6
2560,Nidau,CH,2
2562,Port,CH,2
2563,Ipsach,CH,4
2564,Bellmund,CH,5
2572,Sutz-Lattrigen,CH,2
2572,Mörigen,CH,11
2575,Gerolfingen,CH,2
2575,Täuffelen,CH,2
2576,Lüscherz,CH,2
2577,Finsterhennen,CH,6
2577,Siselen,CH,1
2577,Siselen ,CH,3
2603,Péry,CH,6
2603,Pery,CH,1
2605,Sonceboz,CH,3
2606,Corgémont,CH,1
2607,Cortebért,CH,1
2607,Cortébert,CH,1
2608,Courtelary,CH,3
2610,St-Imier,CH,9
2615,Sonvilier,CH,2
2616,Renan ,CH,2
2710,Tavannes,CH,4
2712,Le Fuet,CH,1
2715,Châtelat,CH,1
2720,Tramelan,CH,18
2722,Les Reussilles,CH,4
2723,Mont-Tramelan,CH,4
2732,Saicourt,CH,1
2732,Reconvilier,CH,5
2732,Loveresse,CH,2
2735,Bévilard,CH,4
2735,Malleray,CH,3
2738,Court,CH,7
2740,Moutier,CH,10
2741,Belprahon,CH,1
2742,Perrefitte,CH,2
2743,Eschert,CH,1
2745,Grandval,CH,1
2746,Crémines,CH,2
