PLZ,YB
1066,2
1110,1
1242,34
1260,1
1510,1
1530,2
1544,1
1563,2
1564,2
1566,3
1580,2
1625,1
1627,1
1630,2
1635,2
1663,1
1678,1
1694,1
1695,2
1700,7
1701,8
1712,3
1713,2
1714,10
1716,1
1719,6
1722,2
1723,4
1725,2
1727,1
1731,2
1747,1
1762,3
1773,1
1785,2
1786,5
1789,2
1791,3
1792,5
1793,2
1794,2
1796,3
1797,4
1880,1
1898,1
2000,2
2001,2
2007,2
2052,1
2072,7
2088,4
2234,1
2302,2
2303,1
2370,1
2500,2
2502,10
2503,7
2504,6
2512,2
2513,1
2520,2
2532,6
2533,4
2540,14
2542,7
2543,16
2544,4
2545,2
2552,8
2553,1
2554,5
2555,2
2556,4
2557,7
2558,3
2560,17
2562,3
2563,6
2564,6
2565,3
2572,2
2575,15
2576,1
2577,14
2610,12
2710,3
2720,5
2722,1
2723,1
2735,1
2740,3
2854,1
2900,1
3000,208
3001,85
3002,4
3004,76
3005,91
3006,323
3007,394
3008,149
3010,1
3011,161
3012,233
3013,358
3014,829
3015,26
3018,188
3019,9
3020,5
3027,137
3030,14
3032,60
3033,29
3034,1
3035,2
3036,5
3037,16
3038,19
3042,9
3043,21
3044,2
3045,16
3046,4
3047,78
3048,35
3049,3
3050,14
3052,186
3053,185
3054,60
3063,172
3065,92
3066,62
3067,49
3068,19
3072,249
3073,149
3074,83
3075,52
3076,76
3078,2
3082,4
3083,4
3084,132
3085,1
3086,7
3087,5
3088,4
3089,4
3095,31
3096,7
3097,152
3098,131
3099,1
3110,145
3111,2
3112,5
3113,39
3114,42
3115,16
3116,9
3122,54
3123,147
3124,2
3125,33
3126,5
3127,14
3128,5
3132,11
3144,12
3145,30
3147,5
3148,6
3150,29
3152,4
3153,3
3154,10
3157,2
3158,1
3172,52
3173,14
3174,30
3175,18
3176,44
3177,30
3178,25
3182,11
3183,1
3184,15
3185,11
3186,20
3202,35
3203,23
3204,17
3205,24
3206,3
3207,7
3208,5
3210,60
3212,3
3213,2
3214,4
3215,6
3216,17
3225,15
3226,6
3232,7
3233,2
3234,2
3235,3
3236,1
3237,1
3250,92
3251,4
3252,11
3253,12
3254,10
3255,12
3256,5
3257,18
3262,16
3263,5
3264,1
3266,5
3267,17
3268,11
3270,39
3271,7
3272,3
3273,6
3274,1
3280,17
3282,7
3283,8
3284,5
3286,9
3292,6
3293,5
3294,17
3295,3
3296,4
3297,11
3298,4
3302,57
3303,91
3305,8
3306,5
3307,5
3308,23
3309,4
3312,25
3313,13
3314,4
3315,46
3317,5
3321,30
3322,138
3323,18
3324,37
3325,13
3326,14
3360,23
3362,5
3365,5
3366,5
3367,5
3368,4
3380,6
3400,120
3401,4
3412,5
3413,2
3414,20
3415,31
3417,4
3418,5
3419,6
3421,21
3422,89
3423,12
3425,25
3426,9
3427,50
3428,5
3432,12
3434,2
3436,8
3438,1
3439,1
3452,4
3453,1
3454,21
3455,6
3457,1
3462,1
3463,2
3465,5
3472,16
3473,3
3474,1
3503,1
3504,4
3506,42
3507,15
3508,2
3510,61
3512,9
3513,2
3531,1
3532,21
3533,3
3534,5
3535,1
3536,2
3543,4
3550,26
3553,1
3555,1
3600,55
3601,1
3602,2
3603,3
3604,36
3608,11
3612,32
3613,9
3614,1
3615,4
3617,2
3624,2
3626,10
3627,19
3628,11
3629,18
3631,1
3634,10
3635,1
3636,1
3638,5
3645,11
3646,2
3647,1
3652,4
3653,5
3654,3
3655,6
3656,4
3658,1
3661,24
3662,11
3663,1
3664,5
3665,15
3671,8
3672,31
3673,1
3674,4
3700,35
3702,3
3703,6
3704,1
3705,4
3706,5
3707,1
3711,1
3713,11
3714,6
3718,3
3724,1
3752,4
3753,4
3754,5
3762,2
3766,3
3770,7
3775,2
3780,2
3784,1
3800,27
3803,4
3805,7
3806,6
3812,3
3818,5
3852,1
3853,1
3855,4
3860,6
3900,1
3902,1
3903,1
3916,1
3919,2
3965,1
3972,2
3992,1
4002,6
4053,1
4056,1
4057,2
4058,2
4059,1
4104,1
4106,2
4123,2
4127,1
4144,2
4153,1
4228,1
4242,2
4302,2
4310,20
4410,1
4414,1
4448,1
4500,33
4502,4
4509,2
4512,4
4513,7
4514,1
4522,3
4524,2
4525,2
4528,11
4532,1
4533,4
4534,4
4536,11
4537,2
4538,3
4542,6
4543,7
4552,10
4553,14
4554,4
4556,2
4558,4
4562,21
4563,10
4564,2
4565,8
4566,6
4571,2
4573,6
4574,2
4577,2
4579,2
4584,1
4585,2
4588,3
4600,6
4603,2
4612,3
4613,1
4614,2
4616,3
4617,2
4622,2
4625,1
4626,2
4628,3
4632,3
4656,1
4657,1
4663,5
4665,2
4702,7
4704,7
4716,5
4717,2
4800,2
4802,3
4803,2
4806,1
4852,3
4853,1
4900,57
4912,11
4913,4
4914,9
4922,5
4923,4
4924,4
4932,7
4934,7
4936,4
4937,3
4938,4
4942,3
4944,2
4950,21
4952,1
4953,2
4955,2
5000,3
5001,4
5015,2
5032,3
5034,1
5035,2
5036,1
5105,1
5210,2
5212,1
5400,2
5412,1
5415,1
5417,1
5430,2
5600,1
5603,3
5605,1
5606,1
5607,1
5610,1
5612,2
5614,1
5620,1
5622,2
5624,1
5722,1
5734,1
6003,1
6004,1
6023,1
6025,2
6052,2
6056,1
6060,1
6078,1
6102,1
6122,2
6130,2
6147,1
6170,2
6192,1
6208,1
6210,1
6214,1
6247,1
6262,1
6300,2
6315,1
6319,1
6331,4
6340,2
6403,2
6417,4
6440,3
6460,1
6600,1
6614,1
6933,1
7278,1
8001,12
8002,1
8003,2
8004,19
8005,3
8006,2
8008,8
8010,10
8021,3
8032,2
8037,1
8038,2
8044,1
8046,4
8048,9
8049,1
8050,4
8052,2
8057,2
8112,1
8134,2
8152,1
8153,14
8180,2
8192,1
8193,2
8200,1
8306,6
8309,2
8400,4
8406,1
8422,1
8472,1
8474,2
8505,1
8555,2
8590,2
8600,11
8610,1
8627,2
8632,1
8700,6
8703,4
8712,1
8716,1
8804,3
8832,3
8864,1
8902,2
8903,1
8907,2
8910,1
8912,4
8952,5
