,PLZ,Ortsname,YB,YB_relativ,YB_pro_1000,SCB,SCB_relativ,SCB_pro_1000,derby
0,1000,Lausanne,,,,,,,Unentschieden
1,1003,Lausanne,,,,1.0,0.00012093360744951022,0.12093360744951022,Unentschieden
2,1004,Lausanne,,,,1.0,3.448751551938198e-05,0.03448751551938198,Unentschieden
3,1005,Lausanne,,,,2.0,0.00017174753112924002,0.17174753112924002,Unentschieden
4,1006,"Lausanne, Pully",,,,,,,Unentschieden
5,1007,Lausanne,,,,,,,Unentschieden
6,1008,"Jouxtens-Mézery, Prilly, Renens (VD)",,,,,,,Unentschieden
7,1009,Pully,,,,,,,Unentschieden
8,1010,Lausanne,,,,,,,Unentschieden
9,1011,Lausanne,,,,,,,Unentschieden
10,1012,Lausanne,,,,,,,Unentschieden
11,1018,Lausanne,,,,,,,Unentschieden
12,1020,Renens (VD),,,,,,,Unentschieden
13,1022,Chavannes-près-Renens,,,,,,,Unentschieden
14,1023,"Crissier, Lausanne",,,,1.0,0.00013180440226703572,0.13180440226703571,Unentschieden
15,1024,"Ecublens (VD), Saint-Sulpice (VD)",,,,1.0,8.220979940808945e-05,0.08220979940808945,Unentschieden
16,1025,Saint-Sulpice (VD),,,,,,,Unentschieden
17,1026,"Denges, Echandens",,,,1.0,0.0002477700693756194,0.2477700693756194,Unentschieden
18,1027,"Echandens, Lonay",,,,,,,Unentschieden
19,1028,Préverenges,,,,,,,Unentschieden
20,1029,Villars-Sainte-Croix,,,,,,,Unentschieden
21,1030,Bussigny,,,,,,,Unentschieden
22,1031,Mex (VD),,,,,,,Unentschieden
23,1032,"Lausanne, Romanel-sur-Lausanne",,,,,,,Unentschieden
24,1033,"Cheseaux-sur-Lausanne, Crissier, Lausanne",,,,,,,Unentschieden
25,1034,Boussens,,,,,,,Unentschieden
26,1035,Bournens,,,,,,,Unentschieden
27,1036,Sullens,,,,,,,Unentschieden
28,1037,Etagnières,,,,,,,Unentschieden
29,1038,"Bercher, Boulens, Montanaire",,,,,,,Unentschieden
30,1040,"Echallens, Saint-Barthélemy (VD), Villars-le-Terroir",,,,1.0,0.00013833171946327292,0.1383317194632729,Unentschieden
31,1041,"Bottens, Poliez-Pittet, Montilliez, Jorat-Menthue",,,,,,,Unentschieden
32,1042,"Bettens, Assens, Bioley-Orjulaz",,,,,,,Unentschieden
33,1043,Montilliez,,,,,,,Unentschieden
34,1044,Fey,,,,,,,Unentschieden
35,1045,"Ogens, Bioley-Magnoux",,,,,,,Unentschieden
36,1046,Rueyres,,,,,,,Unentschieden
37,1047,"Rueyres, Oppens",,,,,,,Unentschieden
38,1052,"Lausanne, Le Mont-sur-Lausanne",,,,1.0,0.00014369880729989942,0.14369880729989942,Unentschieden
39,1053,"Bretigny-sur-Morrens, Cugy (VD), Lausanne",,,,,,,Unentschieden
40,1054,Morrens (VD),,,,,,,Unentschieden
41,1055,Froideville,,,,,,,Unentschieden
42,1058,Jorat-Menthue,,,,,,,Unentschieden
43,1059,"Hermenches, Jorat-Menthue",,,,,,,Unentschieden
44,1061,Jorat-Menthue,,,,,,,Unentschieden
45,1062,Jorat-Menthue,,,,,,,Unentschieden
46,1063,"Boulens, Montanaire, Jorat-Menthue",,,,,,,Unentschieden
47,1066,"Epalinges, Lausanne",2.0,0.0002218524681087077,0.2218524681087077,,,,Unentschieden
48,1068,Pully,,,,,,,Unentschieden
49,1070,"Puidoux, Bourg-en-Lavaux, Chardonne",,,,,,,Unentschieden
50,1071,"Chexbres, Puidoux, Rivaz, Saint-Saphorin (Lavaux), Chardonne",,,,,,,Unentschieden
51,1072,Forel (Lavaux),,,,,,,Unentschieden
52,1073,"Forel (Lavaux), Savigny",,,,,,,Unentschieden
53,1076,Ferlens (VD),,,,,,,Unentschieden
54,1077,Servion,,,,,,,Unentschieden
55,1078,Essertes,,,,,,,Unentschieden
56,1080,"Forel (Lavaux), Servion",,,,,,,Unentschieden
57,1081,Montpreveyres,,,,,,,Unentschieden
58,1082,Corcelles-le-Jorat,,,,,,,Unentschieden
59,1083,"Carrouge (VD), Mézières (VD)",,,,,,,Unentschieden
60,1084,"Carrouge (VD), Vulliens",,,,,,,Unentschieden
61,1085,Vulliens,,,,,,,Unentschieden
62,1088,Ropraz,,,,,,,Unentschieden
63,1090,"Lutry, Savigny",,,,,,,Unentschieden
64,1091,"Forel (Lavaux), Savigny, Bourg-en-Lavaux",,,,,,,Unentschieden
65,1092,"Belmont-sur-Lausanne, Lutry",,,,,,,Unentschieden
66,1093,Lutry,,,,,,,Unentschieden
67,1094,Paudex,,,,,,,Unentschieden
68,1095,"Lutry, Bourg-en-Lavaux",,,,1.0,0.00017155601303825698,0.171556013038257,Unentschieden
69,1096,"Puidoux, Bourg-en-Lavaux",,,,,,,Unentschieden
70,1097,Bourg-en-Lavaux,,,,,,,Unentschieden
71,1098,"Puidoux, Bourg-en-Lavaux",,,,,,,Unentschieden
72,1110,Morges,1.0,6.466214031684449e-05,0.06466214031684449,3.0,0.00019398642095053346,0.19398642095053345,SCB gewinnt
73,1112,Echichens,,,,,,,Unentschieden
74,1113,Echichens,,,,,,,Unentschieden
75,1114,Echichens,,,,,,,Unentschieden
76,1115,Vullierens,,,,,,,Unentschieden
77,1116,Cottens (VD),,,,,,,Unentschieden
78,1117,Grancy,,,,,,,Unentschieden
79,1121,Bremblens,,,,,,,Unentschieden
80,1122,Romanel-sur-Morges,,,,,,,Unentschieden
81,1123,Aclens,,,,,,,Unentschieden
82,1124,Gollion,,,,,,,Unentschieden
83,1125,Echichens,,,,,,,Unentschieden
84,1126,Vaux-sur-Morges,,,,,,,Unentschieden
85,1127,Clarmont,,,,,,,Unentschieden
86,1128,"Apples, Reverolle",,,,,,,Unentschieden
87,1131,Tolochenaz,,,,,,,Unentschieden
88,1132,Lully (VD),,,,,,,Unentschieden
89,1134,"Chigny, Vufflens-le-Château",,,,1.0,0.000864304235090752,0.8643042350907519,Unentschieden
90,1135,Denens,,,,,,,Unentschieden
91,1136,Bussy-Chardonney,,,,,,,Unentschieden
92,1141,Sévery,,,,,,,Unentschieden
93,1142,Pampigny,,,,,,,Unentschieden
94,1143,"Apples, Sévery",,,,,,,Unentschieden
95,1144,Ballens,,,,,,,Unentschieden
96,1145,"Bière, Saint-Livres",,,,,,,Unentschieden
97,1146,Mollens (VD),,,,,,,Unentschieden
98,1147,Montricher,,,,,,,Unentschieden
99,1148,"La Chaux (Cossonay), Chavannes-le-Veyron, Cuarnens, L'Isle, Mauraz, Moiry, Mont-la-Ville, La Praz",,,,,,,Unentschieden
100,1149,"Berolle, Bière",,,,,,,Unentschieden
101,1162,Saint-Prex,,,,,,,Unentschieden
102,1163,Etoy,,,,,,,Unentschieden
103,1164,Buchillon,,,,,,,Unentschieden
104,1165,Allaman,,,,4.0,0.009950248756218905,9.950248756218905,Unentschieden
105,1166,"Féchy, Perroy",,,,,,,Unentschieden
106,1167,Lussy-sur-Morges,,,,,,,Unentschieden
107,1168,Villars-sous-Yens,,,,,,,Unentschieden
108,1169,Yens,,,,,,,Unentschieden
109,1170,"Aubonne, Montherod, Saint-Livres, Lavigny",,,,,,,Unentschieden
110,1172,"Aubonne, Bougy-Villars",,,,,,,Unentschieden
111,1173,Féchy,,,,1.0,0.0011627906976744186,1.1627906976744187,Unentschieden
112,1174,"Aubonne, Montherod",,,,,,,Unentschieden
113,1175,Lavigny,,,,,,,Unentschieden
114,1176,Saint-Livres,,,,,,,Unentschieden
115,1180,"Essertines-sur-Rolle, Gilly, Rolle, Tartegnin",,,,1.0,0.00015372790161414298,0.153727901614143,Unentschieden
116,1182,Gilly,,,,,,,Unentschieden
117,1183,"Bursins, Gilly",,,,,,,Unentschieden
118,1184,"Luins, Vinzel",,,,,,,Unentschieden
119,1185,"Essertines-sur-Rolle, Mont-sur-Rolle, Rolle",,,,,,,Unentschieden
120,1186,"Essertines-sur-Rolle, Gilly",,,,,,,Unentschieden
121,1187,Saint-Oyens,,,,,,,Unentschieden
122,1188,"Gimel, Saint-George",,,,,,,Unentschieden
123,1189,Saubraz,,,,,,,Unentschieden
124,1195,"Bursinel, Dully, Gilly",,,,,,,Unentschieden
125,1196,"Coinsins, Gland, Prangins",,,,,,,Unentschieden
126,1197,Prangins,,,,,,,Unentschieden
127,1200,,,,,,,,Unentschieden
128,1201,Genève,,,,,,,Unentschieden
129,1202,"Genève, Le Grand-Saconnex, Pregny-Chambésy",,,,,,,Unentschieden
130,1203,Genève,,,,,,,Unentschieden
131,1204,Genève,,,,,,,Unentschieden
132,1205,Genève,,,,,,,Unentschieden
133,1206,Genève,,,,,,,Unentschieden
134,1207,"Cologny, Genève",,,,,,,Unentschieden
135,1208,Genève,,,,,,,Unentschieden
136,1209,"Genève, Le Grand-Saconnex, Vernier",,,,,,,Unentschieden
137,1212,"Carouge (GE), Lancy, Onex, Plan-les-Ouates",,,,,,,Unentschieden
138,1213,"Genève, Lancy, Onex",,,,,,,Unentschieden
139,1214,"Meyrin, Satigny, Vernier",,,,,,,Unentschieden
140,1215,"Le Grand-Saconnex, Meyrin",,,,,,,Unentschieden
141,1216,"Le Grand-Saconnex, Meyrin, Vernier",,,,,,,Unentschieden
142,1217,"Meyrin, Satigny",,,,,,,Unentschieden
143,1218,"Genève, Le Grand-Saconnex",,,,,,,Unentschieden
144,1219,Vernier,,,,,,,Unentschieden
145,1220,Vernier,,,,,,,Unentschieden
146,1222,"Choulex, Collonge-Bellerive, Cologny, Corsier (GE), Meinier",,,,,,,Unentschieden
147,1223,"Cologny, Vandoeuvres",,,,,,,Unentschieden
148,1224,"Chêne-Bougeries, Thônex",,,,,,,Unentschieden
149,1225,"Chêne-Bourg, Thônex",,,,,,,Unentschieden
150,1226,"Chêne-Bourg, Thônex",,,,,,,Unentschieden
151,1227,"Carouge (GE), Genève, Lancy",,,,2.0,7.795447458684128e-05,0.07795447458684128,Unentschieden
152,1228,"Confignon, Lancy, Plan-les-Ouates",,,,,,,Unentschieden
153,1231,"Chêne-Bougeries, Genève, Thônex",,,,,,,Unentschieden
154,1232,"Bernex, Confignon",,,,,,,Unentschieden
155,1233,Bernex,,,,,,,Unentschieden
156,1234,Veyrier,,,,,,,Unentschieden
157,1236,"Avusy, Bernex, Cartigny, Laconnex",,,,,,,Unentschieden
158,1237,"Avully, Chancy",,,,,,,Unentschieden
159,1239,Collex-Bossy,,,,,,,Unentschieden
160,1241,"Presinge, Puplinge",,,,,,,Unentschieden
161,1242,Satigny,34.0,0.008856473039854129,8.856473039854128,,,,Unentschieden
162,1243,Presinge,,,,,,,Unentschieden
163,1244,"Choulex, Meinier, Presinge",,,,,,,Unentschieden
164,1245,Collonge-Bellerive,,,,,,,Unentschieden
165,1246,"Collonge-Bellerive, Corsier (GE)",,,,,,,Unentschieden
166,1247,Anières,,,,,,,Unentschieden
167,1248,"Anières, Hermance",,,,,,,Unentschieden
168,1251,"Anières, Corsier (GE), Gy, Meinier",,,,,,,Unentschieden
169,1252,Meinier,,,,,,,Unentschieden
170,1253,"Chêne-Bougeries, Cologny, Vandoeuvres",,,,,,,Unentschieden
171,1254,"Gy, Jussy, Meinier, Presinge",,,,,,,Unentschieden
172,1255,"Troinex, Veyrier",,,,,,,Unentschieden
173,1256,"Lancy, Plan-les-Ouates, Troinex, Veyrier",,,,,,,Unentschieden
174,1257,"Bardonnex, Plan-les-Ouates, Troinex",,,,,,,Unentschieden
175,1258,"Bardonnex, Perly-Certoux",,,,,,,Unentschieden
176,1260,"Nyon, Prangins",1.0,5.06636943965954e-05,0.0506636943965954,1.0,5.06636943965954e-05,0.0506636943965954,Unentschieden
177,1261,"Longirod, Marchissy, Le Vaud",,,,,,,Unentschieden
178,1262,Eysins,,,,,,,Unentschieden
179,1263,Crassier,,,,,,,Unentschieden
180,1264,"Arzier-Le Muids, Saint-Cergue",,,,,,,Unentschieden
181,1265,Saint-Cergue,,,,,,,Unentschieden
182,1266,Duillier,,,,,,,Unentschieden
183,1267,"Coinsins, Vich",,,,,,,Unentschieden
184,1268,"Begnins, Bursins, Burtigny, Vinzel",,,,,,,Unentschieden
185,1269,Bassins,,,,1.0,0.0007552870090634441,0.7552870090634441,Unentschieden
186,1270,Trélex,,,,,,,Unentschieden
187,1271,Givrins,,,,,,,Unentschieden
188,1272,"Genolier, Givrins",,,,,,,Unentschieden
189,1273,Arzier-Le Muids,,,,,,,Unentschieden
190,1274,"Grens, Signy-Avenex, Trélex",,,,,,,Unentschieden
191,1275,"Chéserex, La Rippe",,,,,,,Unentschieden
192,1276,"Chéserex, Gingins, Saint-Cergue",,,,,,,Unentschieden
193,1277,"Arnex-sur-Nyon, Borex",,,,,,,Unentschieden
194,1278,La Rippe,,,,,,,Unentschieden
195,1279,"Bogis-Bossey, Chavannes-de-Bogis",,,,,,,Unentschieden
196,1281,"Russin, Satigny",,,,,,,Unentschieden
197,1283,Dardagny,,,,,,,Unentschieden
198,1284,Chancy,,,,,,,Unentschieden
199,1285,"Avusy, Chancy",,,,,,,Unentschieden
200,1286,"Bernex, Soral",,,,,,,Unentschieden
201,1287,Laconnex,,,,,,,Unentschieden
202,1288,Aire-la-Ville,,,,,,,Unentschieden
203,1290,"Chavannes-des-Bois, Mies, Collex-Bossy, Genthod, Versoix",,,,,,,Unentschieden
204,1291,Commugny,,,,,,,Unentschieden
205,1292,"Genève, Pregny-Chambésy",,,,,,,Unentschieden
206,1293,"Bellevue, Genthod",,,,,,,Unentschieden
207,1294,"Bellevue, Genthod",,,,,,,Unentschieden
208,1295,"Mies, Tannay",,,,,,,Unentschieden
209,1296,"Commugny, Coppet",,,,,,,Unentschieden
210,1297,"Commugny, Coppet, Founex",,,,,,,Unentschieden
211,1298,Céligny,,,,,,,Unentschieden
212,1299,Crans-près-Céligny,,,,,,,Unentschieden
213,1302,Vufflens-la-Ville,,,,,,,Unentschieden
214,1303,Penthaz,,,,,,,Unentschieden
215,1304,"Cossonay, Dizy, Senarclens",,,,,,,Unentschieden
216,1305,Penthalaz,,,,,,,Unentschieden
217,1306,"Bettens, Daillens",,,,,,,Unentschieden
218,1307,Lussery-Villars,,,,,,,Unentschieden
219,1308,La Chaux (Cossonay),,,,,,,Unentschieden
220,1312,Eclépens,,,,,,,Unentschieden
221,1313,Ferreyres,,,,,,,Unentschieden
222,1315,La Sarraz,,,,,,,Unentschieden
223,1316,"La Chaux (Cossonay), Chevilly",,,,,,,Unentschieden
224,1317,Orny,,,,,,,Unentschieden
225,1318,Pompaples,,,,,,,Unentschieden
226,1321,Arnex-sur-Orbe,,,,,,,Unentschieden
227,1322,Croy,,,,,,,Unentschieden
228,1323,Romainmôtier-Envy,,,,,,,Unentschieden
229,1324,Premier,,,,,,,Unentschieden
230,1325,"Mont-la-Ville, Vaulion",,,,,,,Unentschieden
231,1326,Juriens,,,,,,,Unentschieden
232,1329,Bretonnières,,,,,,,Unentschieden
233,1337,Vallorbe,,,,2.0,0.0005583472920156337,0.5583472920156337,Unentschieden
234,1338,Ballaigues,,,,,,,Unentschieden
235,1341,Le Chenit,,,,,,,Unentschieden
236,1342,L'Abbaye,,,,,,,Unentschieden
237,1343,Le Lieu,,,,,,,Unentschieden
238,1344,L'Abbaye,,,,,,,Unentschieden
239,1345,Le Lieu,,,,,,,Unentschieden
240,1346,L'Abbaye,,,,,,,Unentschieden
241,1347,Le Chenit,,,,,,,Unentschieden
242,1348,Le Chenit,,,,,,,Unentschieden
243,1350,Orbe,,,,3.0,0.00044137119317345886,0.44137119317345885,Unentschieden
244,1352,Agiez,,,,,,,Unentschieden
245,1353,Bofflens,,,,,,,Unentschieden
246,1354,Montcherand,,,,,,,Unentschieden
247,1355,"L'Abergement, Sergey",,,,,,,Unentschieden
248,1356,Les Clées,,,,,,,Unentschieden
249,1357,Lignerolle,,,,,,,Unentschieden
250,1358,Valeyres-sous-Rances,,,,,,,Unentschieden
251,1372,"Orny, Bavois",,,,,,,Unentschieden
252,1373,Chavornay,,,,1.0,0.00024709661477637757,0.24709661477637757,Unentschieden
253,1374,Corcelles-sur-Chavornay,,,,,,,Unentschieden
254,1375,Penthéréaz,,,,,,,Unentschieden
255,1376,Goumoëns,,,,,,,Unentschieden
256,1377,Oulens-sous-Echallens,,,,,,,Unentschieden
257,1400,"Cheseaux-Noréaz, Cuarny, Yverdon-les-Bains",,,,2.0,6.682928459250843e-05,0.06682928459250843,Unentschieden
258,1404,"Cuarny, Villars-Epeney",,,,,,,Unentschieden
259,1405,Pomy,,,,,,,Unentschieden
260,1406,Cronay,,,,,,,Unentschieden
261,1407,"Bioley-Magnoux, Donneloye",,,,,,,Unentschieden
262,1408,Donneloye,,,,,,,Unentschieden
263,1409,Montanaire,,,,,,,Unentschieden
264,1410,"Prévondavaux, Montanaire",,,,,,,Unentschieden
265,1412,"Ursins, Valeyres-sous-Ursins",,,,,,,Unentschieden
266,1413,Orzens,,,,,,,Unentschieden
267,1415,"Démoret, Molondin",,,,,,,Unentschieden
268,1416,Pailly,,,,,,,Unentschieden
269,1417,Essertines-sur-Yverdon,,,,1.0,0.0011001100110011,1.1001100110011,Unentschieden
270,1418,Vuarrens,,,,,,,Unentschieden
271,1420,Fiez,,,,,,,Unentschieden
272,1421,"Fontaines-sur-Grandson, Grandevent",,,,,,,Unentschieden
273,1422,Grandson,,,,1.0,0.00030703101013202335,0.30703101013202333,Unentschieden
274,1423,"Bonvillars, Tévenon",,,,,,,Unentschieden
275,1424,Champagne,,,,1.0,0.0009970089730807576,0.9970089730807576,Unentschieden
276,1425,Onnens (VD),,,,,,,Unentschieden
277,1426,"Concise, Corcelles-près-Concise",,,,,,,Unentschieden
278,1427,Bonvillars,,,,,,,Unentschieden
279,1428,"Concise, Mutrux, Provence",,,,,,,Unentschieden
280,1429,Giez,,,,,,,Unentschieden
281,1430,Orges,,,,,,,Unentschieden
282,1431,"Novalles, Vugelles-La Mothe",,,,,,,Unentschieden
283,1432,"Belmont-sur-Yverdon, Valeyres-sous-Ursins, Yverdon-les-Bains",,,,,,,Unentschieden
284,1433,Suchy,,,,,,,Unentschieden
285,1434,Ependes (VD),,,,1.0,0.0029154518950437317,2.9154518950437316,Unentschieden
286,1435,"Chavornay, Essert-Pittet",,,,,,,Unentschieden
287,1436,"Chamblon, Treycovagnes",,,,,,,Unentschieden
288,1437,Suscévaz,,,,,,,Unentschieden
289,1438,Mathod,,,,,,,Unentschieden
290,1439,Rances,,,,,,,Unentschieden
291,1441,Valeyres-sous-Montagny,,,,1.0,0.0015600624024961,1.5600624024960998,Unentschieden
292,1442,Montagny-près-Yverdon,,,,,,,Unentschieden
293,1443,Champvent,,,,,,,Unentschieden
294,1445,"Sainte-Croix, Vuiteboeuf",,,,,,,Unentschieden
295,1446,Baulmes,,,,,,,Unentschieden
296,1450,Sainte-Croix,,,,,,,Unentschieden
297,1452,"Bullet, Sainte-Croix",,,,,,,Unentschieden
298,1453,"Bullet, Fiez, Fontaines-sur-Grandson, Mauborget, Tévenon",,,,,,,Unentschieden
299,1454,Sainte-Croix,,,,,,,Unentschieden
300,1462,"Cheseaux-Noréaz, Yvonand",,,,,,,Unentschieden
301,1463,Rovray,,,,,,,Unentschieden
302,1464,"Chavannes-le-Chêne, Chêne-Pâquier",,,,,,,Unentschieden
303,1468,Cheyres,,,,1.0,0.0007283321194464676,0.7283321194464676,Unentschieden
304,1470,"Estavayer-le-Lac, Lully (FR)",,,,,,,Unentschieden
305,1473,"Châtillon (FR), Estavayer-le-Lac",,,,,,,Unentschieden
306,1474,Châbles,,,,,,,Unentschieden
307,1475,Vernay,,,,1.0,0.0009372071227741331,0.9372071227741331,Unentschieden
308,1482,Cugy (FR),,,,,,,Unentschieden
309,1483,"Cugy (FR), Lully (FR), Les Montets",,,,,,,Unentschieden
310,1484,Les Montets,,,,,,,Unentschieden
311,1485,"Nuvilly, Valbroye",,,,,,,Unentschieden
312,1486,Vuissens,,,,,,,Unentschieden
313,1489,Murist,,,,,,,Unentschieden
314,1509,Vucherens,,,,,,,Unentschieden
315,1510,"Moudon, Syens",1.0,0.000167897918065816,0.167897918065816,3.0,0.0005036937541974479,0.5036937541974479,SCB gewinnt
316,1512,Chavannes-sur-Moudon,,,,,,,Unentschieden
317,1513,"Hermenches, Rossenges, Corcelles-le-Jorat, Ropraz",,,,,,,Unentschieden
318,1514,Bussy-sur-Moudon,,,,1.0,0.005076142131979695,5.076142131979695,Unentschieden
319,1515,"Villars-le-Comte, Montanaire",,,,2.0,0.006756756756756757,6.756756756756757,Unentschieden
320,1521,Curtilles,,,,,,,Unentschieden
321,1522,"Lucens, Valbroye",,,,,,,Unentschieden
322,1523,Valbroye,,,,2.0,0.0014716703458425313,1.4716703458425313,Unentschieden
323,1524,Valbroye,,,,,,,Unentschieden
324,1525,"Villeneuve (FR), Henniez, Valbroye",,,,,,,Unentschieden
325,1526,"Cremin, Forel-sur-Lucens",,,,,,,Unentschieden
326,1527,Villeneuve (FR),,,,,,,Unentschieden
327,1528,Surpierre,,,,,,,Unentschieden
328,1529,Cheiry,,,,,,,Unentschieden
329,1530,"Rueyres-les-Prés, Corcelles-près-Payerne, Payerne",2.0,0.00021915406530791147,0.21915406530791148,25.0,0.002739425816348893,2.739425816348893,SCB gewinnt
330,1532,Fétigny,,,,,,,Unentschieden
331,1533,Ménières,,,,,,,Unentschieden
332,1534,"Cheiry, Valbroye",,,,,,,Unentschieden
333,1535,Valbroye,,,,,,,Unentschieden
334,1536,Valbroye,,,,,,,Unentschieden
335,1537,Champtauroz,,,,,,,Unentschieden
336,1538,Treytorrens (Payerne),,,,,,,Unentschieden
337,1541,"Bussy (FR), Morens (FR), Sévaz",,,,,,,Unentschieden
338,1542,Rueyres-les-Prés,,,,,,,Unentschieden
339,1543,Grandcour,,,,1.0,0.0011614401858304297,1.1614401858304297,Unentschieden
340,1544,Gletterens,1.0,0.0010449320794148381,1.0449320794148382,1.0,0.0010449320794148381,1.0449320794148382,Unentschieden
341,1545,Chevroux,,,,,,,Unentschieden
342,1551,Payerne,,,,,,,Unentschieden
343,1552,Trey,,,,1.0,0.003787878787878788,3.787878787878788,Unentschieden
344,1553,Châtonnaye,,,,,,,Unentschieden
345,1554,Villarzel,,,,,,,Unentschieden
346,1555,Villarzel,,,,,,,Unentschieden
347,1562,"Montagny (FR), Corcelles-près-Payerne, Payerne",,,,8.0,0.0038095238095238095,3.8095238095238093,Unentschieden
348,1563,Belmont-Broye,2.0,0.002,2.0,,,,Unentschieden
349,1564,Belmont-Broye,2.0,0.0006856359273225917,0.6856359273225917,1.0,0.00034281796366129587,0.34281796366129585,YB gewinnt
