PLZ,Total,Schweiz,Ausland,Mann,Frau,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90 und mehr,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetrage-ner Partner-schaft,Aufgelöste Partnerschaft
1000, 2964, 1799, 1165, 1479, 1485,  126,  199,  175,  326,  441,  145,  126,  204,  211,  235,  187,  158,  126,  111,  75,  54,  31,  21,  13, 1614, 1114,  85,  148,  1,  2,  0
1003, 8269, 4546, 3723, 4143, 4126,  422,  297,  218,  311,  503, 1053, 1122,  891,  708,  517,  457,  400,  315,  296,  204,  181,  146,  135,  93, 4743, 2353,  343,  775,  0,  53,  2
1004, 28996, 16624, 12372, 13983, 15013, 1435, 1154, 1110, 1266, 1832, 3017, 3116, 2547, 2067, 1954, 1847, 1592, 1291, 1154, 1080,  929,  752,  560,  293, 14913, 9852, 1352, 2782,  3,  85,  8
1005, 11645, 6765, 4880, 5578, 6067,  536,  472,  429,  509,  728, 1297, 1380, 1110,  913,  783,  686,  557,  506,  426,  380,  296,  289,  214,  134, 6462, 3596,  502, 1031,  2,  41,  7
1006, 14638, 8859, 5779, 6976, 7662,  745,  647,  476,  592,  909, 1382, 1525, 1363, 1135,  994,  921,  807,  652,  608,  552,  448,  402,  289,  191, 7706, 4794,  680, 1423,  0,  29,  6
1007, 21417, 12058, 9359, 10241, 11176, 1234,  999, 1041, 1192, 1568, 2054, 2220, 1760, 1534, 1386, 1351, 1126,  906,  810,  657,  572,  503,  323,  181, 11043, 7371,  943, 1996,  1,  58,  3
1008, 13450, 8084, 5366, 6520, 6930,  754,  651,  636,  711,  830, 1008, 1105, 1008,  904, 1016,  865,  776,  612,  639,  642,  501,  407,  266,  119, 5906, 5615,  718, 1175,  1,  25,  4
1009, 17471, 12047, 5424, 8189, 9282,  803,  760,  827,  958,  918,  929, 1105, 1142, 1275, 1245, 1279, 1136,  993, 1046,  983,  797,  629,  392,  254, 7232, 7461, 1065, 1668,  0,  42,  3
1010, 12898, 7306, 5592, 6158, 6740,  820,  760,  775,  815, 1065, 1126, 1015,  928,  925,  912,  824,  705,  562,  428,  371,  310,  252,  168,  137, 6534, 4729,  496, 1115,  1,  21,  1
1011,1,1,0,0,1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  1,  0,  0,  0,  0
1012, 11609, 7358, 4251, 5409, 6200,  598,  546,  533,  577,  687,  901,  967,  902,  857,  769,  755,  696,  574,  580,  525,  383,  340,  261,  158, 5648, 4297,  600, 1038,  2,  20,  3
1018, 20821, 11407, 9414, 10030, 10791, 1354, 1223, 1058, 1101, 1322, 1710, 1812, 1708, 1517, 1549, 1391, 1083,  853,  821,  738,  600,  463,  323,  195, 9844, 7782,  970, 2178,  2,  43,  2
1020, 20446, 9958, 10488, 10334, 10112, 1100, 1029, 1080, 1141, 1557, 1796, 1629, 1550, 1426, 1511, 1535, 1162,  926,  901,  674,  532,  462,  293,  142, 9205, 8640,  864, 1709,  3,  21,  4
1022, 7215, 3469, 3746, 3632, 3583,  506,  402,  405,  430,  584,  671,  708,  599,  484,  479,  451,  366,  287,  272,  236,  151,  97,  67,  20, 3390, 3047,  237,  538,  0,  3,  0
1023, 7587, 4229, 3358, 3819, 3768,  413,  436,  466,  540,  595,  525,  508,  538,  581,  600,  595,  466,  358,  324,  246,  171,  134,  66,  25, 3458, 3313,  255,  553,  0,  8,  0
1024, 12164, 6619, 5545, 6183, 5981,  666,  627,  556,  885, 1101, 1003,  873,  870,  852,  789,  822,  735,  624,  546,  444,  312,  203,  153,  103, 5555, 5148,  509,  937,  0,  15,  0
1025, 3530, 2118, 1412, 1817, 1713,  179,  186,  145,  191,  320,  217,  217,  286,  257,  217,  204,  220,  206,  203,  187,  120,  86,  58,  31, 1627, 1467,  161,  270,  0,  5,  0
1026, 4036, 2989, 1047, 1991, 2045,  158,  194,  250,  293,  334,  219,  238,  238,  324,  332,  294,  270,  219,  235,  184,  121,  81,  35,  17, 1757, 1821,  153,  305,  0,  0,  0
1027, 2505, 1936,569, 1205, 1300,  105,  146,  147,  191,  148,  122,  129,  148,  166,  217,  191,  154,  138,  124,  83,  78,  76,  75,  67, 1043, 1155,  165,  137,  2,  3,  0
1028, 5218, 3536, 1682, 2614, 2604,  320,  313,  265,  265,  310,  311,  386,  409,  446,  416,  342,  323,  259,  277,  262,  152,  100,  46,  16, 2286, 2272,  185,  471,  0,  4,  0
1029,674,509,165,328,346,  25,  27,  40,  42,  39,  16,  32,  46,  49,  62,  65,  62,  42,  47,  41,  15,  14,  6,  4,  246,  351,  20,  55,  0,  2,  0
1030, 8180, 5219, 2961, 4142, 4038,  460,  442,  405,  462,  552,  584,  623,  631,  637,  644,  659,  545,  413,  416,  289,  193,  131,  71,  23, 3570, 3631,  276,  690,  0,  12,  1
1031,662,489,173,324,338,  34,  36,  25,  28,  31,  44,  53,  58,  48,  47,  40,  53,  48,  43,  31,  16,  15,  9,  3,  281,  299,  26,  54,  0,  2,  0
1032, 3618, 2799,819, 1804, 1814,  180,  198,  201,  214,  208,  252,  228,  250,  294,  299,  296,  222,  198,  223,  139,  84,  62,  48,  22, 1564, 1597,  137,  315,  1,  3,  1
1033, 4296, 3332,964, 2151, 2145,  231,  243,  231,  250,  282,  280,  322,  329,  347,  322,  364,  295,  231,  203,  151,  97,  66,  41,  11, 1947, 1838,  138,  369,  0,  3,  1
1034,944,804,140,452,492,  59,  57,  66,  63,  70,  41,  65,  60,  82,  86,  88,  62,  42,  44,  27,  15,  3,  9,  5,  421,  434,  24,  61,  0,  4,  0
1035,360,293,67,183,177,  18,  38,  21,  22,  11,  22,  20,  25,  34,  22,  28,  21,  19,  18,  17,  13,  7,  3,  1,  153,  166,  14,  25,  0,  2,  0
1036,907,789,118,447,460,  40,  53,  49,  60,  73,  46,  32,  45,  76,  82,  77,  66,  51,  49,  48,  30,  19,  8,  3,  383,  417,  33,  68,  0,  6,  0
1037, 1106,857,249,563,543,  65,  88,  60,  59,  71,  68,  82,  78,  102,  91,  95,  67,  48,  43,  37,  31,  8,  11,  2,  474,  534,  29,  63,  0,  6,  0
1038, 1150,953,197,576,574,  64,  61,  79,  90,  66,  54,  55,  52,  98,  117,  100,  77,  64,  55,  49,  28,  21,  10,  10,  473,  533,  60,  84,  0,  0,  0
1040, 7229, 5868, 1361, 3628, 3601,  348,  411,  537,  506,  481,  456,  444,  492,  569,  628,  596,  445,  337,  339,  237,  163,  130,  71,  39, 3155, 3228,  309,  525,  1,  10,  1
1041, 3412, 2941,471, 1704, 1708,  243,  205,  199,  204,  214,  206,  242,  264,  284,  313,  251,  203,  171,  136,  119,  53,  55,  31,  19, 1502, 1572,  95,  239,  0,  2,  2
1042, 2005, 1718,287,990, 1015,  147,  113,  115,  119,  121,  122,  146,  156,  169,  179,  154,  121,  105,  79,  57,  40,  35,  18,  9,  896,  915,  61,  132,  0,  1,  0
1043,376,321,55,178,198,  25,  26,  34,  20,  26,  17,  13,  38,  30,  36,  21,  17,  23,  15,  19,  8,  5,  2,  1,  182,  150,  11,  33,  0,  0,  0
