code,dateTime,gustPeak,humidity,windSpeed,windDirection,qnhPressure,temperature,precipitation,sunshine,qfePressure,qffPressure
BER,2016-08-04T04:50:00.000Z,4.0,90,2.5,223,1016.6,13.6,0.0,0,951.6,1015.9
BER,2016-08-04T05:50:00.000Z,5.0,88,3.6,232,1016.5,15.2,0.0,10,951.5,1015.4
BER,2016-08-04T06:50:00.000Z,5.8,72,4.0,203,1016.6,18.7,0.0,10,951.6,1014.7
BER,2016-08-04T07:50:00.000Z,8.6,60,5.0,172,1016.3,21.0,0.0,10,951.3,1013.8
BER,2016-08-04T08:50:00.000Z,7.6,55,3.2,258,1016.2,22.3,0.0,10,951.2,1013.4
BER,2016-08-04T09:50:00.000Z,7.6,49,3.6,253,1015.7,24.0,0.0,10,950.7,1012.5
BER,2016-08-04T10:50:00.000Z,15.5,44,6.1,305,1014.8,25.5,0.0,10,949.9,1011.3
BER,2016-08-04T11:50:00.000Z,9.4,47,5.4,16,1013.8,26.5,0.0,10,948.9,1010.0
BER,2016-08-04T12:50:00.000Z,13.0,42,7.9,308,1013.3,26.4,0.0,0,948.4,1009.5
BER,2016-08-04T13:40:00.000Z,5.0,49,2.9,259,1012.7,25.2,0.0,0,947.9,1009.2
BER,2016-08-04T14:40:00.000Z,11.9,51,6.5,24,1012.2,24.7,0.0,0,947.4,1008.8
BER,2016-08-04T15:00:00.000Z,16.6,48,11.9,333,1012.3,24.8,0.0,0,947.5,1008.9
BER,2016-08-04T15:20:00.000Z,24.5,55,15.5,334,1012.6,23.9,0.0,0,947.8,1009.4
BER,2016-08-04T15:40:00.000Z,29.2,57,19.8,339,1012.8,22.9,0.0,0,948.0,1009.8
BER,2016-08-04T16:00:00.000Z,25.2,60,13.3,348,1012.6,22.4,0.0,0,947.8,1009.7
BER,2016-08-04T16:20:00.000Z,21.6,62,13.7,347,1012.8,21.9,0.0,0,948.0,1010.1
BER,2016-08-04T16:40:00.000Z,26.3,64,14.0,346,1013.0,21.6,0.0,0,948.2,1010.4
BER,2016-08-04T17:00:00.000Z,34.9,69,19.4,336,1013.8,20.6,0.0,0,948.9,1011.3
BER,2016-08-04T17:20:00.000Z,22.3,82,14.0,355,1013.9,18.5,0.3,0,949.0,1011.9
BER,2016-08-04T17:40:00.000Z,18.0,84,11.2,345,1014.9,17.9,0.4,0,950.0,1013.1
BER,2016-08-04T18:00:00.000Z,16.2,89,9.4,360,1015.0,17.1,0.9,0,950.1,1013.4
BER,2016-08-04T18:20:00.000Z,20.9,91,12.6,22,1014.9,16.5,0.3,0,950.0,1013.5
BER,2016-08-04T18:30:00.000Z,22.7,91,14.0,19,1015.3,16.1,0.4,0,950.3,1013.9
BER,2016-08-04T18:40:00.000Z,30.2,93,19.1,349,1015.6,15.9,2.3,0,950.6,1014.2
BER,2016-08-04T18:50:00.000Z,28.1,94,18.7,339,1015.8,15.7,2.3,0,950.8,1014.5
BER,2016-08-04T19:00:00.000Z,29.2,93,16.9,348,1015.8,15.5,0.8,0,950.8,1014.6
BER,2016-08-04T19:10:00.000Z,22.0,93,13.0,343,1016.3,15.5,0.0,0,951.3,1015.1
BER,2016-08-04T19:20:00.000Z,15.5,93,10.4,353,1016.6,15.4,2.1,0,951.6,1015.4
BER,2016-08-04T19:30:00.000Z,12.2,94,6.8,21,1016.7,15.3,0.9,0,951.7,1015.6
BER,2016-08-04T19:40:00.000Z,7.9,93,4.0,48,1016.6,15.2,0.7,0,951.6,1015.5
BER,2016-08-04T19:50:00.000Z,4.7,94,2.2,85,1016.6,15.3,0.5,0,951.6,1015.5
BER,2016-08-04T20:00:00.000Z,4.7,93,3.2,160,1016.7,15.5,0.5,0,951.7,1015.5
BER,2016-08-04T20:10:00.000Z,6.5,93,4.3,163,1016.8,15.5,0.6,0,951.8,1015.6
BER,2016-08-04T20:20:00.000Z,10.1,94,6.1,167,1016.7,15.5,0.3,0,951.7,1015.5
BER,2016-08-04T20:30:00.000Z,14.8,94,9.0,163,1016.6,15.6,0.5,0,951.6,1015.4
BER,2016-08-04T20:40:00.000Z,13.7,93,9.0,167,1016.5,15.6,0.6,0,951.5,1015.3
BER,2016-08-04T20:50:00.000Z,14.0,92,9.4,174,1016.6,15.8,0.3,0,951.6,1015.3
BER,2016-08-04T21:00:00.000Z,11.5,92,8.3,164,1016.7,15.7,0.5,0,951.7,1015.5
