"Strassenfahrzeugbestand: Personenwagen ab 1990"

"Kanton";"Karosserie";"Treibstoff";"Anzahl Sitzplätze";"Antrieb";"Getriebe";"1990";"1991"
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Automatisches";7;10
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Manuelles";47;49
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Automatisches";249;272
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Manuelles";1494;1504
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Automatisches";2;2
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Manuelles";13;15
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Automatisches";1;1
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Manuelles";60;52
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Automatisches";142;125
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Manuelles";861;820
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Automatisches";0;0
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Manuelles";9;12
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Automatisches";1409;1502
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Manuelles";14218;14124
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Automatisches";4015;4189
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Manuelles";9322;8768
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Automatisches";523;547
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Manuelles";881;1013
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Automatisches";41008;44292
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Manuelles";206384;208433
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Hinterrad";"Automatisches";47419;45922
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Hinterrad";"Manuelles";57136;51040
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Allrad";"Automatisches";4542;5617
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Allrad";"Manuelles";12203;13430
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Vorderrad";"Automatisches";306;502
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Vorderrad";"Manuelles";16;17
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Hinterrad";"Automatisches";1384;1268
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Hinterrad";"Manuelles";365;375
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Allrad";"Automatisches";47;62
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Allrad";"Manuelles";310;311
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Vorderrad";"Automatisches";32;241
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Vorderrad";"Manuelles";64;69
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Hinterrad";"Automatisches";152;232
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Hinterrad";"Manuelles";327;362
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Allrad";"Automatisches";6;74
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Allrad";"Manuelles";473;501
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Vorderrad";"Automatisches";12;18
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Vorderrad";"Manuelles";38;118
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Hinterrad";"Automatisches";450;538
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Hinterrad";"Manuelles";1292;1474
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Allrad";"Automatisches";6;22
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Allrad";"Manuelles";636;727
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Vorderrad";"Automatisches";3;3
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Vorderrad";"Manuelles";254;309
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Hinterrad";"Automatisches";217;212
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Hinterrad";"Manuelles";2290;2096
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Allrad";"Automatisches";9;7
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Allrad";"Manuelles";241;249
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Vorderrad";"Automatisches";2;3
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Vorderrad";"Manuelles";1;1
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Hinterrad";"Automatisches";28;32
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Hinterrad";"Manuelles";5;2
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Allrad";"Automatisches";0;0
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Allrad";"Manuelles";1;0
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Vorderrad";"Automatisches";6;8
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Vorderrad";"Manuelles";0;0
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Hinterrad";"Automatisches";22;18
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Hinterrad";"Manuelles";0;0
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Allrad";"Automatisches";0;0
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Allrad";"Manuelles";1;1
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Vorderrad";"Automatisches";0;0
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Vorderrad";"Manuelles";33;28
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Hinterrad";"Automatisches";1;1
