"Kanton";"Karosserie";"Treibstoff";"Anzahl Sitzplätze";"Antrieb";"Getriebe";"2006";"2007"
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Automatisches";32;29
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Manuelles";216;244
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Übrige";0;1
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Automatisches";415;477
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Manuelles";6791;7284
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Übrige";2;3
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Automatisches";22;24
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Manuelles";106;133
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Übrige";1;1
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Automatisches";5;6
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Manuelles";59;50
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Automatisches";19;17
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Manuelles";257;243
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Übrige";0;1
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Automatisches";1;1
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Manuelles";15;10
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Automatisches";2558;2520
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Manuelles";22201;23598
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Übrige";1;5
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Automatisches";4481;4625
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Manuelles";4384;4563
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Übrige";5;6
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Automatisches";1415;1498
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Manuelles";2878;3022
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Übrige";3;3
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Automatisches";71440;69708
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Manuelles";189536;187168
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Übrige";169;386
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Hinterrad";"Automatisches";26547;24912
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Hinterrad";"Manuelles";18326;17499
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Hinterrad";"Übrige";35;38
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Allrad";"Automatisches";23135;23644
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Allrad";"Manuelles";18105;18403
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Allrad";"Übrige";107;221
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Vorderrad";"Automatisches";1244;1177
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Vorderrad";"Manuelles";1020;1003
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Hinterrad";"Automatisches";352;334
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Hinterrad";"Manuelles";242;223
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Allrad";"Automatisches";211;238
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Allrad";"Manuelles";253;246
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Allrad";"Übrige";2;1
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Vorderrad";"Automatisches";9479;9427
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Vorderrad";"Manuelles";11893;12610
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Vorderrad";"Übrige";0;1
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Hinterrad";"Automatisches";455;424
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Hinterrad";"Manuelles";529;492
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Allrad";"Automatisches";2095;2192
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Allrad";"Manuelles";738;690
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Allrad";"Übrige";1;1
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Vorderrad";"Automatisches";409;428
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Vorderrad";"Manuelles";666;713
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Hinterrad";"Automatisches";478;441
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Hinterrad";"Manuelles";1214;1203
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Allrad";"Automatisches";161;160
