Jahr,Kanton,Bevölkerungstyp,Ständige und nichtständige Wohnbevölkerung
2010,Zürich,Ständige Wohnbevölkerung,1373068
2010,Bern / Berne,Ständige Wohnbevölkerung,979802
2010,Luzern,Ständige Wohnbevölkerung,377610
2010,Uri,Ständige Wohnbevölkerung,35422
2010,Schwyz,Ständige Wohnbevölkerung,146730
2010,Obwalden,Ständige Wohnbevölkerung,35585
2010,Nidwalden,Ständige Wohnbevölkerung,41024
2010,Glarus,Ständige Wohnbevölkerung,38608
2010,Zug,Ständige Wohnbevölkerung,113105
2010,Fribourg / Freiburg,Ständige Wohnbevölkerung,278493
2010,Solothurn,Ständige Wohnbevölkerung,255284
2010,Basel-Stadt,Ständige Wohnbevölkerung,184950
2010,Basel-Landschaft,Ständige Wohnbevölkerung,274404
2010,Schaffhausen,Ständige Wohnbevölkerung,76356
2010,Appenzell Ausserrhoden,Ständige Wohnbevölkerung,53017
2010,Appenzell Innerrhoden,Ständige Wohnbevölkerung,15688
2010,St. Gallen,Ständige Wohnbevölkerung,478907
2010,Graubünden / Grigioni / Grischun,Ständige Wohnbevölkerung,192621
2010,Aargau,Ständige Wohnbevölkerung,611466
2010,Thurgau,Ständige Wohnbevölkerung,248444
2010,Ticino,Ständige Wohnbevölkerung,333753
2010,Vaud,Ständige Wohnbevölkerung,713281
2010,Valais / Wallis,Ständige Wohnbevölkerung,312684
2010,Neuchâtel,Ständige Wohnbevölkerung,172085
2010,Genève,Ständige Wohnbevölkerung,457715
2010,Jura,Ständige Wohnbevölkerung,70032
2011,Zürich,Ständige Wohnbevölkerung,1392396
2011,Bern / Berne,Ständige Wohnbevölkerung,985046
2011,Luzern,Ständige Wohnbevölkerung,381966
2011,Uri,Ständige Wohnbevölkerung,35382
2011,Schwyz,Ständige Wohnbevölkerung,147904
2011,Obwalden,Ständige Wohnbevölkerung,35885
2011,Nidwalden,Ständige Wohnbevölkerung,41311
2011,Glarus,Ständige Wohnbevölkerung,39217
2011,Zug,Ständige Wohnbevölkerung,115104
2011,Fribourg / Freiburg,Ständige Wohnbevölkerung,284668
2011,Solothurn,Ständige Wohnbevölkerung,256990
2011,Basel-Stadt,Ständige Wohnbevölkerung,186255
2011,Basel-Landschaft,Ständige Wohnbevölkerung,275360
2011,Schaffhausen,Ständige Wohnbevölkerung,77139
2011,Appenzell Ausserrhoden,Ständige Wohnbevölkerung,53313
2011,Appenzell Innerrhoden,Ständige Wohnbevölkerung,15743
2011,St. Gallen,Ständige Wohnbevölkerung,483156
2011,Graubünden / Grigioni / Grischun,Ständige Wohnbevölkerung,193388
2011,Aargau,Ständige Wohnbevölkerung,618298
2011,Thurgau,Ständige Wohnbevölkerung,251973
2011,Ticino,Ständige Wohnbevölkerung,336943
2011,Vaud,Ständige Wohnbevölkerung,725944
2011,Valais / Wallis,Ständige Wohnbevölkerung,317022
2011,Neuchâtel,Ständige Wohnbevölkerung,173183
2011,Genève,Ständige Wohnbevölkerung,460534
2011,Jura,Ständige Wohnbevölkerung,70542
2012,Zürich,Ständige Wohnbevölkerung,1408575
2012,Bern / Berne,Ständige Wohnbevölkerung,992617
2012,Luzern,Ständige Wohnbevölkerung,386082
2012,Uri,Ständige Wohnbevölkerung,35693
2012,Schwyz,Ständige Wohnbevölkerung,149830
2012,Obwalden,Ständige Wohnbevölkerung,36115
2012,Nidwalden,Ständige Wohnbevölkerung,41584
2012,Glarus,Ständige Wohnbevölkerung,39369
2012,Zug,Ständige Wohnbevölkerung,116575
2012,Fribourg / Freiburg,Ständige Wohnbevölkerung,291395
2012,Solothurn,Ständige Wohnbevölkerung,259283
2012,Basel-Stadt,Ständige Wohnbevölkerung,187425
2012,Basel-Landschaft,Ständige Wohnbevölkerung,276537
2012,Schaffhausen,Ständige Wohnbevölkerung,77955
2012,Appenzell Ausserrhoden,Ständige Wohnbevölkerung,53438
2012,Appenzell Innerrhoden,Ständige Wohnbevölkerung,15717
2012,St. Gallen,Ständige Wohnbevölkerung,487060
2012,Graubünden / Grigioni / Grischun,Ständige Wohnbevölkerung,193920
2012,Aargau,Ständige Wohnbevölkerung,627340
2012,Thurgau,Ständige Wohnbevölkerung,256213
2012,Ticino,Ständige Wohnbevölkerung,341652
2012,Vaud,Ständige Wohnbevölkerung,734356
2012,Valais / Wallis,Ständige Wohnbevölkerung,321732
2012,Neuchâtel,Ständige Wohnbevölkerung,174554
2012,Genève,Ständige Wohnbevölkerung,463101
2012,Jura,Ständige Wohnbevölkerung,70942
2013,Zürich,Ständige Wohnbevölkerung,1425538
2013,Bern / Berne,Ständige Wohnbevölkerung,1001281
2013,Luzern,Ständige Wohnbevölkerung,390349
2013,Uri,Ständige Wohnbevölkerung,35865
2013,Schwyz,Ständige Wohnbevölkerung,151396
2013,Obwalden,Ständige Wohnbevölkerung,36507
2013,Nidwalden,Ständige Wohnbevölkerung,41888
2013,Glarus,Ständige Wohnbevölkerung,39593
2013,Zug,Ständige Wohnbevölkerung,118118
2013,Fribourg / Freiburg,Ständige Wohnbevölkerung,297622
2013,Solothurn,Ständige Wohnbevölkerung,261437
2013,Basel-Stadt,Ständige Wohnbevölkerung,189335
2013,Basel-Landschaft,Ständige Wohnbevölkerung,278656
2013,Schaffhausen,Ständige Wohnbevölkerung,78783
2013,Appenzell Ausserrhoden,Ständige Wohnbevölkerung,53691
2013,Appenzell Innerrhoden,Ständige Wohnbevölkerung,15778
2013,St. Gallen,Ständige Wohnbevölkerung,491699
2013,Graubünden / Grigioni / Grischun,Ständige Wohnbevölkerung,194959
2013,Aargau,Ständige Wohnbevölkerung,636362
2013,Thurgau,Ständige Wohnbevölkerung,260278
2013,Ticino,Ständige Wohnbevölkerung,346539
2013,Vaud,Ständige Wohnbevölkerung,749373
2013,Valais / Wallis,Ständige Wohnbevölkerung,327011
2013,Neuchâtel,Ständige Wohnbevölkerung,176402
2013,Genève,Ständige Wohnbevölkerung,469433
2013,Jura,Ständige Wohnbevölkerung,71738
2014,Zürich,Ständige Wohnbevölkerung,1446354
2014,Bern / Berne,Ständige Wohnbevölkerung,1009418
2014,Luzern,Ständige Wohnbevölkerung,394604
2014,Uri,Ständige Wohnbevölkerung,36008
2014,Schwyz,Ständige Wohnbevölkerung,152759
2014,Obwalden,Ständige Wohnbevölkerung,36834
2014,Nidwalden,Ständige Wohnbevölkerung,42080
2014,Glarus,Ständige Wohnbevölkerung,39794
2014,Zug,Ständige Wohnbevölkerung,120089
2014,Fribourg / Freiburg,Ständige Wohnbevölkerung,303377
2014,Solothurn,Ständige Wohnbevölkerung,263719
2014,Basel-Stadt,Ständige Wohnbevölkerung,190580
2014,Basel-Landschaft,Ständige Wohnbevölkerung,281301
2014,Schaffhausen,Ständige Wohnbevölkerung,79417
2014,Appenzell Ausserrhoden,Ständige Wohnbevölkerung,54064
2014,Appenzell Innerrhoden,Ständige Wohnbevölkerung,15854
2014,St. Gallen,Ständige Wohnbevölkerung,495824
2014,Graubünden / Grigioni / Grischun,Ständige Wohnbevölkerung,195886
2014,Aargau,Ständige Wohnbevölkerung,645277
2014,Thurgau,Ständige Wohnbevölkerung,263733
2014,Ticino,Ständige Wohnbevölkerung,350363
2014,Vaud,Ständige Wohnbevölkerung,761446
2014,Valais / Wallis,Ständige Wohnbevölkerung,331763
2014,Neuchâtel,Ständige Wohnbevölkerung,177327
2014,Genève,Ständige Wohnbevölkerung,477385
2014,Jura,Ständige Wohnbevölkerung,72410
2015,Zürich,Ständige Wohnbevölkerung,1446354
2015,Bern / Berne,Ständige Wohnbevölkerung,1009418
2015,Luzern,Ständige Wohnbevölkerung,394604
2015,Uri,Ständige Wohnbevölkerung,36008
2015,Schwyz,Ständige Wohnbevölkerung,152759
2015,Obwalden,Ständige Wohnbevölkerung,36834
2015,Nidwalden,Ständige Wohnbevölkerung,42080
2015,Glarus,Ständige Wohnbevölkerung,39794
2015,Zug,Ständige Wohnbevölkerung,120089
2015,Fribourg / Freiburg,Ständige Wohnbevölkerung,303377
2015,Solothurn,Ständige Wohnbevölkerung,263719
2015,Basel-Stadt,Ständige Wohnbevölkerung,190580
2015,Basel-Landschaft,Ständige Wohnbevölkerung,281301
2015,Schaffhausen,Ständige Wohnbevölkerung,79417
2015,Appenzell Ausserrhoden,Ständige Wohnbevölkerung,54064
2015,Appenzell Innerrhoden,Ständige Wohnbevölkerung,15854
2015,St. Gallen,Ständige Wohnbevölkerung,495824
2015,Graubünden / Grigioni / Grischun,Ständige Wohnbevölkerung,195886
2015,Aargau,Ständige Wohnbevölkerung,645277
2015,Thurgau,Ständige Wohnbevölkerung,263733
2015,Ticino,Ständige Wohnbevölkerung,350363
2015,Vaud,Ständige Wohnbevölkerung,761446
