"Kanton";"Karosserie";"Treibstoff";"Anzahl Sitzplätze";"Antrieb";"Getriebe";"1992";"1993"
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Automatisches";14;16
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Manuelles";55;57
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Automatisches";280;270
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Manuelles";1529;1489
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Automatisches";2;3
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Manuelles";15;19
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Automatisches";1;0
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Manuelles";52;52
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Automatisches";126;117
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Manuelles";722;643
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Automatisches";0;0
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Manuelles";10;11
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Automatisches";1664;1676
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Manuelles";14087;13731
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Automatisches";4172;4112
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Manuelles";8234;7560
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Automatisches";635;706
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Manuelles";1110;1336
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Automatisches";47149;50125
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Manuelles";209161;208614
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Hinterrad";"Automatisches";43995;41395
