"Strassenfahrzeugbestand: Personenwagen ab 1990"

"Kanton";"Treibstoff";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Zürich";"Benzin";502276;508601;511444;510469;516556;527004;535083;540015;550253;561224;571497;581822;585984;583500;585397;590102;585406;586528;563532;546514;544148;540203;532950;521795;512792;506875
"Zürich";"Diesel";10055;10150;10258;10371;10889;11594;12304;12949;14060;15865;19114;24186;30907;39171;48826;59535;71885;85690;96615;107183;118963;133654;151974;169024;183949;202014
"Zürich";"Elektrisch";64;120;161;153;153;150;139;131;121;106;96;81;58;57;53;50;42;37;32;42;150;211;428;737;1201;2201
"Zürich";"Andere";36;30;25;30;21;16;10;18;38;46;51;118;98;150;253;1415;1398;2693;5572;5075;6120;7319;8512;9863;11066;12607
"Bern / Berne";"Benzin";374243;380327;383676;383682;380573;388427;384357;390430;397191;405317;412516;418729;423583;424774;423548;419758;424773;419231;415799;393781;393396;389647;384743;379672;375904;371684
"Bern / Berne";"Diesel";8734;9355;9729;10143;10739;11389;11740;12486;13369;14579;16745;20404;25297;30930;37898;45184;53333;61099;69210;75220;84664;95091;107621;119673;129757;140686
"Bern / Berne";"Elektrisch";75;130;132;134;113;113;108;101;99;89;80;73;82;62;58;45;45;42;42;42;46;108;177;269;428;682
"Bern / Berne";"Andere";12;14;15;17;15;14;12;12;13;16;14;20;26;53;85;340;394;885;1972;2364;2884;3522;4313;5177;5954;6774
"Luzern";"Benzin";124659;127653;130002;131862;134213;136185;138389;140069;142430;145575;148540;151400;153128;153085;153605;153419;153072;153617;153346;151243;152715;153008;152190;150073;148920;147702
"Luzern";"Diesel";2955;3029;3135;3288;3539;3828;3997;4145;4443;4955;5692;6900;8553;10460;12837;15249;18027;21204;24595;27740;31802;36315;41962;47616;52442;57878
"Luzern";"Elektrisch";12;21;25;24;23;20;21;18;14;12;12;13;9;8;5;3;2;3;5;3;10;38;79;118;196;350
"Luzern";"Andere";0;0;1;1;0;2;1;1;1;2;2;16;17;23;61;177;264;511;843;1103;1340;1617;1940;2314;2728;3132
"Uri";"Benzin";12804;13226;13317;13509;13818;14007;12931;14496;14556;15257;15104;15223;15368;15423;15315;15089;14233;14104;13763;14206;14235;14114;14060;13812;13594;13407
"Uri";"Diesel";414;432;423;427;463;473;462;516;535;591;645;775;938;1161;1370;1592;1903;2219;2542;2998;3415;3849;4312;4851;5319;5808
"Uri";"Elektrisch";0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;2;4;5;10;12
"Uri";"Andere";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;8;25;35;48;54;68;88;95;119
"Schwyz";"Benzin";49732;51651;52489;54170;55854;57462;58825;60147;61675;63861;65601;67688;69215;69805;70591;70654;68103;69469;69386;69515;70694;70761;70553;69672;69134;68825
"Schwyz";"Diesel";1117;1194;1210;1288;1424;1547;1619;1714;1874;2080;2373;2980;3760;4636;5869;7054;8331;9971;11656;13165;14999;17147;19758;22097;24119;26116
"Schwyz";"Elektrisch";1;5;7;8;9;10;11;11;12;9;7;6;6;5;4;4;3;1;0;2;7;15;37;54;112;195
"Schwyz";"Andere";4;3;4;3;3;2;2;4;5;4;3;4;2;2;4;56;91;368;763;426;545;670;820;943;1093;1242
"Obwalden";"Benzin";11576;12153;12447;12667;13029;13429;12442;14057;14247;14895;15098;15373;15616;15743;15691;15504;15214;15256;15092;15392;15605;15652;15548;15273;14998;14727
"Obwalden";"Diesel";384;416;443;467;500;514;515;569;590;648;728;860;1034;1244;1498;1713;2081;2450;2790;3310;3826;4324;4985;5601;6186;6743
"Obwalden";"Elektrisch";1;1;1;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;3;8;23;36
"Obwalden";"Andere";0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;3;2;19;50;80;110;133;165;209;247;265
"Nidwalden";"Benzin";14790;15544;15761;16016;16275;16646;15855;17925;17940;18542;19105;19595;19844;19744;19956;19744;19067;19092;18765;19194;19189;19067;18860;18653;18398;18204
"Nidwalden";"Diesel";405;426;443;464;481;499;490;568;633;694;836;1033;1304;1596;1958;2241;2736;3138;3540;4059;4515;5077;5717;6378;6949;7442
"Nidwalden";"Elektrisch";2;4;5;5;4;4;3;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;4;7;22;37
"Nidwalden";"Andere";0;0;0;0;0;0;0;0;0;0;1;3;3;4;3;3;10;50;110;136;170;225;256;303;336;366
"Glarus";"Benzin";14771;15408;15563;15627;15890;16183;14846;16428;16487;16766;16877;17042;17241;17296;17317;17182;16231;16163;15921;16500;16654;16732;16655;16410;16198;16011
"Glarus";"Diesel";453;492;502;507;527;554;536;604;616;691;805;975;1203;1503;1818;2117;2320;2710;2981;3465;3906;4398;5034;5647;6179;6772
"Glarus";"Elektrisch";2;8;10;8;9;9;7;6;5;5;4;5;3;3;2;2;1;1;1;1;0;1;5;9;18;35
"Glarus";"Andere";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;29;62;81;91;111;128;159;177;195
"Zug";"Benzin";39317;40933;41476;42468;43490;44826;46478;47887;49674;51460;53047;54304;55035;55258;55131;55357;53425;53111;52802;51544;51545;51238;50651;49677;49553;49230
"Zug";"Diesel";783;803;812;871;956;783;691;712;873;1138;1555;2274;3138;4158;5364;6762;8371;10044;11719;13129;14808;16957;19491;22091;24092;26376
"Zug";"Elektrisch";5;7;4;8;10;8;6;7;5;4;3;2;1;1;1;1;0;0;2;4;10;65;54;45;101;178
"Zug";"Andere";1;1;0;1;1;1;1;1;1;1;1;1;2;8;15;86;132;237;440;482;600;699;865;957;1052;1173
"Fribourg / Freiburg";"Benzin";92839;95699;98053;99870;102450;105171;107573;109852;111981;115051;117415;119808;121712;122665;123307;123383;124267;123904;125325;129721;126437;127558;128562;128379;128498;129075
"Fribourg / Freiburg";"Diesel";2260;2465;2516;2497;2667;2886;3148;3394;3717;4104;4758;5748;7145;8926;11056;13424;16232;18897;21957;25248;26983;30329;34297;38213;41609;44890
