,Latitude,Longitude
"Aarau, Schweiz",47.3927146,8.0444448
"Baden, Schweiz",47.4736827,8.3086822
"Basel, Schweiz",47.5581077,7.5878261
"Bern, Schweiz",46.9482713,7.4514512
"Bochum, Deutschland",51.482321,7.2187465
"Brasinha, Brasilien",-23.4550991,-46.5664461
"Genf, Schweiz",46.2017559,6.1466014
"Hochdorf, Schweiz",47.1665361,8.2899709
"Kriens, Schweiz",47.0350948,8.2791767
"Luzern, Schweiz",47.0505452,8.3054682
"Münsingen, Schweiz",46.8739775,7.5631943
"Nantes, Frankreich",47.2186371,-1.5541361
"Pori, Finnland",61.4867236,21.7910016
"Porto, Portugal",41.1494512,-8.6107883
"Santo Tirso, Portugal",41.3112258,-8.45299611318174
"Schötz, Schweiz",47.1698443,7.9884821
"Wil, Schweiz",47.4654409,9.0423202
"Winterthur, Schweiz",47.4991692,8.7291495
"Zulia, Venezuela",10.0437564,-72.219118
"Zürich, Schweiz",47.3685586,8.5404434
