Name,Vorname,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis,,Klub,Stadt,Land,von,bis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aebi,Dominique,YB II (Bern),Bern,Schweiz,,30/06/2006,,YB (Bern),YB (Bern),Schweiz,01/07/2006,31/07/2007,,Köniz,Köniz,Schweiz,01/07/2012,31/12/2013,,Muri-Gümligen,Muri-Gümligen,Schweiz,01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affolter,François,Biel,Biel,Schweiz,,30/06/2007,,YB U-18 (Bern),Bern,Schweiz,01/07/2007,25/11/2008,,YB (Bern),YB (Bern),Schweiz,26/11/2008,24/01/2012,,Werter Bremen,Werter Bremen,Deutschland,25/01/2012,31/12/2012,,YB (Bern),YB (Bern),Schweiz,01/01/2013,31/12/2013,,Luzern,Luzern,Schweiz,01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afum,Samuel,Hearts of Oak,Accra,Ghana,,30/06/2010,,Smouha,Alexandria,Ägypten,01/07/2010,03/01/2013,,YB (Bern),YB (Bern),Schweiz,04/01/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aziawonou,Yao,Merlan Lome,Lomé,Togo,,30/06/1997,,Nantes,Nantes,Frankreich,01/07/1997,30/06/1998,,Sion,Sion,Schweiz,01/07/1998,30/06/1999,,Wangen bei Olten,Wangen bei Olten,Schweiz,01/07/1999,30/06/2000,,Basel,Basel,Schweiz,01/07/2000,31/12/2001,,Thun,Thun,Schweiz,01/01/2002,30/06/2003,,Servette (Genf),Servette (Genf),Schweiz,01/08/2003,31/12/2003,,YB (Bern),YB (Bern),Schweiz,01/02/2004,30/06/2004,,Basel,Basel,Schweiz,01/07/2004,30/06/2005,,YB (Bern),YB (Bern),Schweiz,01/07/2005,30/06/2006,,Luzern,Luzern,Schweiz,01/07/2006,31/12/2006,,YB (Bern),YB (Bern),Schweiz,01/01/2007,30/06/2007,,Winterthur,Winterthur,Schweiz,01/07/2008,30/06/2009,,Grenchen,Grenchen,Schweiz,01/02/2010,30/09/2010,,Concordia Basel,Concordia Basel,Schweiz,12/10/2013,,,,,,,,,,,,,
Bastians,Felix,Wattenscheid Jugend,Bochum,Deutschland,,30/06/1997,,Bochum Jugend,Bochum,Deutschland,01/07/1997,30/06/2002,,Dortmund Jugend,Dortmund Jugend,Deutschland,01/07/2002,30/06/2003,,Dortmund U-17,Dortmund U-17,Deutschland,01/07/2003,30/06/2004,,Nottingham Forest U-18,Nottingham Forest U-18,England,01/07/2004,17/10/2005,,Nottingham Forest,Nottingham Forest,England,18/10/2005,30/10/2006,,Northwich Victoria,Northwich Victoria,England,01/11/2006,31/12/2006,,Halifax Town,Halifax Town,England,25/01/2007,16/03/2007,,Gillingham,Gillingham,England,22/03/2007,15/04/2007,,Chesterfield,Chesterfield,England,01/10/2007,31/12/2007,,Notts County,Notts County,England,04/01/2008,04/02/2008,,MK Dons,MK Dons,England,14/02/2008,14/03/2008,,YB (Bern),YB (Bern),Schweiz,10/07/2008,06/07/2009,,Freiburg,Freiburg,Deutschland,07/07/2009,25/01/2012,,Hertha Berlin,Berlin,Deutschland,26/01/2012,30/06/2013,,Bochum,Bochum,Deutschland,01/07/2013,30/06/2014,,Hertha Berlin,Berlin,Deutschland,01/07/2014,
Battista,Daniele,YB U-18 (Bern),Bern,Schweiz,,31/12/2005,,YB II (Bern),Bern,Schweiz,01/01/2006,30/06/2009,,Münsingen,Münsingen,Schweiz,01/07/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertone,Leonardo,YB U-18 (Bern),Bern,Schweiz,,30/06/2012,,YB II (Bern),Bern,Schweiz,01/07/2012,31/12/2013,,YB (Bern),YB (Bern),Schweiz,01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Khalifa,Nassim,Team Vaud U-16,Lausanne,Schweiz,,30/06/2008,,GC II (Zürich),GC II (Zürich),Schweiz,01/07/2008,30/06/2009,,GC (Zürich),GC (Zürich),Schweiz,01/07/2009,30/06/2010,,Wolfsburg,Wolfsburg,Deutschland,01/07/2010,13/01/2011,,Nürnberg,Nürnberg,Deutschland,14/01/2011,30/06/2011,,YB (Bern),YB (Bern),Schweiz,01/07/2011,30/06/2012,,GC (Zürich),GC (Zürich),Schweiz,01/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benito,Ivan,Aarau,Aarau,Schweiz,,30/06/2003,,Pistoiese,Pistoia,Italien,01/07/2003,31/12/2005,,Juve Stabia,Castellammare di Stabia,Italien,01/01/2006,28/02/2007,,Aarau,Aarau,Schweiz,01/03/2007,30/06/2010,,GC (Zürich),GC (Zürich),Schweiz,01/07/2010,31/12/2010,,YB (Bern),YB (Bern),Schweiz,01/01/2011,30/06/2013,,Wohlen,Wohlen,Schweiz,01/07/2013,31/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bettoni,Patrick,Winterthur,Winterthur,Schweiz,,30/06/1996,,Baden,Baden,Schweiz,01/07/1996,30/06/1998,,Vicenza,Vicenza,Italien,01/07/1998,30/06/1999,,Ascoli,Ascoli,Italien,01/07/1999,30/06/2001,,Reggiana,Reggiana,Italien,01/07/2001,30/06/2002,,Xamax (Neuenburg),Xamax (Neuenburg),Schweiz,01/07/2002,30/06/2004,,YB (Bern),YB (Bern),Schweiz,01/07/2004,30/06/2006,,Thun,Thun,Schweiz,01/07/2006,30/06/2009,,Francavilla,Francavilla,Italien,01/07/2010,30/06/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bienvenu,Henri,Cotonsport,Garoua,Kamerun,,31/12/2005,,Bizertin,Bizertin,Tunesien,01/01/2006,14/01/2008,,Esperance,Esperance,Tunesien,15/01/2008,19/01/2010,,YB (Bern),YB (Bern),Schweiz,20/01/2010,04/09/2011,,Fenerbahce Istanbul,Fenerbahce Istanbul,Türkei,05/09/2011,24/01/2013,,Real Saragossa,Real Saragossa,Spanien,25/01/2013,30/06/2013,,Eskisehirsport,Eskisehirsport,Türkei,01/07/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobadilla,Raul,River Plate,Buenos Aires,Argentinien,,30/06/2006,,Concordia Basel,Concordia Basel,Schweiz,01/07/2006,30/06/2007,,GC (Zürich),GC (Zürich),Schweiz,01/07/2007,30/06/2009,,Mönchengladbach,Mönchengladbach,Deutschland,01/07/2009,23/11/2011,,Aris Saloniki,Aris Saloniki,Griechenland,24/01/2011,30/06/2011,,Mönchengladbach,Mönchengladbach,Deutschland,01/07/2011,25/01/2012,,YB (Bern),YB (Bern),Schweiz,26/01/2012,03/01/2013,,Basel,Basel,Schweiz,04/01/2013,14/08/2013,,Augsburg,Augsburg,Deutschland,15/08/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bukovski,Hrvoje,Winterthur Jugend,Winterthur,Schweiz,,30/06/2007,,Freiburg U-17,Freiburg U-17,Deutschland,01/07/2007,30/06/2007,,Freiburg U-18,Freiburg U-18,Deutschland,01/07/2007,30/06/2009,,YB (Bern),YB (Bern),Schweiz,01/07/2009,30/06/2011,,Kriens,Kriens,Schweiz,01/07/2011,30/06/2012,,Kreuzlingen,Kreuzlingen,Schweiz,01/07/2012,28/02/2013,,Sion II,Sion II,Schweiz,01/03/2013,30/06/2013,,Brühl St. Gallen,Brühl St. Gallen,Schweiz,01/07/2013,31/12/2013,,Lugano,Lugano,Schweiz,01/01/2014,15/07/2014,,Wil,Wil,Schweiz,16/07/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bürgy,Nicolas,YB U-17 (Bern),Bern,Schweiz,,30/06/2012,,YB U-18 (Bern),Bern,Schweiz,01/07/2012,30/06/2013,,YB II (Bern),Bern,Schweiz,01/07/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bürki,Marco,YB U-18 (Bern),Bern,Schweiz,,30/06/2011,,YB II (Bern),YB II (Bern),Schweiz,01/07/2011,24/11/2012,,YB (Bern),YB (Bern),Schweiz,25/11/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

