,Rank,nothing,"Murder Rate (per 100,000)",City,Total number of murders,Country,Total number of murders
11,12,"Fortaleza, Brazil",60.77,Fortaleza,2422, Brazil,2422
12,13,"Natal, Brazil",60.66,Natal,921, Brazil,921
13,14,"Salvador, Brazil",60.63,Salvador,1996, Brazil,1996
15,16,"Joao Pessoa, Brazil",58.4,Joao Pessoa,643, Brazil,643
17,18,"Maceio, Brazil",55.63,Maceio,564, Brazil,564
20,21,"Sao Luis, Brazil",53.05,Sao Luis,802, Brazil,802
21,22,"Cuiaba, Brazil",48.52,Cuiaba,412, Brazil,412
22,23,"Manaus, Brazil",47.87,Manaus,985, Brazil,985
25,26,"Belem, Brazil",45.83,Belem,1101, Brazil,1101
26,27,"Feira de Santana, Brazil",45.5,Feira de Santana,281, Brazil,281
28,29,"Goiania, Brazil",43.38,Goiania,847, Brazil,847
29,30,"Teresina, Brazil",42.64,Teresina,360, Brazil,360
30,31,"Vitoria, Brazil",41.99,Vitoria,802, Brazil,802
35,36,"VitÌ_ria da Conquista, Brazil",38.46,VitÌ_ria da Conquista,132, Brazil,132
36,37,"Recife, Brazil",38.12,Recife,1492, Brazil,1492
37,38,"Aracaju, Brazil",37.7,Aracaju,349, Brazil,349
38,39,"Campos dos Goytacazes, Brazil",36.16,Campos dos Goytacazes,175, Brazil,175
39,40,"Campina Grande, Brazil",36.04,Campina Grande,146, Brazil,146
42,43,"Porto Alegre, Brazil",34.73,Porto Alegre,1479, Brazil,1479
43,44,"Curitiba, Brazil",34.71,Curitiba,1121, Brazil,1121
47,48,"Macapa, Brazil",30.25,Macapa,138, Brazil,138
7,8,"Palmira, Colombia",70.88,Palmira,216, Colombia,216
9,10,"Cali, Colombia",64.27,Cali,1523, Colombia,1523
44,45,"Pereira, Colombia",32.58,Pereira,153, Colombia,153
2,3,"San Salvador, El Salvador",108.54,San Salvador,1918, El Salvador,1918
24,25,"Guatemala, Guatemala",47.17,Guatemala,1528, Guatemala,1528
1,2,"San Pedro Sula, Honduras",111.03,San Pedro Sula,885, Honduras,885
5,6,"Distrito Central, Honduras",73.51,Distrito Central,882, Honduras,882
32,33,"Kingston, Jamaica",41.14,Kingston,492, Jamaica,492
3,4,"Acapulco, Mexico",104.73,Acapulco,903, Mexico,903
16,17,"Culiacan, Mexico",56.09,Culiacan,518, Mexico,518
34,35,"Tijuana, Mexico",39.09,Tijuana,668, Mexico,668
45,46,"Victoria, Mexico",30.5,Victoria,107, Mexico,107
49,50,"Obregon, Mexico",28.29,Obregon,90, Mexico,90
8,9,"Cape Town, South Africa",65.53,Cape Town,2451, South Africa,2451
40,41,"Durban, South Africa",35.93,Durban,1237, South Africa,1237
41,42,"Nelson Mandela Bay, South Africa",35.85,Nelson Mandela Bay,413, South Africa,413
46,47,"Johanesburgo, South Africa",30.31,Johanesburgo,1344, South Africa,1344
14,15,"St. Louis, U.S.A.",59.23,St. Louis,188, U.S.A.,188
18,19,"Baltimore, U.S.A.",54.98,Baltimore,343, U.S.A.,343
27,28,"Detroit, U.S.A.",43.89,Detroit,295, U.S.A.,295
31,32,"New Orleans, U.S.A.",41.44,New Orleans,164, U.S.A.,164
0,1,"Caracas, Venezuela",119.87,Caracas,3946, Venezuela,3946
4,5,"Maturin, Venezuela",86.45,Maturin,505, Venezuela,505
6,7,"Valencia, Venezuela",72.31,Valencia,1125, Venezuela,1125
10,11,"Ciudad Guayana, Venezuela",62.33,Ciudad Guayana,547, Venezuela,547
19,20,"Barquisimeto, Venezuela",54.96,Barquisimeto,719, Venezuela,719
23,24,"Cumana, Venezuela",47.77,Cumana,199, Venezuela,199
33,34,"Gran Barcelona, Venezuela",40.08,Gran Barcelona,334, Venezuela,334
48,49,"Maracaibo, Venezuela",28.85,Maracaibo,477, Venezuela,477
,,,,leyenda,4000,,
,,,,leyenda,3500,,
,,,,leyenda,3000,,
,,,,leyenda,2500,,
,,,,leyenda,2000,,
,,,,leyenda,1500,,
,,,,leyenda,1000,,
,,,,leyenda,500,,
,,,,leyenda,100,,
