Country / territory of asylum/residence,Year,Month,Value
Australia,1999,July,1
Australia,1999,August,1
Australia,2001,September,2
Australia,2002,April,1
Australia,2002,August,2
Australia,2002,November,1
Australia,2002,December,2
Australia,2003,April,1
Australia,2003,August,1
Australia,2007,March,1
Australia,2009,April,5
Australia,2009,June,2
Australia,2010,May,2
Australia,2011,March,1
Australia,2012,July,1
Australia,2013,May,3
Australia,2014,February,0
Australia,2014,March,0
Australia,2014,August,0
Australia,2014,December,0
Australia,2015,February,0
Australia,2015,March,0
Australia,2015,April,0
Australia,2015,May,0
Australia,2015,June,0
Australia,2015,September,6
Australia,2015,October,0
Australia,2015,November,0
Australia,2016,February,1
Australia,2016,March,1
Austria,2001,December,1
Austria,2004,June,1
Austria,2008,January,1
Austria,2013,February,1
Belgium,1999,January,1
Belgium,2004,July,1
Belgium,2004,November,1
Belgium,2005,May,1
Belgium,2005,November,2
Belgium,2008,March,1
Belgium,2010,January,1
Belgium,2010,August,1
Belgium,2010,November,2
Belgium,2010,December,4
Belgium,2011,May,1
Belgium,2011,June,3
Belgium,2011,November,1
Belgium,2013,April,1
Belgium,2013,May,1
Belgium,2014,January,0
Belgium,2014,February,0
Belgium,2014,March,0
Belgium,2014,April,0
Belgium,2014,July,0
Belgium,2014,August,0
Belgium,2015,May,0
Belgium,2015,June,0
Belgium,2015,July,6
Belgium,2015,August,5
Belgium,2015,October,0
Belgium,2015,November,0
Belgium,2015,December,0
Belgium,2016,January,4
Belgium,2016,April,4
Belgium,2016,May,7
Belgium,2016,June,2
Bulgaria,2013,January,1
Canada,1999,January,6
Canada,1999,February,4
Canada,1999,March,6
Canada,1999,May,9
Canada,1999,June,7
Canada,1999,July,6
Canada,1999,August,14
Canada,1999,September,10
Canada,1999,October,10
Canada,1999,November,13
Canada,1999,December,8
Canada,2000,January,4
Canada,2000,February,9
Canada,2000,March,11
Canada,2000,April,1
Canada,2000,May,13
Canada,2000,June,10
Canada,2000,July,8
Canada,2000,August,15
Canada,2000,September,12
Canada,2000,October,10
Canada,2000,November,9
Canada,2000,December,5
Canada,2001,January,16
Canada,2001,February,12
Canada,2001,March,21
Canada,2001,April,10
Canada,2001,May,6
Canada,2001,June,12
Canada,2001,July,20
Canada,2001,August,21
Canada,2001,September,5
Canada,2001,October,24
Canada,2001,November,10
Canada,2001,December,15
Canada,2002,January,9
Canada,2002,February,6
Canada,2002,March,21
Canada,2002,April,31
Canada,2002,May,43
Canada,2002,June,29
Canada,2002,July,34
Canada,2002,August,22
Canada,2002,September,11
Canada,2002,October,19
Canada,2002,November,41
Canada,2002,December,39
Canada,2003,January,38
Canada,2003,February,42
Canada,2003,March,49
Canada,2003,April,43
Canada,2003,May,44
Canada,2003,June,38
Canada,2003,July,34
Canada,2003,August,100
Canada,2003,September,70
Canada,2003,October,51
Canada,2003,November,46
Canada,2003,December,49
Canada,2004,January,20
Canada,2004,February,24
Canada,2004,March,27
Canada,2004,April,20
Canada,2004,May,18
Canada,2004,June,27
Canada,2004,July,22
Canada,2004,August,22
Canada,2004,September,13
Canada,2004,October,18
Canada,2004,November,18
Canada,2004,December,47
Canada,2005,January,7
Canada,2005,February,3
Canada,2005,March,15
Canada,2005,April,4
Canada,2005,May,3
Canada,2005,June,6
Canada,2005,July,8
Canada,2005,August,6
Canada,2005,September,7
Canada,2005,October,9
Canada,2005,November,16
Canada,2005,December,5
Canada,2006,January,9
Canada,2006,February,6
Canada,2006,March,2
Canada,2006,April,2
Canada,2006,May,2
Canada,2006,June,10
Canada,2006,July,9
Canada,2006,August,7
Canada,2006,September,21
Canada,2006,October,19
Canada,2006,November,9
Canada,2007,January,8
Canada,2007,February,15
Canada,2007,March,2
Canada,2007,April,6
Canada,2007,May,5
Canada,2007,June,10
Canada,2007,July,9
Canada,2007,August,13
Canada,2007,September,10
Canada,2007,October,16
Canada,2007,November,25
Canada,2007,December,25
Canada,2008,January,14
Canada,2008,February,18
Canada,2008,March,8
Canada,2008,April,13
Canada,2008,May,17
Canada,2008,June,27
Canada,2008,July,20
Canada,2008,August,12
Canada,2008,September,12
Canada,2008,October,12
Canada,2008,November,15
Canada,2008,December,15
Canada,2009,January,17
Canada,2009,February,17
Canada,2009,March,16
Canada,2009,April,7
Canada,2009,May,15
Canada,2009,June,15
Canada,2009,July,9
Canada,2009,August,4
Canada,2009,September,24
Canada,2009,October,20
Canada,2009,November,20
Canada,2009,December,20
Canada,2010,January,4
Canada,2010,February,7
Canada,2010,March,10
Canada,2010,April,11
Canada,2010,May,2
Canada,2010,June,9
Canada,2010,July,12
Canada,2010,August,21
Canada,2010,September,12
Canada,2010,October,29
Canada,2010,November,26
Canada,2010,December,10
Canada,2011,January,7
Canada,2011,February,12
Canada,2011,March,5
Canada,2011,April,10
Canada,2011,May,13
Canada,2011,June,1
Canada,2011,July,1
Canada,2011,August,13
Canada,2011,September,3
Canada,2011,October,13
Canada,2011,November,18
Canada,2011,December,9
Canada,2012,January,6
Canada,2012,February,9
Canada,2012,March,10
Canada,2012,April,5
Canada,2012,May,10
Canada,2012,June,9
Canada,2012,July,10
Canada,2012,August,11
Canada,2012,September,12
Canada,2012,October,10
Canada,2012,November,6
Canada,2012,December,8
Canada,2013,March,3
Canada,2013,April,2
Canada,2013,June,1
Canada,2013,August,1
Canada,2013,September,4
Canada,2013,October,7
Canada,2013,November,4
Canada,2013,December,5
Canada,2014,January,8
Canada,2014,February,10
Canada,2014,March,17
Canada,2014,April,13
Canada,2014,May,21
Canada,2014,June,12
Canada,2014,July,11
Canada,2014,August,5
Canada,2014,September,18
Canada,2014,October,19
Canada,2014,November,19
Canada,2014,December,8
Canada,2015,January,24
Canada,2015,February,6
Canada,2015,March,12
Canada,2015,April,7
Canada,2015,May,27
Canada,2015,June,13
Canada,2015,July,29
Canada,2015,August,20
Canada,2015,September,47
Canada,2015,October,22
Canada,2015,November,26
Canada,2015,December,24
Canada,2016,January,36
Canada,2016,February,25
Canada,2016,March,37
Canada,2016,April,54
Canada,2016,May,16
Czech Rep.,2014,August,0
Czech Rep.,2014,December,0
Czech Rep.,2015,August,0
Denmark,2002,September,1
Denmark,2004,August,1
Denmark,2007,May,1
Denmark,2008,March,1
Denmark,2009,August,2
Denmark,2010,July,5
Denmark,2012,March,5
Finland,2003,September,1
Finland,2011,May,3
Finland,2012,May,1
Finland,2012,August,1
Finland,2014,April,0
Finland,2014,November,0
Finland,2016,February,1
France,1999,March,1
France,1999,June,1
France,2000,July,1
France,2000,September,1
France,2000,October,1
France,2000,November,1
France,2002,January,1
France,2004,March,1
France,2004,April,1
France,2004,May,1
France,2004,July,2
France,2004,August,1
France,2004,December,3
France,2005,January,1
France,2005,April,2
