Nombre,Año,Nacimiento,URL,Campeonato,Clasificación,Competición,Resultado,Género,Deporte,Prueba
Gemma Mengual Civil,8,26,26,26,26,26,12,26,26,26
Mireia Belmonte García,10,23,23,23,23,23,23,23,23,23
Francisco Javier Gómez Noya,11,22,22,22,22,22,22,22,22,22
Ruth Beitia Vila,12,14,14,14,14,14,14,14,14,14
Lidia Valentín Pérez,11,14,14,14,14,14,14,14,14,14
Ona Carbonell Ballestero,8,12,12,12,12,12,10,12,12,12
Mario Mola Díaz,5,11,11,11,11,11,11,11,11,11
Alba María Cabello Rodilla,10,11,11,11,11,11,6,11,11,11
Saúl Craviotto Rivero,12,9,9,9,9,9,9,9,9,9
Javier Fernández López,8,9,9,9,9,9,9,9,9,9
María Teresa Portela Rivas,12,9,9,9,9,9,7,9,9,9
Alberto Fernández Muñoz,9,7,7,7,7,7,6,7,7,7
Marina Alabau Neira,11,6,6,6,6,6,6,6,6,6
Erika Villaécija García,11,6,6,6,6,6,6,6,6,6
Joel González Bonilla,7,6,6,6,6,6,6,6,6,6
Iker Martínez de Lizarduy Lizarribar,10,5,5,5,5,5,2,5,5,5
Maialen Chourraut Yurramendi,12,5,5,5,5,5,5,5,5,5
Lourdes Mohedano Sánchez de Mora,6,5,5,5,5,5,5,5,5,5
Elena López Benaches,7,5,5,5,5,5,5,5,5,5
Melania Felicitas Costa Schmid,7,5,5,5,5,5,5,5,5,5
Alejandra Quereda Flores,8,5,5,5,5,5,5,5,5,5
Carolina María Marín Martín,4,5,5,5,5,5,5,5,5,5
Sandra Aguilar Navarro,8,5,5,5,5,5,5,5,5,5
Artemi Gavezou Castro,3,5,5,5,5,5,5,5,5,5
José Antonio Hermida Ramos,12,4,4,4,4,4,3,4,4,4
Josué Brachi García,3,4,4,4,4,4,4,4,4,4
Pablo Abensaid Carrera Vázquez,8,4,4,4,4,4,4,4,4,4
Tamara Echegoyen Domínguez,6,4,4,4,4,4,4,4,4,4
Beatriz Ferrer-Salat Serra di Migni,6,4,4,4,4,4,2,4,4,4
Kevin López Yerga,4,4,4,4,4,4,4,4,4,4
Fernando Echavarri Erasun,9,4,4,4,4,4,1,4,4,4
Alfonso Benavides López de Ayala,6,3,3,3,3,3,3,3,3,3
Fátima Gálvez Marín,8,3,3,3,3,3,3,3,3,3
Jorge León Llames Gutiérrez,10,3,3,3,3,3,3,3,3,3
Berta Betanzos Moro,7,3,3,3,3,3,3,3,3,3
Carlos Castillejo Salvador,7,3,3,3,3,3,2,3,3,3
Eva Calvo Gómez,3,3,3,3,3,3,3,3,3,3
Clara Basiana Cañellas,6,3,3,3,3,3,3,3,3,3
Paula Klamburg Roque,8,3,3,3,3,3,3,3,3,3
Fernando Alarza Vicente,1,3,3,3,3,3,3,3,3,3
Jéssica Vall Montero,2,2,2,2,2,2,2,2,2,2
Nuria Fernández Domínguez,6,2,2,2,2,2,2,2,2,2
Sugoi Uriarte Marcos,8,2,2,2,2,2,2,2,2,2
Miguel Ángel López Nicolás,7,2,2,2,2,2,2,2,2,2
Meritxell Mas Pujadas,3,2,2,2,2,2,2,2,2,2
