,catégorie,rang,année,pays,temps net,Age,vitesse
0,Escaladelite Hommes,1.,1982,CH,"20.54,5",33.0,21.38622535896812
1,Escaladelite Hommes,25.,1989,GB,"21.53,3",26.0,20.40495982909952
2,Escaladelite Hommes,7.,1992,GB,"21.17,9",23.0,20.74602200292743
3,Escaladelite Hommes,13.,1987,KEN,"21.26,4",28.0,20.663092550790072
4,Escaladelite Hommes,8.,1985,EE,"21.20,5",30.0,20.720584767743457
5,Escaladelite Hommes,19.,1986,F,"21.40,5",29.0,20.526979677645407
6,Escaladelite Hommes,18.,1990,KEN,"21.40,3",25.0,20.528897818062887
7,Escaladelite Hommes,---,1988,BDI,--------,27.0,
8,Escaladelite Hommes,4.,1985,ERI,"21.14,5",30.0,20.779380468195793
9,Escaladelite Hommes,3.,1988,KEN,"21.10,7",27.0,20.81679063817691
10,Escaladelite Hommes,32.,1978,KEN,"22.08,3",37.0,19.896753158538246
11,Escaladelite Hommes,31.,1981,CH,"22.06,5",34.0,19.912984364377973
12,Escaladelite Hommes,15.,1992,GB,"21.34,1",23.0,20.588538493978728
13,Escaladelite Hommes,33.,1976,ERI,"22.13,5",39.0,19.850011294330244
14,Escaladelite Hommes,37.,1986,ERI,"22.31,7",29.0,19.688130125016805
15,Escaladelite Hommes,35.,1989,P,"22.26,5",26.0,19.734111834718167
16,Escaladelite Hommes,10.,1988,UKR,"21.21,0",27.0,20.715700141442717
17,Escaladelite Hommes,---,1984,CH,--------,31.0,
18,Escaladelite Hommes,---,1980,N,--------,35.0,
19,Escaladelite Hommes,205.,1976,CH,"27.07,9",39.0,16.22585767568965
20,Escaladelite Hommes,72.,1986,CH,"24.02,4",29.0,18.289210789210788
21,Escaladelite Hommes,28.,1986,ERI,"22.01,3",29.0,19.960023622404943
22,Escaladelite Hommes,100.,1992,CH,"24.58,8",23.0,17.8696925329429
23,Escaladelite Hommes,---,1975,TUN,--------,40.0,
24,Escaladelite Hommes,29.,1983,F,"22.04,4",32.0,19.93195427327164
25,Escaladelite Hommes,---,1975,F,--------,40.0,
26,Escaladelite Hommes,---,1977,CH,--------,38.0,
27,Escaladelite Hommes,91.,1980,CH,"24.32,9",35.0,18.05992848041432
28,Escaladelite Hommes,52.,1988,D,"23.03,9",27.0,19.071140240461826
29,Escaladelite Hommes,---,1984,F,--------,31.0,
30,Escaladelite Hommes,---,1980,CH,--------,35.0,
31,Escaladelite Hommes,58.,1975,CH,"23.29,2",40.0,18.863987635239567
32,Escaladelite Hommes,125.,1981,CH,"25.34,0",34.0,17.339384372533544
33,Escaladelite Hommes,---,1985,E,--------,30.0,
34,Escaladelite Hommes,40.,1990,ETH,"22.40,9",25.0,19.607300638136465
35,Escaladelite Hommes,45.,1985,CAN,"22.52,1",30.0,19.50979086186226
36,Escaladelite Hommes,---,1974,CH,--------,41.0,
37,Escaladelite Hommes,---,1987,BDI,--------,28.0,
38,Escaladelite Hommes,---,1983,RWA,--------,32.0,
39,Escaladelite Hommes,22.,1985,BDI,"21.48,5",30.0,20.45054689318129
40,Escaladelite Hommes,79.,1983,GB,"24.14,5",32.0,18.197556429902672
41,Escaladelite Hommes,---,1985,CH,--------,30.0,
42,Escaladelite Hommes,74.,1993,CH,"24.04,4",22.0,18.273997670936616
43,Escaladelite Hommes,112.,1994,ERI,"25.16,9",21.0,17.45718939965831
44,Escaladelite Hommes,84.,1985,F,"24.21,1",30.0,18.147949279253236
45,Escaladelite Hommes,67.,1994,MKD,"23.45,9",21.0,18.729698623129718
46,Escaladelite Hommes,73.,1977,CH,"24.02,8",38.0,18.286166139503916
47,Escaladelite Hommes,55.,1992,CH,"23.05,4",23.0,19.058731673462308
48,Escaladelite Hommes,21.,1983,P,"21.46,6",32.0,20.468648094661326
49,Escaladelite Hommes,34.,1981,CH,"22.25,0",34.0,19.747415730337078
50,Escaladelite Hommes,62.,1987,CH,"23.37,9",28.0,18.79378929808803
51,Escaladelite Hommes,86.,1986,CH,"24.23,4",29.0,18.13072542708591
52,Escaladelite Hommes,38.,1988,CH,"22.32,4",27.0,19.68195663859523
