,nom,temps net
0,Kigen Mike,"20.21,5"
1,Chengere Tolossa,"20.36,2"
2,Tadese Abraham,"20.46,8"
3,Roethlin Viktor,"20.54,1"
4,Wayessa Urguessa,"21.01,5"
5,Eticha Tesfaye,"21.09,3"
6,Kiptum Daniel,"21.08,6"
7,Felfele Tesfay,"21.21,0"
8,Khelifi Mehdi,"21.26,8"
9,Kadi Nesero,"21.27,7"
10,Hosni Wissem,"21.30,9"
11,Schaffner Jerome,"21.38,2"
12,Bedri Salah,"21.46,9"
13,Staehli Stephen,"21.48,8"
14,El Amri Ridha,"21.52,2"
15,Ancay Tarcis,"21.52,8"
16,Kiday Aptou,"21.54,7"
17,Hakimi Ali,"22.06,9"
18,El Madi El Yazid,"22.09,7"
19,Lidetu Dejene,"22.10,5"
20,Hanriot Cyrille,"22.16,1"
21,Heiniger Stephane,"22.16,6"
22,Brodard Daniel,"22.27,0"
23,Manirakiza Egide,"22.29,2"
24,Bumann Samuel,"22.30,3"
25,Rousset Bruno,"22.31,9"
26,Grosso Pierre,"22.38,3"
27,Brunet Sullivan,"22.36,5"
28,Vuillet Nicolas,"22.43,8"
29,Jenni Walter,"22.44,9"
30,Cox Martin,"22.51,9"
31,Proebsting Matthias,"22.54,0"
32,Ghammit Abdelghani,"23.00,6"
33,Salamun Julien,----
34,Berni Marcel,"23.15,8"
35,Moroni Mickael,"23.17,8"
36,Chakour Nouredine,"23.17,8"
37,Oliveira Antonio,"23.19,0"
38,Nave Benoit,"23.19,1"
39,Leti Thomas,"23.19,8"
40,Belz David,"23.19,3"
41,Bailly Gilles,"23.27,3"
42,Kunz Richard,"23.28,0"
43,Hauser Nicolas,"23.29,6"
44,Balleret Alain,"23.31,1"
45,Aubry Jean-Michel,"23.33,2"
46,Kleiner Nathaniel,"23.36,1"
47,Megueressa Mitiku,"23.35,8"
48,Bouchelaghem Nabil,"23.38,7"
49,Costa Cesar,"23.41,1"
50,Lemma Regassa,"23.47,2"
51,Denef Sebastien,"23.49,1"
52,Dutoit Thierry,"23.50,7"
53,Mollen Albert,"23.51,7"
54,Hynes Antoine,"23.53,2"
55,Kempf Andreas,"23.54,0"
56,Gillieron Christophe,"23.55,4"
57,Saugy Sebastien,"23.55,3"
58,Marchon Olivier,"23.56,7"
59,Pluess Michael,"23.57,6"
60,Gobet Philippe,"23.57,9"
61,Baudat Marc,"23.57,4"
62,Cicero Christophe,"23.58,1"
63,Etienne Richard,"24.00,9"
64,Rerat Jacques,"24.00,0"
65,Herzig David,"24.10,3"
66,Bernardo Sebastien,"24.14,3"
67,Fleury Pascal,"24.16,0"
68,Fayet Claude,"24.17,2"
69,Michellier Laurent,"24.16,4"
70,Schnyder Yann,"24.18,9"
71,Di Camillo Fabien,"24.21,0"
72,Rapillard Laurent Marcel,"24.20,7"
73,Escajadillo Vladimir,"24.26,3"
74,Geydet Fabrice,"24.25,2"
75,Dentaleb Nasser,"24.24,9"
76,Aigroz Mike,"24.30,0"
77,Koster Joseph,"24.28,2"
78,Sherpa Dachiri,"24.30,6"
79,Tremblet Stephan,"24.30,0"
80,Carloz Didier,"24.32,3"
81,Wanner Christoph,"24.33,9"
82,Bosson Fabien,"24.38,1"
83,Piccand Marc,"24.37,0"
84,Bagnoud Gerard,"24.36,9"
85,Dupraz Frederic,"24.37,0"
86,Ait Mala Rachid,"24.40,1"
87,Konyk Nicolas,"24.42,7"
88,Quistini Olivier,"24.42,5"
89,Riat Arnaud,"24.41,7"
90,Moutinho Vitor,"24.45,1"
91,Chatel Thierry,"24.45,6"
92,Daerendinger Claude,"24.48,0"
93,Benelmaadadi Sabri,"24.51,9"
94,Gadissa Alemayehu,"24.53,3"
95,Perren Patrick,"24.51,2"
96,Meier Joel,"24.55,6"
97,Sevennec-Verdier Alexis,"24.56,4"
98,Occhilupo Sandro,"25.04,1"
99,S'Hyek Alain,"25.05,3"
100,Marmillod Yves,"25.06,3"
101,Kremmer Francois,----
102,Felley Jean-Yves,"25.07,0"
