,1ère boucle,2ème boucle,3ème boucle,nom,temps net
0,"     6.57,4 ","     7.07,4 ","     6.40,6 ",Kipkorir Paul,"     20.42,3 "
1,"     6.57,7 ","     7.07,1 ","     6.45,2 ",Abraham Tadesse,"     20.46,8 "
2,"     6.57,3 ","     7.07,7 ","     6.46,0 ",Rotich Milton,"     20.46,9 "
3,"     6.57,3 ","     7.07,1 ","     6.59,5 ",Mbishei Titus,"     21.00,0 "
4,"     6.57,8 ","     7.08,1 ","     7.01,3 ",Kiplagat Bisluke,"     21.03,8 "
5,"     6.58,0 ","     7.08,5 ","     7.06,0 ",Matheka Bernard,"     21.08,3 "
6,"     6.57,3 ","     7.13,1 ","     7.04,7 ",Nduwimana Willy,"     21.11,8 "
7,"     6.57,9 ","     7.08,3 ","     7.12,0 ",Negash Abdusomed,"     21.14,8 "
8,"     6.57,7 ","     7.13,1 ","     7.18,1 ",Felfele Tesfay,"     21.25,8 "
9,"     6.58,5 ","     7.16,4 ","     7.21,2 ",Tolossa Chengere,"     21.32,8 "
10,"     7.05,1 ","     7.25,3 ","     7.08,3 ",Kreisinger Jan,"     21.34,8 "
11,"     7.00,3 ","     7.28,4 ","     7.13,6 ",Oumoussa Zouhair,"     21.38,6 "
12,"     7.06,8 ","     7.25,6 ","     7.13,5 ",Wodajo Alemayehu,"     21.41,9 "
13,"     7.04,7 ","     7.25,8 ","     7.18,4 ",Matviichuk Oleksandr,"     21.45,2 "
14,"     7.04,5 ","     7.32,2 ","     7.17,0 ",Khelifi Mehdi,"     21.50,5 "
15,"     6.59,4 ","     7.34,8 ","     7.20,5 ",Solomon Tesfamariam,"     21.51,8 "
16,"     7.04,3 ","     7.31,9 ","     7.18,8 ",Abeba Tedy Mulugata,"     21.51,2 "
17,"     6.58,7 ","     7.31,4 ","     7.29,5 ",Begashaw Hailu,"     21.56,7 "
18,"     6.58,8 ","     7.40,2 ","     7.31,8 ",Berhane Ogubit,"     22.07,3 "
19,"     6.59,1 ","     7.36,2 ","     7.40,1 ",Nesero Kadi,"     22.11,9 "
20,"     7.12,3 ","     7.44,6 ","     7.23,4 ",Roch Alexandre,"     22.16,5 "
21,"     7.04,7 ","     7.43,3 ","     7.35,4 ",Mahmoudi Abdelkader,"     22.19,9 "
22,"     7.11,7 ","     7.46,2 ","     7.27,7 ",Fournier Pierre,"     22.22,3 "
23,"     7.12,3 ","     7.45,1 ","     7.28,4 ",Bumann Samuel,"     22.21,4 "
24,"     7.20,5 ","     7.39,3 ","     7.27,5 ",Kiptum Daniel,"     22.23,8 "
