,nom,temps net
0,Kogo Micah,"19.58,2"
1,Weidlinger Guenther,"19.58,4"
2,Chengere Tolossa,"20.21,5"
3,Wyatt Jonathan,"20.31,4"
4,Belz Christian,"20.38,7"
5,Lemma Kleyessa Fedaku,"20.40,1"
6,Baaru Philemon,"20.44,1"
7,Wayessa Urguessa,"20.53,6"
8,Eticha Tesfaye,"20.58,1"
9,Keitany Elijah,"20.58,9"
10,Tadese Abraham,"21.05,2"
11,Kipchilat Philemon,"21.05,2"
12,Kibet Collins,"21.08,2"
13,Tanui Mike,"21.09,3"
14,Kemboi Hillary,"21.12,8"
15,Andreiev Grigoriy,"21.13,8"
16,Lidetu Dejene,"21.14,6"
17,Kadi Nesevo,"21.17,0"
18,Manirakiza Egide,"21.22,1"
19,Schaffner Jerome,"21.24,3"
20,Solomon Tesfamariam,"21.28,7"
21,El Madi El Yazid,"21.33,4"
22,Alemayehu Wodajo,"21.34,0"
23,Tanui Geoffrey,"21.34,7"
24,Lemma Regassa,"21.40,8"
25,Staehli Stephen,"21.40,8"
26,Kraehenbuehl Jacques,"21.43,4"
27,Fontaine Guillaume,"21.45,8"
28,Ancay Tarcis,"21.52,3"
29,Csillag Balazs,"21.55,8"
30,Valterio David,"21.57,4"
31,Burns Billy,"22.05,9"
32,Megueressa Mitiku,"22.14,0"
33,Gillet Alain,"22.13,8"
34,Brodard Daniel,"22.21,5"
35,Khelifi Mehdi,"22.24,2"
36,Hoeft Moritz,"22.29,0"
37,Suter Thomas,"22.32,3"
38,Charnay Sebastien,"22.36,9"
39,Bailly Gilles,"22.37,4"
40,Lovey Samuel,"22.41,8"
41,Belz David,"22.41,7"
42,Bidault Pascal,"22.42,5"
43,Antoine Roger,"22.44,8"
44,Reppelin Thomas,"22.48,4"
45,Grosso Pierre,"22.52,2"
46,Bieri Matias,"23.02,9"
47,Belz Valentin,"23.04,1"
48,Heiniger Stephane,"23.08,0"
49,Vasmer Eric,"23.08,7"
50,Aubry Jean-Michel,"23.10,1"
51,Bumann Samuel,"23.10,3"
52,Daerendinger Claude,"23.13,2"
53,Andrey Julien,"23.14,7"
54,Mc Laren Robert,"23.20,2"
55,Vuillet Nicolas,"23.21,2"
56,Ecoeur Yannick,"23.22,1"
57,Gantenbein Julien,"23.23,9"
58,Frossard Pierre-Alain,"23.26,1"
59,Kunz Richard,"23.31,2"
60,Subra Frederic,"23.32,4"
61,Morand Stephane,"23.32,5"
62,Denef Sebastien,"23.35,3"
63,Campos Antonio,"23.40,2"
64,Fleury Pascal,"23.39,9"
65,Gasser Mathias,"23.40,1"
66,Hellebuyck Sebastien,"23.42,2"
67,Brocard Didier,"23.45,6"
68,Dutoit Thierry,"23.45,7"
69,Boehler Michael,"23.48,9"
70,Fayet Claude,"23.48,9"
71,Golliard Christophe,"23.51,3"
72,Riat Arnaud,"23.52,1"
73,Hynes Antoine,"23.52,8"
74,Carloz Didier,"23.51,5"
75,Marchon Olivier,"24.07,5"
76,Salamun Julien,"24.08,0"
77,Schneider Pascal,"24.09,5"
78,Mc Laren Alain,"24.12,1"
79,Wanner Christoph,"24.11,7"
80,Chatel Thierry,"24.13,5"
81,Bago Joseph,"24.16,1"
82,Rapillard Laurent,"24.15,7"
83,Rerat Jacques,"24.15,9"
84,Clement Patrick,"24.19,8"
85,Kleiner Nathaniel,"24.25,8"
86,Doninelli Danilo,"24.24,7"
87,Quistini Olivier,"24.23,9"
88,Koster Joseph,"24.29,1"
89,Gloor Olivier,"24.32,5"
90,Gillieron Christophe,"24.32,4"
91,Geydet Fabrice,"24.29,4"
92,Maret Edouard,"24.32,9"
93,Schnyder Yann,"24.33,3"
94,Haldimann Edgar,"24.32,9"
95,Moutinho Vitor,"24.34,4"
96,Guida Enzo,"24.33,8"
97,Vehid Gutic,"24.39,8"
98,Domerego Eric,"24.39,0"
99,Kremmer Francois,----
100,Moghini Fabrizio,"24.43,7"
101,Perez Raul,"24.44,7"
102,Dubois Baptiste,"24.48,1"
103,Luthy Benoit,"24.49,1"
104,Dunand Jean-Marc,"24.54,1"
105,Guilhaume Nicolas,"24.56,2"
106,Matos Jose,"24.56,7"
107,Rottigni Robert,"24.57,0"
108,Herzig David,"24.57,7"
109,Correvon Michel,"24.56,4"
110,Felley Jean-Yves,"25.03,3"
111,Bagnoud Gerard,"25.04,2"
112,Piccand Marc,"25.04,7"
113,Carriero Richard,"25.06,8"
114,Fournier Nicolas,"25.04,8"
115,Ladner Thomas,"25.06,0"
116,Combe Nicolas,"25.07,4"
117,Matteazzi Daniel,"25.06,2"
118,Bentaleb Nasser,"25.09,5"
119,Vallade Didier,"25.12,3"
120,Cornuz Jerome,"25.09,2"
121,Occhilupo Sandro,"25.13,2"
122,Berney Gilles,"25.14,7"
123,Gonthier Philippe,"25.17,0"
124,Mairot Jocelyn,"25.20,3"
125,Jorg Frederic,"25.19,5"
126,Schenevey Gilles,"25.18,5"
127,Girard Thierry,"25.13,9"
128,De Terwangne Didier,"25.22,6"
129,Husser Joris,"25.25,5"
130,Gaillard Frederic,"25.21,0"
131,Degrenne Nicolas,"25.27,2"
132,Sonzini Laurent,"25.24,2"
133,Rapillard Stephane,"25.24,5"
134,Perren Patrick,"25.30,8"
135,Gergaud Yves,"25.28,8"
136,Isler Marc,"25.28,3"
137,Monnerat Christophe,"25.30,2"
138,Tolazzi Damien,"25.31,0"
139,Thonney Kilian,"25.33,2"
140,Rizzo Francesco,"25.28,4"
