,1ère boucle,2ème boucle,3ème boucle,nom,temps net
0,"      6.58,1 ","     7.15,9 ","     6.46,9 ",Abraham Tadesse,"    20.54,5 "
1,"      6.58,4 ","     7.15,7 ","     6.48,2 ",Adere Belete,"    20.56,4 "
2,"      6.57,9 ","     7.16,0 ","     7.03,1 ",Matheka Bernard,"    21.10,7 "
3,"      6.59,2 ","     7.15,7 ","     7.05,8 ",Tesfay Simon,"    21.14,5 "
4,"      6.58,8 ","     7.15,3 ","     7.07,3 ",Sisay Yazew,"    21.15,3 "
5,"      6.58,6 ","     7.21,9 ","     7.04,7 ",Boulama Mohammed,"    21.19,0 "
6,"      6.58,4 ","     7.21,7 ","     7.05,3 ",Studley Daniel,"    21.17,9 "
7,"      6.59,5 ","     7.23,1 ","     7.04,2 ",Nurme Tiidrek,"    21.20,5 "
8,"      6.59,2 ","     7.21,7 ","     7.06,8 ",Arbogast Jannick,"    21.20,8 "
9,"      6.58,7 ","     7.21,6 ","     7.07,8 ",Lashyn Dmytro,"    21.21,0 "
10,"      6.59,2 ","     7.19,3 ","     7.10,8 ",Koskei Evans Kiprotich,"    21.22,3 "
11,"      6.58,2 ","     7.22,0 ","     7.09,5 ",Chengere Tolossa,"    21.23,3 "
12,"      6.58,4 ","     7.16,8 ","     7.17,8 ",Ereng Patrick,"    21.26,4 "
13,"      6.58,9 ","     7.31,5 ","     7.08,8 ",Jaafar Reda,"    21.33,3 "
14,"      6.59,5 ","     7.31,2 ","     7.11,1 ",Hawkins Callum,"    21.34,1 "
15,"      6.59,8 ","     7.34,0 ","     7.09,7 ",Cantero Bryan,"    21.37,4 "
16,"      7.00,4 ","     7.29,9 ","     7.15,7 ",Kipyego Lagat Kennedy,"    21.38,8 "
17,"      6.58,2 ","     7.22,2 ","     7.26,8 ",Kurui Dickson,"    21.40,3 "
18,"      7.04,1 ","     7.28,4 ","     7.15,2 ",Mayaud Denis,"    21.40,5 "
19,"      7.07,9 ","     7.33,1 ","     7.10,7 ",Simpson Robbie,"    21.44,0 "
20,"      7.02,0 ","     7.33,9 ","     7.17,3 ",Santos Hélder,"    21.46,6 "
21,"      6.58,9 ","     7.21,8 ","     7.34,7 ",Nkunzimana Onesphore,"    21.48,5 "
22,"      7.02,1 ","     7.30,1 ","     7.23,7 ",Adam Guillaume,"    21.48,7 "
23,"      6.58,8 ","     7.36,6 ","     7.25,0 ",Dadi Fikru,"    21.53,8 "
24,"      7.08,0 ","     7.32,7 ","     7.20,2 ",Hawkins Derek,"    21.53,3 "
25,"      6.58,6 ","     7.21,0 ","     7.47,5 ",Daba Temesgen,"    22.01,2 "
26,"      7.07,0 ","     7.37,9 ","     7.22,6 ",Stützel Simon,"    22.00,9 "
27,"      7.04,5 ","     7.37,0 ","     7.26,6 ",Nesero Kadi,"    22.01,3 "
28,"      7.06,9 ","     7.39,7 ","     7.24,9 ",Mahmoudi Abdelkader,"    22.04,4 "
29,"      7.14,3 ","     7.39,6 ","     7.18,1 ",Merrien Lee,"    22.03,9 "
30,"      7.14,7 ","     7.38,2 ","     7.21,4 ",Kreienbühl Christian,"    22.06,5 "
31,"      7.14,5 ","     7.37,6 ","     7.24,9 ",Kiptum Daniel,"    22.08,3 "
32,"      7.06,8 ","     7.45,7 ","     7.27,0 ",Solomon Tesfamariam,"    22.13,5 "
33,"      7.09,9 ","     7.50,5 ","     7.31,2 ",Oliveira Victor,"    22.25,0 "
34,"      7.17,5 ","     7.50,9 ","     7.25,7 ",Albuquerque Bruno,"    22.26,5 "
35,"      7.25,6 ","     7.46,8 ","     7.23,0 ",Kempf Andreas,"    22.28,1 "
36,"      7.10,1 ","     7.53,3 ","     7.34,5 ",Tesfaye Felfele,"    22.31,7 "
37,"      7.16,6 ","     7.52,0 ","     7.30,8 ",Berni Marcel,"    22.32,4 "
