Week,Pokémon Go,trump,Game of Thrones,clinton,Islamic State of Iraq and the Levant
2015-07-26,0,2,3,1,3
2015-08-02,0,4,3,1,2
2015-08-09,0,4,3,1,3
2015-08-16,0,4,2,2,2
2015-08-23,0,5,2,1,2
2015-08-30,0,3,2,1,3
2015-09-06,1,3,2,1,3
2015-09-13,1,4,2,1,3
2015-09-20,1,3,2,1,2
2015-09-27,0,3,2,1,3
2015-10-04,0,2,2,1,3
2015-10-11,0,3,2,2,3
2015-10-18,0,2,2,2,2
2015-10-25,0,2,2,1,3
2015-11-01,0,2,2,1,2
2015-11-08,0,3,2,1,8
2015-11-15,0,3,2,1,25
2015-11-22,0,3,2,1,10
2015-11-29,0,2,2,1,7
2015-12-06,0,8,2,1,5
2015-12-13,0,5,2,1,4
2015-12-20,0,5,2,2,3
2015-12-27,0,3,3,1,3
2016-01-03,0,3,3,1,3
2016-01-10,0,4,2,2,3
2016-01-17,0,4,2,2,3
2016-01-24,0,6,2,2,3
2016-01-31,0,6,2,3,2
2016-02-07,0,5,2,3,2
2016-02-14,0,6,3,2,2
2016-02-21,0,10,2,3,2
2016-02-28,0,17,2,4,2
2016-03-06,0,12,3,3,2
2016-03-13,0,14,3,3,2
2016-03-20,0,10,3,2,4
2016-03-27,0,8,3,2,3
2016-04-03,0,6,3,2,2
2016-04-10,0,5,4,2,2
2016-04-17,0,6,5,3,2
2016-04-24,0,7,14,2,2
2016-05-01,0,11,11,3,2
2016-05-08,0,7,10,3,2
2016-05-15,0,6,10,2,2
2016-05-22,0,6,12,3,2
2016-05-29,0,6,11,2,2
2016-06-05,0,7,11,5,2
2016-06-12,0,7,10,3,3
2016-06-19,0,6,13,2,2
2016-06-26,0,5,18,3,2
2016-07-03,29,5,8,4,3
2016-07-10,100,6,6,3,3
2016-07-17,64,23,4,4,2
