Week,Tinder,Pokémon Go,WhatsApp,Facebook
2015-07-26,0,0,0,0
2015-08-02,0,0,67,-12
2015-08-09,0,0,16,-9
2015-08-16,0,0,27,16
2015-08-23,0,0,24,23
2015-08-30,-100,0,7,-17
2015-09-06,-100,0,51,11
2015-09-13,-100,0,15,53
2015-09-20,-100,0,-9,33
2015-09-27,-100,0,31,-39
2015-10-04,-100,0,29,-2
2015-10-11,-100,0,-20,-9
2015-10-18,-100,0,29,-36
2015-10-25,-100,0,51,9
2015-11-01,-27,0,-18,5
2015-11-08,-31,0,15,13
2015-11-15,-35,-17,7,16
2015-11-22,-46,-17,-36,-22
2015-11-29,-46,-100,5,-12
2015-12-06,-46,-100,4,-28
2015-12-13,-43,-100,71,-45
2015-12-20,-39,-100,62,-8
2015-12-27,-36,-100,47,-22
2016-01-03,-37,-100,31,8
2016-01-10,-37,-17,-2,3
2016-01-17,-37,-17,18,23
2016-01-24,-37,-17,18,11
2016-01-31,-37,-17,62,-36
2016-02-07,-37,-17,25,48
2016-02-14,-37,-100,53,30
2016-02-21,-100,-100,-7,-11
2016-02-28,-100,-100,7,3
2016-03-06,-100,-100,18,30
2016-03-13,-100,-100,13,30
2016-03-20,-100,-100,75,25
2016-03-27,-100,-100,35,-8
2016-04-03,-100,-100,-2,30
2016-04-10,-40,-100,24,33
2016-04-17,-38,-100,20,25
2016-04-24,-39,-17,35,-14
2016-05-01,-39,-17,55,9
2016-05-08,-38,-17,33,11
2016-05-15,-40,-17,15,13
2016-05-22,-40,-17,33,-3
2016-05-29,-40,-17,13,-16
2016-06-05,-40,-17,18,25
2016-06-12,-40,-17,24,11
2016-06-19,-38,-17,33,0
2016-06-26,-40,-17,16,2
2016-07-03,-40,267,36,56
2016-07-10,-40,1,567,29
2016-07-17,-16,917,82,3
