Place Name,Latitude,Longitude
"Dahanu, Maharashtra, India",19.990751,72.743675
"Sri Muktsar Sahib, Punjab, India",30.480042,74.518204
"Kanchipuram, Tamil Nadu, India",12.834174,79.703644
"Dhanpur, Gujarat, India",22.633492,74.095993
"Bengaluru, Karnataka, India",12.971599,77.594566
"Muzaffarnagar, Uttar Pradesh, India",29.471397,77.696732
"Chhatarpur, Madhya Pradesh, India",24.916355,79.581184
"Bongaigaon, Assam, India",26.500999,90.535233
"RAK Tiles, Ner Chowk, Himachal Pradesh, India",31.604889,76.919533
"Amreli, Gujarat, India",21.603176,71.222084
"Bulandshahar, Uttar Pradesh, India",28.411331,77.848434
"Kharagpur, West Bengal, India",22.34601,87.231972
"Arrah, Bihar, India",25.556044,84.660332
"Fatehpur, Rajasthan, India",27.99502,74.961792
"Seoni, Madhya Pradesh, India",22.086868,79.543488
"Siliguri, West Bengal, India",26.732311,88.410286
"Mangaluru, Karnataka, India",12.915605,74.855965
"Kandi, West Bengal, India",23.9468,88.049713
"Khammam, Telangana, India",17.247253,80.151443
"Bagà, Barcelona, Spain",42.251392,1.864243
"Morshi, Maharashtra, India",21.324196,78.013832
"Vijaypur, Jammu and Kashmir, India",32.564522,75.023148
"Santha, Uttar Pradesh, India",26.994154,83.034798
"Chalisgaon, Maharashtra, India",20.464079,74.996857
"Etawah, Uttar Pradesh, India",26.811712,79.004692
"Simlapal, West Bengal, India",22.916706,87.070351
"Lakhimpur, Uttar Pradesh, India",27.94908,80.782402
"Masaurhi, Bihar, India",25.35128,85.031143
"Bhatta, Paldi, Ahmedabad, Gujarat, India",23.00795,72.553757
"Sultanpur, Uttar Pradesh, India",26.264776,82.072708
"Kotulpur, West Bengal, India",23.012794,87.593948
"Pithampur, Madhya Pradesh, India",22.610683,75.680862
"Bela Pratapgarh, Uttar Pradesh, India",25.912968,81.991653
"Ghazipur, Uttar Pradesh, India",25.584042,83.577019
"Buxar, Bihar, India",25.564711,83.977745
"Baran, Rajasthan, India",25.101145,76.513161
"Saideep Enterprises, Ambad Nashik, Maharashtra, India",19.969227,73.743195
"Hazaribagh, Jharkhand, India",23.99662,85.36911
"Ner, Maharashtra, India",20.492311,77.868004
"Rudrapur, Uttarakhand, India",28.978298,79.399612
"Success Point, Bhadravati, Maharashtra, India",20.112093,79.118698
"Balaghat, Madhya Pradesh, India",21.812876,80.18383
"Thodupuzha, Kerala, India",9.897157,76.713409
"Kothagudem, Telangana, India",17.554356,80.619736
"Debra, West Bengal, India",22.369043,87.55442
"Khambhat, Gujarat, India",22.318083,72.618988
"Kalaburagi, Karnataka, India",17.320486,76.839752
"Palampur, Himachal Pradesh, India",32.110542,76.536224
"Bargarh, Odisha, India",21.342585,83.624199
"Jaunpur, Uttar Pradesh, India",25.748695,82.698441
"Bahraich, Uttar Pradesh, India",27.570839,81.598022
"Shegaon, Maharashtra, India",20.792713,76.694328
"Ballari, Karnataka, India",15.139393,76.92144
"Hapur, Uttar Pradesh, India",28.730579,77.775879
"Kashipur, Uttarakhand, India",29.210421,78.96183
"Sikandra, Uttar Pradesh, India",26.367811,79.629158
"Palakkad, Kerala, India",10.784703,76.653145
"Almora, Uttarakhand, India",29.594189,79.653893
"Dhar, Madhya Pradesh, India",22.601292,75.302467
"Ameerpet, Hyderabad, Telangana, India",17.437462,78.448288
"Georai, Maharashtra, India",19.263334,75.752426
"Kodad, Telangana, India",16.99708,79.967361
"Kalaigaon, Assam, India",26.57448,91.975243
"Newasa, Maharashtra, India",19.551146,74.928162
"Jalgaon, Maharashtra, India",21.004194,75.563942
"Mahasamund, Chhattisgarh, India",21.109133,82.0979
"Giridih, Jharkhand, India",24.184713,86.302193
"Purnea, Bihar, India",25.771103,87.482185
"Kotputli, Rajasthan, India",27.703669,76.201195
"Jhalawar, Rajasthan, India",24.597349,76.16098
"Sitarganj, Uttarakhand, India",28.923548,79.700722
