week,COUNTRY_ACCOUSTIC,DANCE,LATIN,POP,RNB,ROCK,STANDARDS_JAZZ
1959-12-30,1,1,0,0,1,0,13
1960-01-06,2,1,0,0,1,0,14
1960-01-13,2,1,0,0,1,0,13
1960-01-20,2,1,0,0,1,0,14
1960-01-27,2,1,0,0,1,0,14
1960-02-03,4,0,0,0,0,0,12
1960-02-10,4,1,0,0,0,0,12
1960-02-17,4,2,0,0,1,0,12
1960-02-24,4,2,0,0,1,1,11
1960-03-02,3,2,0,0,1,1,13
1960-03-09,4,2,0,0,1,0,12
1960-03-16,3,2,0,0,1,1,11
1960-03-23,3,2,0,0,1,1,12
1960-03-30,4,2,0,0,1,0,11
1960-04-06,5,1,0,0,1,0,9
1960-04-13,4,1,0,0,1,0,9
1960-04-20,4,1,0,0,1,0,9
1960-04-27,4,0,0,0,0,0,10
1960-05-04,4,0,0,0,0,0,10
1960-05-11,4,1,0,0,1,0,10
1960-05-18,2,0,0,0,0,0,11
1960-05-25,2,0,0,0,0,0,10
1960-06-01,2,0,0,0,0,0,11
1960-06-08,1,1,0,0,1,0,11
1960-06-15,2,1,0,0,1,0,10
1960-06-22,1,1,0,0,1,0,11
1960-06-29,1,1,0,0,1,0,11
1960-07-06,2,2,0,0,1,1,9
1960-07-13,2,1,0,0,1,1,9
1960-07-20,2,1,0,0,1,1,10
1960-07-27,2,0,0,0,0,1,10
1960-08-03,3,0,0,0,0,1,10
1960-08-10,2,0,0,1,0,1,11
1960-08-17,1,2,0,1,2,1,10
1960-08-24,1,2,0,1,2,1,10
1960-08-31,1,1,0,1,1,1,11
1960-09-07,1,2,0,1,2,1,10
1960-09-21,0,3,0,1,3,0,9
1960-09-28,0,3,0,0,3,0,10
1960-10-12,1,3,0,0,4,0,9
1960-10-19,1,3,0,0,4,0,8
1960-10-26,1,3,0,0,4,0,9
1960-11-02,1,4,0,0,3,0,12
1960-11-09,3,4,0,0,4,0,10
1960-11-16,3,4,0,0,4,0,9
1960-11-23,3,4,0,0,4,0,8
1960-11-30,2,4,0,0,4,0,7
1960-12-07,2,4,0,0,4,0,8
1960-12-14,3,3,0,0,3,0,9
1960-12-21,3,1,0,0,1,1,10
1959-12-30,1,1,0,0,1,0,13
1960-01-06,2,1,0,0,1,0,14
1960-01-13,2,1,0,0,1,0,13
1960-01-20,2,1,0,0,1,0,14
1960-01-27,2,1,0,0,1,0,14
1960-02-03,4,0,0,0,0,0,12
1960-02-10,4,1,0,0,0,0,12
1960-02-17,4,2,0,0,1,0,12
1960-02-24,4,2,0,0,1,1,11
1960-03-02,3,2,0,0,1,1,13
1960-03-09,4,2,0,0,1,0,12
1960-03-16,3,2,0,0,1,1,11
1960-03-23,3,2,0,0,1,1,12
1960-03-30,4,2,0,0,1,0,11
1960-04-06,5,1,0,0,1,0,9
1960-04-13,4,1,0,0,1,0,9
1960-04-20,4,1,0,0,1,0,9
1960-04-27,4,0,0,0,0,0,10
1960-05-04,4,0,0,0,0,0,10
