Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Quincy Acy,PF,25,SAC,59,876,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10,13.1,1.8,0.7,2.5,0.137,0.2,0,0.2,0.5
2,Jordan Adams,SG,21,MEM,2,15,17.3,0.427,0.167,0.833,0,15.9,7.6,31.9,10.3,0,19.6,30.5,0,0,0,0.015,-2.9,4.8,1.9,0
3,Steven Adams,C,22,OKC,80,2014,15.5,0.621,0,0.46,12.5,16.1,14.4,4.3,1,3.3,14.1,12.6,4.2,2.3,6.5,0.155,0.8,1.3,2.1,2.1
4,Arron Afflalo,SG,30,NYK,71,2371,10.9,0.531,0.298,0.164,1.1,11,6.1,9.9,0.5,0.3,8.7,17.9,1.8,0.9,2.7,0.055,-0.6,-1.8,-2.4,-0.2
5,Alexis Ajinca,C,27,NOP,59,861,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,0.2,0.9,1,0.058,-4.3,-0.2,-4.5,-0.5
6,Cole Aldrich,C,27,LAC,60,800,21.3,0.626,0,0.373,11.9,27.1,19.6,10,2.9,6.7,19.6,18.4,1.4,2,3.5,0.209,-1,5.8,4.8,1.4
7,LaMarcus Aldridge,PF,30,SAS,74,2261,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,5.6,4.5,10.1,0.215,0.7,1.1,1.8,2.2
8,Cliff Alexander,PF,20,POR,8,36,11.6,0.5,0,0,6,12.1,9,0,1.4,4.4,9.1,13.3,0,0,0,0.052,-5.7,-1.3,-7,0
9,Lavoy Allen,PF,26,IND,79,1599,12.4,0.532,0,0.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13,1.6,2.1,3.7,0.11,-2.1,1.4,-0.6,0.6
10,Tony Allen,SG,34,MEM,64,1620,12.9,0.505,0.09,0.294,7,14.1,10.4,6.9,3.5,1,12.8,16.8,0.5,1.9,2.4,0.072,-1.5,1.4,-0.1,0.8
