
Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,MON,NL,114,74,40,.649,5.1,4.0,1.1,-0.1,1.0,70-44,4,0-0,32-20,42-20,6-8,21-14,56-32,18-8,20-13,54-27
2,NYY,AL,113,70,43,.620,5.9,4.7,1.2,-0.1,1.1,68-45,2,0-0,33-24,37-19,7-4,14-15,45-26,25-17,19-12,51-31
3,ATL,NL,114,68,46,.597,4.8,3.9,0.8,-0.1,0.7,67-47,1,0-0,31-24,37-22,7-2,13-15,50-30,18-16,18-13,50-33
4,CHW,AL,113,67,46,.593,5.6,4.4,1.2,-0.1,1.1,69-44,-2,0-0,34-19,33-27,5-4,16-12,46-33,21-13,18-16,49-30
5,CLE,AL,113,66,47,.584,6.0,5.0,1.0,0.0,1.0,66-47,0,0-0,35-16,31-31,10-3,17-16,52-28,14-19,12-24,54-23
6,CIN,NL,115,66,48,.579,5.3,4.3,1.0,-0.1,0.9,68-46,-2,0-0,37-22,29-26,13-6,20-19,50-36,16-12,16-19,50-29
7,HOU,NL,115,66,49,.574,5.2,4.4,0.9,-0.1,0.7,67-48,-1,0-0,37-22,29-27,5-4,13-17,46-37,20-12,12-19,54-30
8,BAL,AL,112,63,49,.562,5.3,4.4,0.8,-0.1,0.7,65-47,-2,0-0,28-27,35-22,3-3,14-17,46-38,17-11,14-17,49-32
9,KCR,AL,115,64,51,.556,5.0,4.6,0.4,-0.1,0.3,61-54,3,0-0,35-24,29-27,6-5,14-16,48-35,16-16,16-10,48-41
10,LAD,NL,114,58,56,.509,4.7,4.5,0.2,0.1,0.3,59-55,-1,0-0,33-22,25-34,9-3,28-22,43-36,15-20,17-19,41-37
11,NYM,NL,113,55,58,.487,4.5,4.7,-0.2,0.0,-0.2,54-59,1,0-0,23-30,32-28,4-8,19-20,37-44,18-14,20-20,35-38
12,SFG,NL,115,55,60,.478,4.4,4.3,0.0,0.1,0.1,58-57,-3,0-0,29-31,26-29,4-7,19-16,41-44,14-16,17-30,38-30
13,TOR,AL,115,55,60,.478,4.9,5.0,-0.1,0.0,-0.2,56-59,-1,0-0,33-26,22-34,3-6,13-15,34-44,21-16,19-24,36-36
14,BOS,AL,115,54,61,.470,4.8,5.4,-0.6,0.0,-0.6,51-64,3,0-0,31-33,23-28,4-8,19-16,38-43,16-18,14-24,40-37
15,PHI,NL,115,54,61,.470,4.5,4.3,0.2,0.0,0.2,60-55,-6,0-0,34-26,20-35,2-6,12-26,39-45,15-16,15-27,39-34
16,MIN,AL,113,53,60,.469,5.3,6.1,-0.8,0.1,-0.7,49-64,4,0-0,32-27,21-33,4-5,15-15,35-45,18-15,20-26,33-34
17,STL,NL,115,53,61,.465,4.7,5.4,-0.7,0.0,-0.7,49-65,4,0-0,23-33,30-28,2-7,21-13,39-41,14-20,20-24,33-37
18,PIT,NL,114,53,61,.465,4.1,5.1,-1.0,0.2,-0.8,46-68,7,0-0,32-29,21-32,4-4,15-17,38-49,15-12,21-31,32-30
19,DET,AL,115,53,62,.461,5.7,5.8,-0.2,0.0,-0.1,56-59,-3,0-0,34-24,19-38,7-2,12-9,40-49,13-13,17-30,36-32
20,MIL,AL,115,53,62,.461,4.8,5.1,-0.3,0.1,-0.3,54-61,-1,0-0,24-32,29-30,3-7,18-10,41-47,12-15,17-33,36-29
21,TEX,AL,114,52,62,.456,5.4,6.1,-0.7,0.0,-0.7,50-64,2,0-0,31-32,21-30,5-8,16-18,39-43,13-19,20-19,32-43
22,COL,NL,117,53,64,.453,4.9,5.5,-0.6,0.0,-0.6,53-64,0,0-0,25-32,28-32,3-2,19-14,42-52,11-12,19-25,34-39
23,OAK,AL,114,51,63,.447,4.8,5.2,-0.4,0.1,-0.3,53-61,-2,0-0,24-32,27-31,3-3,14-20,24-41,27-22,16-33,35-30
24,FLA,NL,115,51,64,.444,4.1,5.0,-0.9,0.1,-0.9,47-68,4,0-0,25-34,26-30,5-1,23-13,40-34,11-30,16-29,35-35
25,SEA,AL,112,49,63,.438,5.1,5.5,-0.4,0.1,-0.4,52-60,-3,0-0,22-22,27-41,6-5,13-15,28-47,21-16,15-32,34-31
26,CHC,NL,113,49,64,.434,4.4,4.9,-0.4,0.0,-0.4,52-61,-3,0-0,20-39,29-25,5-7,13-17,34-47,15-17,16-26,33-38
27,CAL,AL,115,47,68,.409,4.7,5.7,-1.0,0.1,-0.9,47-68,0,0-0,23-40,24-28,4-7,15-16,31-44,16-24,19-30,28-38
28,SDP,NL,117,47,70,.402,4.1,4.5,-0.4,0.1,-0.3,53-64,-6,0-0,26-31,21-39,4-8,12-25,34-46,13-24,12-37,35-33
,Avg,,,57,57,.500,4.9,4.9,,,,57-57,,0-0,29-27,27-29,5-5,16-16,40-40,16-16,16-23,40-33
