GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
2.01502E+11,12/30/14,Pakistan,Buner district,Unknown,0,3,Unknown,Police,South Asia,,,,Hostage Taking (Kidnapping),Unknown,,,,,,,,
2.01501E+11,12/27/14,Afghanistan,Saberi district,Taliban,0,,,,,5,0,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/31/14,Algeria,Algiers,Unknown,0,,,,,0,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Yemen,Ash Shihr,Al-Qaida in the Arabian Peninsula (AQAP),0,,,,,0,0,Police,Business,,Middle East & North Africa,Armed Assault,,,Firearms,,,
2.01412E+11,12/30/14,Yemen,Ash Shihr,Al-Qaida in the Arabian Peninsula (AQAP),0,,,,,0,0,Police,Business,,Middle East & North Africa,Armed Assault,,,Firearms,,,
2.01412E+11,12/31/14,Pakistan,Ghundi,Unknown,0,,,,,1,1,Military,,,South Asia,Unknown,,,Unknown,,,
2.01412E+11,12/30/14,Afghanistan,Ghaziabad district,Unknown,0,,,,,2,1,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/31/14,Afghanistan,Unknown,Taliban,0,,,,,5,9,Private Citizens & Property,,,South Asia,Assassination,,,Firearms,,,
2.01412E+11,12/31/14,Nigeria,Malari,Boko Haram,0,,,,,Unknown,Unknown,Private Citizens & Property,,,Sub-Saharan Africa,Hostage Taking (Kidnapping),,,Firearms,,,
2.01412E+11,12/31/14,Nigeria,Kantoma,Fulani Militants,1,,,,,2,0,Private Citizens & Property,,,Sub-Saharan Africa,Hostage Taking (Kidnapping),Armed Assault,,Firearms,Melee,,
2.01412E+11,12/31/14,Nigeria,Gombe,Unknown,0,,,,,1,0,Military,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/31/14,Nigeria,Maiduwa,Boko Haram,1,,,,,6,2,Unknown,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/31/14,Pakistan,Loralai district,Unknown,0,,,,,0,Unknown,NGO,,,South Asia,Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack,Incendiary,Melee,,
2.01412E+11,12/31/14,Pakistan,Quetta,Unknown,0,,,,,0,2,Police,,,South Asia,Armed Assault,,,Firearms,,,
2.01412E+11,12/31/14,Iraq,Qayyarah,Islamic State of Iraq and the Levant (ISIL),0,,,,,0,0,Transportation,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/31/14,Iraq,Tal Afar,Islamic State of Iraq and the Levant (ISIL),0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/31/14,Iraq,Tarmiyah,Unknown,0,,,,,1,Unknown,Private Citizens & Property,,,Middle East & North Africa,Hostage Taking (Kidnapping),,,Unknown,,,
2.01412E+11,12/31/14,Iraq,Baghdad,Unknown,0,,,,,1,4,Military,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/31/14,Iraq,Baghdad,Unknown,0,,,,,1,4,Military,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/31/14,Iraq,Baghdad,Unknown,0,,,,,1,4,Military,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/31/14,Iraq,Fallujah district,Islamic State of Iraq and the Levant (ISIL),0,,,,,20,Unknown,Military,,,Middle East & North Africa,Unknown,,,Unknown,,,
