指标,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,
城市普通小学学校数(所),,26049,26146,26227,16400,16363,17339,17535,16999,20372,
农村普通小学学校数(所),,140328,155008,169045,210894,234157,253041,271584,295052,316791,
城市普通小学在校学生数(万人),,2772.9719,2688.4287,2606.9589,1820.4675,1778.7684,1804.3818,1761.0813,1603.5689,1730.3773,
农村普通小学在校学生数(万人),,3217.0406,3652.4886,4065.1984,5350.2198,5655.5439,5924.8829,6250.731,6676.1432,6947.8276,
城市普通小学毕业生数(万人),,443.9115,440.2989,421.9876,304.4307,303.7241,308.1633,296.7205,276.6402,291.9645,
农村普通小学毕业生数(万人),,560.3143,624.2484,681.1572,942.7381,1017.7854,1076.0839,1110.7503,1215.5553,1331.0179,
城市初中毕业生数(万人),,459.04,461.88,464.02,,,,,,,
农村初中毕业生数(万人),,313.91,363.96,417.35,,,,,,,
城市初中招生数(万人),,481.47,481.96,469.3,,,,,,,
农村初中招生数(万人),,274.54,318.43,371.49,,,,,,,
城市普通小学招生数(万人),,518.4555,483.0142,469.1107,313.9526,282.9995,300.273,295.725,268.2773,277.3731,
农村普通小学招生数(万人),,591.8061,657.2605,715.9293,915.1503,942.0829,985.7702,1034.6386,1081.4409,1067.8543,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
