Name,book,aggressions,paragraphs,mentions,agg.per.mention,mentions.per.p,agg.weighted
Aberforth Dumbledore,The Deathly Hallows,4,6861,67,0.0597014925373134,0.00976534032939805,409.611940298507
Alastor Moody,The Deathly Hallows,1,6861,29,0.0344827586206897,0.00422678909779915,236.586206896552
Alastor Moody,The Goblet of Fire,0,6803,314,0.0,0.0461561075995884,0.0
Alastor Moody,The Order of the Phoenix,1,9275,92,0.0108695652173913,0.009919137466307279,100.815217391304
Albus Dumbledore,The Chamber of Secrets,0,3373,141,0.0,0.0418025496590572,0.0
Albus Dumbledore,The Deathly Hallows,2,6861,483,0.0041407867494824,0.0703979011805859,28.4099378881988
Albus Dumbledore,The Goblet of Fire,1,6803,507,0.0019723865877712,0.0745259444362781,13.4181459566075
Albus Dumbledore,The Half-Blood Prince,9,6654,853,0.0105509964830012,0.12819356777878,70.20633059788979
Albus Dumbledore,The Order of the Phoenix,11,9275,574,0.0191637630662021,0.0618867924528302,177.743902439024
Albus Dumbledore,The Prisoner of Azkaban,1,4092,143,0.0069930069930069895,0.0349462365591398,28.615384615384603
Albus Dumbledore,The Sorcerer's Stone,0,3015,143,0.0,0.0474295190713101,0.0
Alecto Carrow,The Deathly Hallows,2,6861,13,0.153846153846154,0.00189476752659962,1055.5384615384598
Amos Diggory,The Goblet of Fire,3,6803,28,0.107142857142857,0.00411583125091871,728.8928571428571
Antonin Dolohov,The Deathly Hallows,2,6861,17,0.11764705882352902,0.0024777729193995,807.176470588235
Antonin Dolohov,The Order of the Phoenix,5,9275,12,0.4166666666666671,0.00129380053908356,3864.5833333333294
Arthur Weasley,The Chamber of Secrets,1,3373,18,0.0555555555555556,0.00533649570115624,187.388888888889
Arthur Weasley,The Deathly Hallows,2,6861,21,0.0952380952380952,0.0030607783121993897,653.428571428571
Arthur Weasley,The Goblet of Fire,1,6803,32,0.03125,0.0047038071439071,212.59375
Arthur Weasley,The Half-Blood Prince,0,6654,19,0.0,0.00285542530808536,0.0
Arthur Weasley,The Order of the Phoenix,0,9275,44,0.0,0.00474393530997305,0.0
