ADDRESS,DONATIONS AND GRANTS,FEES,OTHER EXPENSES AND CONSULTANCY,REGISTRATION FEES,SPONSORSHIPS,TRAVEL AND ACCOMMODATION,FULLNAME
"Rue de la Dixence 21, Sion",0,0,0,0,700,0, Amicale TCC Valais
"7 rue Calvin, Genève",0,0,0,0,1000,0, ARFMPP
"Konradstrasse 32, Zürich",0,1500,0,0,0,0, Arud Verein
"Postfach 68, Arosa",0,0,0,0,2527,0, Ärztekongress Arosa
"Worbentalstrasse 99, Ittingen",0,0,0,0,2808,0, Ärztenetzwerk Grauholz
"Hauptstrasse 24, Düdingen",0,0,0,0,1500,0, Ärztevereinigung Senslerbezirk
"Viale San Salvatore 7 Casella Postale 501, Paradiso",0,0,0,0,1500,0, ASI-ADOC
"Grand Rue 22, Lutry",0,0,0,0,2000,0, Association D'Esculape En Lavaux
"Rue du Bugnon 21, Lausanne",0,0,0,0,4240,0, CHUV Centre hospitalier universitaire vaudois
"Via Varenna 71 CP341, Locarno",0,0,0,0,750,0, Circolo Medico di qualità Pardomed
"Schlösslistrasse 8, Oetwil am See",0,0,0,0,30768,0, Clienia Schlössli AG
"Sede Moncucco e San Rocco Via Moncucco 10, Lugano",0,0,0,0,864,0, Clinica Luganese SA
"Via Agostino Maspoli 8, Mendrisio",0,0,0,0,1000,0, Clinica Psichiatrica Cantonale
"site de Préfargier, Marn-Epagnier",0,0,0,0,10895,0, CNP Centre neuchâtel. de psychiatrie
"Fraumünsterstrasse 29, Zurich",15689,0,0,0,0,0, Collegium Internationale Neuro-Psychopharmacologicum (CINP)
"Aeschenbrunnmattstrasse 9, Bremgarten",0,0,0,0,2000,0, DOXnet Ärztenetzwerk Bern Nord-West
"Chemin du Crêt 2, Morges",0,0,0,0,1080,0, Ensemble Hospitalier de la Côte
"via Tesserete 46, Lugano",0,0,0,0,1728,0, EOC / Ente Ospedale Regionale di Lugano
"Burgfelderstrasse 101, Basel",0,0,0,0,4320,0, Felix Platter-Spital
"Islikonerstrasse 5, Ellikon an der Thur",0,0,0,0,2000,0, Forel Klinik
"Aegeristrasse 56, Zug",0,0,0,0,3000,0, FOSUMIS
"Metzgergasse 22, St. Gallen",0,0,0,0,4500,0, FOSUMOS
